Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2025,,,
Session ID,2775950,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States AL-DE,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"GREENE, AL",-,-,130
,"WALKER, AL",-,-,24
,"ALEUTIANS WEST, AK",-,-,10 or fewer
,"PERRY, AL",-,-,10 or fewer
,"HALE, AL",-,-,150
,"SUMTER, AL",-,-,764
,"MOBILE, AL",0.22%,0.41%,8316
,"MARSHALL, AL",-,-,47
,"WASHINGTON, AL",-,-,214
,"TUSCALOOSA, AL",0.48%,0.56%,2480
,"MACON, AL",-,-,43
,"CLARKE, AL",-,-,142
,"CHOCTAW, AL",-,-,933
,"ALPINE, CA",-,-,49
,"PICKENS, AL",-,-,458
,"BLOUNT, AL",-,-,22
,"KENT, DE",0.59%,0.85%,21893
,"JACKSON, AR",-,-,484
,"TALLADEGA, AL",-,-,33
,"OUACHITA, AR",-,0.70%,1867
,"KUSILVAK, AK",-,-,10 or fewer
,"APACHE, AZ",-,-,34
,"DEL NORTE, CA",-,-,1631
,"SCOTT, AR",-,2.10%,523
,"FAYETTE, AL",-,-,54
,"BUTLER, AL",-,-,21
,"LOGAN, CO",-,-,433
,"MARION, AL",-,-,1283
,"SKAGWAY, AK",-,-,10 or fewer
,"CHEROKEE, AL",-,-,126
,"BIBB, AL",-,-,20
,"MARENGO, AL",-,-,112
,"WINSTON, AL",-,-,31
,"PHILLIPS, AR",-,-,546
,"MONROE, AR",-,-,524
,"CONECUH, AL",-,-,225
,"CLAY, AL",-,-,12
,"WILCOX, AL",-,-,19
,"SUSSEX, DE",0.51%,0.68%,23739
,"MONROE, AL",-,-,225
,"MISSISSIPPI, AR",1.37%,1.54%,1683
,"SHARP, AR",-,-,401
,"KODIAK ISLAND, AK",-,-,1060
,"POINSETT, AR",0.49%,0.66%,2266
,"LAWRENCE, AL",-,-,10 or fewer
,"MILLER, AR",2.57%,2.71%,1439
,"JACKSON, AL",-,-,230
,"LOGAN, AR",-,-,922
,"COFFEE, AL",-,-,3744
,"SAINT FRANCIS, AR",-,-,621
,"JEFFERSON, AR",0.68%,0.66%,6646
,"PRAIRIE, AR",-,-,677
,"JOHNSON, AR",1.21%,1.47%,1157
,"SEBASTIAN, AR",0.91%,1.03%,9807
,"CHAMBERS, AL",-,-,172
,"LAMAR, AL",-,-,612
,"SANTA BARBARA, CA",0.17%,0.58%,7721
,"RANDOLPH, AL",-,-,111
,"ARKANSAS, AR",0.77%,0.94%,2337
,"BALDWIN, AL",0.37%,0.67%,9072
,"PIMA, AZ",0.51%,0.64%,62938
,"COCHISE, AZ",3.79%,3.97%,1083
,"SAN FRANCISCO, CA",0.18%,0.28%,35367
,"INDEPENDENCE, AR",1.29%,1.94%,1239
,"CLARK, AR",0.81%,1.02%,1474
,"NEVADA, AR",-,-,398
,"GRAHAM, AZ",-,-,123
,"CALHOUN, AL",-,-,133
,"NAPA, CA",0.22%,0.34%,6764
,"DALLAS, AR",-,-,329
,"FRANKLIN, AL",-,-,163
,"CRAWFORD, AR",0.67%,0.80%,5841
,"SOLANO, CA",0.23%,0.43%,16647
,"HENRY, AL",-,-,232
,"SAINT CLAIR, AL",-,-,54
,"NAVAJO, AZ",-,-,61
,"HOUSTON, AL",-,0.42%,2626
,"CRAIGHEAD, AR",0.70%,0.86%,11191
,"LAFAYETTE, AR",-,-,149
,"PERRY, AR",-,-,698
,"COLBERT, AL",-,-,58
,"MONTEREY, CA",0.44%,0.56%,43231
,"ALAMEDA, CA",0.16%,0.31%,85494
,"CRITTENDEN, AR",0.56%,0.63%,4268
,"GENEVA, AL",-,-,759
,"CLEBURNE, AL",-,-,75
,"CONTRA COSTA, CA",0.19%,0.38%,71063
,"LEE, AR",-,-,280
,"GREENE, AR",0.56%,0.61%,2479
,"COLUMBIA, AR",-,1.32%,987
,"SONOMA, CA",0.17%,0.32%,30741
,"ESCAMBIA, AL",-,-,1139
,"ETOWAH, AL",-,-,836
,"SISKIYOU, CA",-,-,1024
,"NORTHWEST ARCTIC, AK",-,-,10 or fewer
,"JACKSON, CO",-,-,59
,"CLAY, AR",-,1.54%,712
,"LA PAZ, AZ",-,-,46
,"LAWRENCE, AR",-,-,713
,"CROSS, AR",-,0.77%,1436
,"DALE, AL",-,-,828
,"CROWLEY, CO",-,-,111
,"WASHINGTON, CO",-,-,106
,"FRANKLIN, AR",-,1.17%,938
,"BETHEL, AK",-,-,10 or fewer
,"DALLAS, AL",-,-,10 or fewer
,"SAN JOAQUIN, CA",0.14%,0.44%,27476
,"SAN BERNARDINO, CA",0.68%,1.31%,64569
,"MESA, CO",0.47%,0.73%,7930
,"PUEBLO, CO",0.96%,1.21%,8414
,"CLEBURNE, AR",0.80%,1.06%,1884
,"ALEUTIANS EAST, AK",-,-,10 or fewer
,"SEDGWICK, CO",-,-,45
,"CALHOUN, AR",-,-,303
,"FULTON, AR",-,-,236
,"SANTA CRUZ, AZ",-,1.99%,604
,"COVINGTON, AL",-,-,250
,"MODOC, CA",-,-,186
,"HUMBOLDT, CA",0.18%,0.24%,13975
,"UNION, AR",1.30%,1.30%,1156
,"CULLMAN, AL",-,-,23
,"FRESNO, CA",0.30%,0.70%,103966
,"OTERO, CO",-,-,614
,"KERN, CA",0.30%,0.99%,48662
,"MORGAN, CO",-,1.12%,1071
,"LASSEN, CA",-,-,588
,"CRENSHAW, AL",-,-,48
,"NEW LONDON, CT",0.44%,0.54%,20360
,"LOS ANGELES, CA",0.13%,0.33%,102696
,"MARICOPA, AZ",0.09%,0.24%,83935
,"MORGAN, AL",-,-,39
,"COSTILLA, CO",-,-,57
,"LONOKE, AR",0.74%,0.89%,6662
,"FAIRFIELD, CT",0.37%,0.53%,27871
,"GREENLEE, AZ",-,-,40
,"LAUDERDALE, AL",-,-,19
,"YUKON KOYUKUK, AK",-,-,10 or fewer
,"MOFFAT, CO",-,0.65%,1835
,"MIDDLESEX, CT",0.34%,0.40%,15136
,"BULLOCK, AL",-,-,10 or fewer
,"TRINITY, CA",-,-,92
,"PROWERS, CO",-,-,342
,"HOT SPRING, AR",0.76%,0.89%,1579
,"WINDHAM, CT",0.62%,0.77%,10848
,"GILA, AZ",-,-,106
,"WHITE, AR",1.56%,1.72%,3206
,"HUERFANO, CO",-,-,154
,"SALINE, AR",0.83%,0.96%,8417
,"HEMPSTEAD, AR",2.14%,2.45%,654
,"LITTLE RIVER, AR",-,-,337
,"MENDOCINO, CA",0.24%,0.32%,5867
,"AUTAUGA, AL",-,-,26
,"NEW HAVEN, CT",0.52%,0.67%,29058
,"PIKE, AL",-,-,56
,"PLUMAS, CA",-,-,192
,"YOLO, CA",-,0.19%,8795
,"SANTA CRUZ, CA",1.03%,1.34%,9251
,"SAN DIEGO, CA",0.05%,0.20%,128303
,"LAKE, CA",-,-,1432
,"WELD, CO",0.28%,0.56%,41411
,"YUMA, AZ",-,-,68
,"RANDOLPH, AR",-,-,593
,"SAN BENITO, CA",1.59%,1.79%,1955
,"PULASKI, AR",0.51%,0.63%,43876
,"TELLER, CO",1.07%,1.07%,1584
,"BARBOUR, AL",-,-,134
,"SAN MATEO, CA",0.40%,0.51%,45855
,"IZARD, AR",-,-,266
,"SANTA CLARA, CA",0.41%,0.52%,83716
,"GRANT, AR",0.92%,1.20%,1419
,"HARTFORD, CT",0.51%,0.60%,92246
,"MARIN, CA",0.11%,0.24%,14853
,"DILLINGHAM, AK",-,-,10 or fewer
,"IMPERIAL, CA",-,-,478
,"LINCOLN, CO",-,-,177
,"RIVERSIDE, CA",0.37%,0.77%,92000
,"BENT, CO",-,-,97
,"MADISON, AL",-,-,151
,"LITCHFIELD, CT",0.74%,0.91%,9892
,"KIOWA, CO",-,-,55
,"ADAMS, CO",0.38%,0.56%,44899
,"LOWNDES, AL",-,-,10 or fewer
,"INYO, CA",-,-,70
,"PHILLIPS, CO",-,-,100
,"KENAI PENINSULA, AK",-,-,33
,"WOODRUFF, AR",-,-,193
,"LAS ANIMAS, CO",-,-,345
,"FREMONT, CO",1.80%,1.99%,1057
,"RIO GRANDE, CO",-,-,283
,"DENVER, CO",0.22%,0.38%,70557
,"YUMA, CO",-,-,243
,"VAN BUREN, AR",2.15%,2.54%,511
,"CONEJOS, CO",-,-,135
,"MONTEZUMA, CO",-,-,231
,"TALLAPOOSA, AL",-,-,10 or fewer
,"RIO BLANCO, CO",-,-,125
,"KIT CARSON, CO",-,-,202
,"PIKE, AR",-,-,306
,"BACA, CO",-,-,78
,"MONTGOMERY, AL",-,-,94
,"ORANGE, CA",0.04%,0.19%,81068
,"CHILTON, AL",-,-,11
,"NORTH SLOPE, AK",-,-,10 or fewer
,"LINCOLN, AR",-,-,416
,"SIERRA, CA",-,-,61
,"LIMESTONE, AL",-,-,59
,"ARAPAHOE, CO",0.34%,0.53%,59672
,"LARIMER, CO",0.24%,0.48%,37286
,"PARK, CO",-,-,402
,"COOSA, AL",-,-,10 or fewer
,"YELL, AR",-,-,496
,"ELBERT, CO",-,0.90%,1554
,"SAN JUAN, CO",-,-,10 or fewer
,"POPE, AR",1.62%,2.09%,1912
,"VALDEZ CORDOVA, AK",-,-,10 or fewer
,"STONE, AR",-,-,227
,"CHEYENNE, CO",-,-,59
,"ASHLEY, AR",2.31%,2.66%,563
,"JEFFERSON, AL",-,-,251
,"MADERA, CA",0.33%,0.85%,13250
,"BROOMFIELD, CO",0.37%,0.47%,5691
,"SACRAMENTO, CA",0.07%,0.23%,44441
,"TOLLAND, CT",0.48%,0.58%,11968
,"LAKE, CO",-,-,190
,"FAULKNER, AR",0.98%,1.12%,8839
,"MOHAVE, AZ",-,-,161
,"DESHA, AR",-,-,388
,"SUMMIT, CO",-,-,631
,"YUBA, CA",-,-,854
,"SAGUACHE, CO",-,-,43
,"EL PASO, CO",0.65%,0.75%,71700
,"SHELBY, AL",-,-,74
,"CLEVELAND, AR",-,1.82%,605
,"PINAL, AZ",-,0.14%,11648
,"ALAMOSA, CO",-,-,325
,"JEFFERSON, CO",0.45%,0.65%,30796
,"GILPIN, CO",-,-,192
,"MATANUSKA SUSITNA, AK",-,-,54
,"CUSTER, CO",-,-,89
,"CONWAY, AR",2.01%,2.21%,994
,"POLK, AR",-,-,391
,"HOWARD, AR",-,-,334
,"NEW CASTLE, DE",0.56%,0.65%,62389
,"JUNEAU, AK",-,-,20
,"SOUTHEAST FAIRBANKS, AK",-,-,10 or fewer
,"MARION, AR",-,-,221
,"DOUGLAS, CO",0.50%,0.70%,26548
,"BOULDER, CO",0.26%,0.43%,30041
,"BOONE, AR",2.27%,2.67%,749
,"DELTA, CO",-,-,401
,"CHICOT, AR",-,-,301
,"SHASTA, CA",-,-,1502
,"SEVIER, AR",-,2.73%,477
,"MONTROSE, CO",-,-,434
,"CHAFFEE, CO",-,-,358
,"BRADLEY, AR",2.57%,2.57%,467
,"GARLAND, AR",1.70%,2.10%,2473
,"DOLORES, CO",-,-,26
,"NEWTON, AR",-,-,143
,"MERCED, CA",0.65%,1.71%,12093
,"COLUSA, CA",-,-,232
,"BAXTER, AR",1.73%,2.36%,636
,"RUSSELL, AL",-,-,205
,"ELMORE, AL",-,-,41
,"YAVAPAI, AZ",-,-,442
,"LEE, AL",-,-,301
,"WASHINGTON, AR",0.76%,0.97%,16783
,"MONTGOMERY, AR",-,-,187
,"CLEAR CREEK, CO",-,-,157
,"SEARCY, AR",-,-,154
,"DREW, AR",-,1.50%,868
,"MINERAL, CO",-,-,10 or fewer
,"SUTTER, CA",-,-,486
,"HOONAH ANGOON, AK",-,-,10 or fewer
,"NOME, AK",-,-,10 or fewer
,"CARROLL, AR",-,1.45%,830
,"KINGS, CA",0.74%,1.75%,5021
,"MARIPOSA, CA",-,-,342
,"GRAND, CO",-,-,376
,"SAN LUIS OBISPO, CA",2.15%,3.93%,1350
,"GARFIELD, CO",-,-,901
,"CALAVERAS, CA",-,-,238
,"GUNNISON, CO",-,-,902
,"ARCHULETA, CO",-,-,113
,"TULARE, CA",0.83%,2.07%,13516
,"TUOLUMNE, CA",-,-,409
,"MONO, CA",-,-,47
,"EAGLE, CO",-,-,641
,"ROUTT, CO",-,0.70%,2873
,"GLENN, CA",-,-,58
,"LA PLATA, CO",-,-,544
,"AMADOR, CA",-,-,225
,"STANISLAUS, CA",0.91%,2.77%,8859
,"FAIRBANKS NORTH STAR, AK",-,-,43
,"ANCHORAGE, AK",-,-,115
,"HINSDALE, CO",-,-,10 or fewer
,"OURAY, CO",-,-,30
,"PITKIN, CO",-,-,581
,"PLACER, CA",-,0.31%,3571
,"PRINCE OF WALES HYDER, AK",-,-,10 or fewer
,"KETCHIKAN GATEWAY, AK",-,-,10 or fewer
,"EL DORADO, CA",-,-,2157
,"SITKA, AK",-,-,11
,"MADISON, AR",1.08%,1.57%,1018
,"TEHAMA, CA",-,-,112
,"NEVADA, CA",-,-,404
,"COCONINO, AZ",-,-,245
,"BENTON, AR",1.01%,1.16%,17485
,"PETERSBURG, AK",-,-,10 or fewer
,"BUTTE, CA",-,-,427
,"VENTURA, CA",-,-,3114
,"SAN MIGUEL, CO",-,-,105
,"BRISTOL BAY, AK",-,-,10 or fewer
,"DENALI, AK",-,-,10 or fewer
,"HAINES, AK",-,-,10 or fewer
,"LAKE AND PENINSULA, AK",-,-,10 or fewer
,"WRANGELL, AK",-,-,10 or fewer
,"YAKUTAT, AK",-,-,10 or fewer
,None of the above,0.31%,0.54%,335896
,Total,0.37%,0.59%,2762324
≥ 18 and < 25 Years,"GREENE, AL",-,-,41
,"WALKER, AL",-,-,23
,"ALEUTIANS WEST, AK",-,-,10 or fewer
,"PERRY, AL",-,-,10 or fewer
,"HALE, AL",-,-,42
,"SUMTER, AL",-,-,200
,"MOBILE, AL",2.32%,3.58%,5049
,"MARSHALL, AL",-,-,75
,"WASHINGTON, AL",-,-,176
,"TUSCALOOSA, AL",3.30%,4.89%,818
,"MACON, AL",-,-,49
,"CLARKE, AL",-,-,117
,"CHOCTAW, AL",-,3.93%,331
,"ALPINE, CA",-,-,26
,"PICKENS, AL",-,-,204
,"BLOUNT, AL",-,-,52
,"KENT, DE",1.96%,2.89%,6849
,"JACKSON, AR",-,-,177
,"TALLADEGA, AL",-,-,61
,"OUACHITA, AR",1.80%,2.63%,722
,"KUSILVAK, AK",-,-,10 or fewer
,"APACHE, AZ",-,-,33
,"DEL NORTE, CA",2.77%,3.02%,397
,"SCOTT, AR",-,-,124
,"FAYETTE, AL",-,-,20
,"BUTLER, AL",-,-,16
,"LOGAN, CO",-,-,128
,"MARION, AL",-,-,413
,"SKAGWAY, AK",-,-,10 or fewer
,"CHEROKEE, AL",-,-,92
,"BIBB, AL",-,-,13
,"MARENGO, AL",-,-,58
,"WINSTON, AL",-,-,25
,"PHILLIPS, AR",-,-,172
,"MONROE, AR",-,-,168
,"CONECUH, AL",-,-,68
,"CLAY, AL",-,-,18
,"WILCOX, AL",-,-,23
,"SUSSEX, DE",1.70%,2.73%,7548
,"MONROE, AL",-,-,125
,"MISSISSIPPI, AR",-,2.51%,677
,"SHARP, AR",-,-,135
,"KODIAK ISLAND, AK",-,-,230
,"POINSETT, AR",1.46%,2.08%,961
,"LAWRENCE, AL",-,-,10 or fewer
,"MILLER, AR",3.08%,3.96%,454
,"JACKSON, AL",-,-,91
,"LOGAN, AR",-,-,222
,"COFFEE, AL",-,1.90%,580
,"SAINT FRANCIS, AR",-,-,216
,"JEFFERSON, AR",2.98%,3.62%,1242
,"PRAIRIE, AR",-,-,197
,"JOHNSON, AR",-,-,334
,"SEBASTIAN, AR",2.05%,2.75%,3165
,"CHAMBERS, AL",-,-,199
,"LAMAR, AL",-,-,213
,"SANTA BARBARA, CA",0.66%,1.21%,2722
,"RANDOLPH, AL",-,-,122
,"ARKANSAS, AR",1.47%,2.54%,747
,"BALDWIN, AL",1.67%,2.93%,4067
