Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2025,,,
Session ID,2775843,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States ND_VA,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"DICKENS, TX",-,-,10 or fewer
,"CROCKETT, TX",-,-,543
,"SURRY, VA",-,-,341
,"SULLIVAN, PA",-,-,262
,"COKE, TX",-,-,489
,"UNION, SC",0.64%,1.23%,4051
,"MORROW, OH",-,-,2687
,"WILLIAMSBURG, SC",0.79%,1.77%,1637
,"CROSBY, TX",-,-,59
,"SUTTON, TX",-,-,353
,"MARION, SC",0.46%,1.14%,3065
,"FLOYD, TX",-,-,59
,"MCCORMICK, SC",-,-,631
,"LEE, SC",-,-,696
,"CONCHO, TX",-,-,282
,"MCCULLOCH, TX",-,-,683
,"HAMPTON CITY, VA",0.20%,0.58%,7602
,"HALIFAX, VA",0.94%,1.20%,3822
,"REAGAN, TX",-,-,447
,"PATRICK, VA",-,-,172
,"CHEROKEE, SC",0.46%,0.60%,8310
,"FRANKLIN CITY, VA",-,-,731
,"TILLMAN, OK",-,-,158
,"LAURENS, SC",0.56%,0.72%,8523
,"WILLIAMS, OH",0.34%,0.52%,6187
,"PAGE, VA",0.42%,0.48%,3329
,"MILAM, TX",0.46%,0.56%,3023
,"FLORENCE, SC",0.58%,1.13%,10573
,"GARZA, TX",-,-,30
,"BROWN, OH",0.84%,1.02%,5114
,"PICKAWAY, OH",-,0.30%,3719
,"KING AND QUEEN, VA",-,-,578
,"ASHLAND, OH",-,0.54%,3151
,"PORTSMOUTH CITY, VA",-,-,2409
,"MEIGS, OH",-,-,524
,"MARION, OH",-,0.39%,10109
,"RICHLAND, OH",0.11%,0.41%,10213
,"SCHLEICHER, TX",-,-,282
,"ESSEX, VA",0.91%,1.16%,1204
,"PREBLE, OH",0.52%,0.65%,5817
,"CRAWFORD, OH",-,0.34%,5630
,"COLEMAN, TX",-,-,132
,"UPSHUR, TX",-,1.57%,1019
,"ADAMS, PA",0.31%,0.70%,10485
,"SOUTHAMPTON, VA",-,-,615
,"TOM GREEN, TX",0.27%,0.39%,22118
,"CHESTER, SC",0.45%,1.37%,3128
,"FALLS, TX",-,0.80%,1757
,"JEFF DAVIS, TX",-,-,10 or fewer
,"CAMP, TX",-,0.76%,1439
,"NORTHAMPTON, VA",-,-,478
,"HUDSPETH, TX",-,-,10 or fewer
,"SIOUX, ND",-,-,391
,"CARBON, PA",0.32%,0.68%,10577
,"ADAMS, OH",0.94%,1.35%,2229
,"NORTHUMBERLAND, VA",-,-,1176
,"HIGHLAND, OH",0.68%,0.79%,3681
,"RUNNELS, TX",-,-,1176
,"DARLINGTON, SC",1.12%,1.59%,3214
,"SUFFOLK CITY, VA",-,0.38%,4209
,"SULLY, SD",-,-,14
,"OKMULGEE, OK",0.46%,0.77%,2590
,"MANASSAS PARK CITY, VA",-,-,254
,"FRANKLIN, PA",0.20%,0.47%,12372
,"CLARENDON, SC",0.60%,1.05%,1997
,"MARION, TN",1.61%,1.82%,991
,"BUCKINGHAM, VA",-,-,841
,"CLINTON, OH",0.57%,0.65%,5393
,"MADISON, VA",0.92%,0.99%,1410
,"VAN WERT, OH",0.63%,0.95%,1901
,"ISLE OF WIGHT, VA",-,-,2224
,"NORFOLK CITY, VA",-,0.48%,4394
,"FLUVANNA, VA",0.82%,0.86%,2429
,"LANCASTER, VA",-,-,1282
,"LICKING, OH",-,0.27%,18575
,"LOUISA, VA",0.54%,0.70%,3164
,"GREENE, VA",-,-,2104
,"SOMERSET, PA",-,-,1702
,"BEXAR, TX",0.60%,0.76%,71910
,"OKFUSKEE, OK",-,-,691
,"NOTTOWAY, VA",-,1.53%,717
,"MONROE, PA",0.32%,0.66%,22849
,"SAN SABA, TX",-,-,584
,"CAMBRIA, PA",0.22%,0.38%,5491
,"MIDDLESEX, VA",-,-,1295
,"NELSON, VA",-,-,1346
,"CLERMONT, OH",0.64%,0.80%,27804
,"COOS, OR",0.39%,0.52%,6984
,"CLARK, OH",0.56%,0.68%,18018
,"PICKENS, SC",0.37%,0.50%,19326
,"FAIRFIELD, OH",-,0.26%,5693
,"NEWPORT NEWS CITY, VA",0.16%,0.37%,12652
,"HALE, TX",-,-,122
,"MCNAIRY, TN",1.69%,1.93%,830
,"LAKE, SD",-,0.95%,1159
,"HARDIN, OH",-,0.49%,2632
,"LUBBOCK, TX",0.38%,0.72%,4999
,"VINTON, OH",-,-,249
,"NORTON CITY, VA",-,-,771
,"PETERSBURG CITY, VA",0.89%,1.11%,2244
,"BUTLER, OH",0.41%,0.51%,61399
,"BRADFORD, PA",0.34%,0.65%,10307
,"DIMMIT, TX",-,-,112
,"MASON, TX",-,-,71
,"LINCOLN, OR",0.51%,0.69%,5532
,"SUSSEX, VA",-,-,452
,"DICKENSON, VA",0.95%,1.42%,1474
,"MONROE, OH",-,0.92%,1200
,"BELMONT, OH",0.30%,0.49%,8792
,"LAKE, OR",-,-,379
,"MALHEUR, OR",0.51%,0.65%,5101
,"MIAMI, OH",0.55%,0.64%,16767
,"MADISON, OH",-,0.33%,3324
,"MATHEWS, VA",-,-,834
,"CREEK, OK",0.48%,0.65%,6598
,"GLOUCESTER, VA",-,0.40%,3987
,"ANDERSON, SC",0.45%,0.53%,34721
,"CALHOUN, SC",0.76%,1.10%,1455
,"RICHMOND, VA",-,-,1021
,"CHAMPAIGN, OH",0.40%,0.65%,3719
,"CHESAPEAKE CITY, VA",-,0.30%,5979
,"FRANKLIN, OH",0.07%,0.24%,60354
,"ORANGEBURG, SC",0.72%,1.21%,6941
,"MCINTOSH, OK",-,0.88%,1253
,"SPARTANBURG, SC",0.42%,0.50%,58243
,"OCONEE, SC",0.40%,0.61%,6763
,"ROCKINGHAM, VA",0.51%,0.60%,8508
,"MORRIS, TX",-,-,638
,"PANOLA, TX",-,0.53%,2820
,"IRION, TX",-,-,325
,"MAYES, OK",0.50%,0.60%,4814
,"FULTON, OH",0.46%,0.56%,5909
,"CARROLL, VA",-,-,258
,"YORK, PA",0.22%,0.47%,67910
,"DALLAS, TX",0.62%,0.75%,189842
,"FAYETTE, OH",-,1.10%,1086
,"WHEELER, OR",-,-,179
,"ROGERS, OK",0.53%,0.69%,7535
,"WOOD, TX",-,0.37%,2989
,"RAINS, TX",-,-,333
,"CROOK, OR",0.54%,0.75%,4290
,"GREENSVILLE, VA",-,-,1025
,"NORTHAMPTON, PA",0.34%,0.57%,52137
,"CADDO, OK",-,-,667
,"DILLON, SC",0.45%,0.67%,3113
,"ABBEVILLE, SC",0.45%,0.52%,2870
,"ZIEBACH, SD",-,-,44
,"WYANDOT, OH",-,-,2491
,"MONTGOMERY, OH",0.48%,0.57%,81817
,"OBION, TN",-,0.76%,2096
,"KIDDER, ND",-,-,298
,"HARRISON, OH",-,-,1253
,"HUGHES, SD",-,-,308
,"PERRY, PA",-,0.57%,2470
,"ROSS, OH",-,-,988
,"STERLING, TX",-,-,275
,"HOPEWELL CITY, VA",1.33%,2.04%,981
,"HOCKING, OH",-,-,751
,"TIOGA, PA",-,-,3368
,"VAN ZANDT, TX",0.61%,0.73%,3133
,"MARLBORO, SC",-,1.45%,1036
,"CULPEPER, VA",0.62%,0.73%,8029
,"LEBANON, PA",0.18%,0.34%,16868
,"JOHNSON, TN",-,0.86%,1273
,"PORTAGE, OH",0.15%,0.34%,11036
,"HAMILTON, OH",0.40%,0.52%,142312
,"DEFIANCE, OH",0.28%,0.51%,6125
,"ORANGE, VA",0.60%,0.73%,4533
,"PAWNEE, OK",-,-,1014
,"WEAKLEY, TN",-,1.11%,1888
,"CHARLES CITY, VA",-,-,577
,"MENARD, TX",-,-,160
,"BAKER, OR",0.52%,0.61%,2123
,"COLONIAL HEIGHTS CITY, VA",-,0.83%,1447
,"NAVARRO, TX",1.29%,1.53%,2096
,"PITTSBURG, OK",0.36%,0.58%,3087
,"ALLEN, OH",0.48%,0.59%,10684
,"KERSHAW, SC",0.70%,0.88%,6951
,"PHILADELPHIA, PA",0.25%,0.38%,79202
,"VIRGINIA BEACH CITY, VA",0.05%,0.24%,25604
,"EDWARDS, TX",-,-,36
,"WISE, VA",0.31%,0.85%,5182
,"SCHUYLKILL, PA",0.29%,0.59%,14700
,"GREENVILLE, SC",0.43%,0.55%,73382
,"ATASCOSA, TX",-,-,1091
,"JEFFERSON, OR",0.27%,0.36%,4112
,"LAKE, TN",-,-,289
,"CORYELL, TX",0.59%,0.77%,8096
,"DAUPHIN, PA",0.21%,0.48%,21418
,"ROBERTSON, TX",-,0.66%,1663
,"BARNES, ND",-,-,1639
,"RANSOM, ND",-,-,926
,"BURLESON, TX",0.53%,0.67%,2091
,"WARREN, OH",0.57%,0.67%,36142
,"ATHENS, OH",-,0.52%,3843
,"ACCOMACK, VA",-,-,2054
,"BELL, TX",0.52%,0.68%,62657
,"DYER, TN",0.44%,0.76%,3159
,"GREENE, OH",0.40%,0.49%,25099
,"GRANT, ND",-,-,254
,"MUSKOGEE, OK",0.56%,0.78%,4081
,"MANASSAS CITY, VA",0.36%,0.48%,3095
,"CUMBERLAND, PA",0.28%,0.54%,17316
,"COLUMBIA, OR",0.40%,0.49%,5745
,"VAL VERDE, TX",-,2.63%,419
,"DINWIDDIE, VA",1.56%,1.76%,1537
,"LEHIGH, PA",0.32%,0.57%,64939
,"DAWSON, TX",-,-,36
,"DANVILLE CITY, VA",2.16%,2.65%,603
,"LORAIN, OH",0.35%,0.56%,46855
,"LATIMER, OK",-,-,722
,"FULTON, PA",-,-,615
,"HARNEY, OR",-,-,954
,"CHESTER, TN",-,-,758
,"AUGUSTA, VA",0.83%,0.91%,6475
,"HORRY, SC",1.39%,1.81%,10035
,"EDGEFIELD, SC",-,0.81%,1599
,"AMELIA, VA",-,-,545
,"HENDERSON, TN",-,1.38%,798
,"GREENWOOD, SC",0.35%,0.44%,12733
,"LINN, OR",0.54%,0.64%,19606
,"SALUDA, SC",-,-,1731
,"LAUDERDALE, TN",0.80%,0.98%,1628
,"HYDE, SD",-,-,27
,"PIKE, PA",0.46%,0.67%,2382
,"LOGAN, OH",-,-,1191
,"VAN BUREN, TN",-,-,62
,"KING WILLIAM, VA",0.74%,1.00%,1904
