Session Title,DM in ICD10  by State Age 2020,,,
Session ID,2775700,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2020 - 12/31/2020,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,State of Residence (U.S.),,,
Less than 18 Years,Federated States of Micronesia,-,-,10 or fewer
,Marshall Islands,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Virgin Islands,-,-,62
,Alabama,0.68%,1.00%,24669
,West Virginia,0.88%,1.19%,99682
,South Carolina,0.57%,0.72%,333102
,Indiana,0.25%,0.40%,395894
,Missouri,0.22%,0.43%,66620
,Ohio,0.36%,0.51%,949651
,Oklahoma,0.22%,0.43%,113530
,Kentucky,0.50%,0.66%,313220
,Kansas,0.45%,0.62%,78623
,Puerto Rico,-,-,285
,Mississippi,0.62%,0.78%,219020
,Guam,-,-,32
,North Carolina,0.45%,0.65%,715595
,Virginia,0.45%,0.73%,379368
,Michigan,0.48%,0.60%,607268
,Maryland,0.56%,0.79%,138386
,Maine,0.57%,0.66%,88659
,Louisiana,0.45%,0.56%,274941
,Wyoming,0.45%,0.75%,20886
,Delaware,0.60%,0.68%,100842
,Illinois,0.44%,0.60%,860136
,Arizona,0.54%,0.74%,59310
,Nebraska,0.25%,0.51%,63568
,Minnesota,0.34%,0.49%,388694
,Rhode Island,0.64%,0.78%,73648
,Hawaii,0.46%,0.54%,64874
,Pennsylvania,0.21%,0.41%,694807
,Georgia,0.48%,0.89%,496618
,New York,0.38%,0.53%,598858
,Wisconsin,0.43%,0.55%,607844
,New Mexico,0.15%,0.42%,13774
,New Jersey,0.41%,0.54%,138981
,Tennessee,0.54%,0.95%,100803
,Idaho,0.65%,0.77%,119595
,Alaska,-,-,1904
,Massachusetts,0.35%,0.51%,290267
,Iowa,0.57%,0.65%,289855
,Arkansas,0.79%,0.93%,169269
