Session Title,OBESITY by ICD and BMI State Age 2018,,,
Session ID,2776031,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2018 - 12/31/2018,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),DM (%),Number of Patients
Age at Encounter in Years,State of Residence (U.S.),,,
Less than 18 Years,"American Samoa, South Pacific",-,-,15
,Federated States of Micronesia,-,-,10 or fewer
,Alabama,6.46%,2.27%,23606
,Marshall Islands,-,-,10 or fewer
,Kentucky,7.19%,3.35%,310319
,Northern Mariana Islands,-,-,10 or fewer
,Missouri,6.45%,1.98%,59400
,Ohio,5.98%,5.34%,950654
,West Virginia,7.53%,4.58%,86897
,Indiana,5.99%,4.20%,389351
,Arkansas,6.91%,4.23%,147390
,Tennessee,6.43%,2.46%,97940
,Kansas,6.28%,5.58%,81754
,Mississippi,7.21%,2.92%,195019
,Louisiana,6.18%,3.91%,266457
,Michigan,5.79%,3.38%,500864
,North Carolina,5.08%,4.35%,570708
,Maryland,5.04%,4.40%,112712
,Pennsylvania,5.45%,5.00%,652657
,Virginia,5.24%,3.06%,404322
,Iowa,5.67%,3.85%,287796
,Nebraska,5.47%,1.89%,55503
,South Carolina,6.37%,5.91%,308632
,Oklahoma,5.21%,2.29%,112613
,North Dakota,4.74%,3.10%,105362
,Palau,-,-,10 or fewer
,Arizona,4.03%,3.26%,62626
,Wisconsin,4.76%,3.33%,606858
,Wyoming,3.67%,2.26%,20114
,Minnesota,4.34%,4.74%,402794
,Illinois,5.06%,4.39%,846463
,New Jersey,4.95%,3.94%,113801
,New Hampshire,5.53%,3.33%,78983
,New York,5.41%,7.65%,545960
,Maine,5.97%,4.25%,86539
,Vermont,5.52%,3.94%,28029
,Connecticut,5.62%,8.34%,311227
,Guam,-,-,32
,Alaska,2.83%,2.93%,2049
,New Mexico,4.03%,1.98%,15090
,Texas,4.81%,4.74%,1776928
,South Dakota,4.06%,2.57%,79445
,Oregon,5.32%,5.80%,306570
,Florida,5.09%,4.24%,551917
,Delaware,6.23%,9.13%,98964
,Idaho,4.00%,3.72%,111131
,Puerto Rico,3.97%,5.03%,378
,Massachusetts,5.02%,9.79%,299781
,Nevada,4.36%,4.56%,81209
,Georgia,4.17%,3.59%,528312
,Washington,4.34%,2.57%,174229
,Armed Forces America,-,-,20
,Montana,3.34%,2.57%,29729
,California,4.76%,6.38%,571853
,Hawaii,4.43%,3.04%,71562
,Utah,3.13%,2.54%,104756
,Armed Forces Pacific,-,-,114
,Armed Forces Africa,-,-,171
,Rhode Island,3.64%,5.63%,84522
,Colorado,3.77%,5.04%,381633
,None of the above,4.45%,3.66%,180769
,Total,5.22%,4.69%,14274556
≥ 18 and < 25 Years,"American Samoa, South Pacific",-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Alabama,27.08%,10.45%,11160
,Marshall Islands,-,-,10 or fewer
,Kentucky,32.01%,9.86%,118371
,Northern Mariana Islands,-,-,10 or fewer
,Missouri,26.46%,7.70%,36926
,Ohio,27.65%,10.52%,443069
,West Virginia,29.61%,10.02%,36783
,Indiana,28.81%,8.99%,144949
,Arkansas,33.98%,9.92%,41995
,Tennessee,29.37%,5.75%,48102
,Kansas,26.14%,8.18%,33682
,Mississippi,31.30%,6.70%,67530
,Louisiana,27.07%,8.53%,96459
,Michigan,25.99%,8.63%,217434
,North Carolina,25.45%,9.43%,236126
