Session Title,OBESITY by ICD and BMI State Age 2023,,,
Session ID,2776841,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States AL-DE,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2023 - 12/31/2023,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"KUSILVAK, AK",-,-,10 or fewer
,"WILCOX, AL",-,-,25
,"CLAY, AL",-,-,23
,"CHOCTAW, AL",11.84%,1.75%,1030
,"WALKER, AL",12.79%,-,86
,"CLEBURNE, AL",11.38%,-,123
,"BLOUNT, AL",-,-,40
,"YUKON KOYUKUK, AK",-,-,10 or fewer
,"MARENGO, AL",-,-,120
,"TALLADEGA, AL",-,-,68
,"CLARKE, AL",8.43%,6.63%,166
,"MISSISSIPPI, AR",7.42%,5.27%,1443
,"COOSA, AL",-,-,10 or fewer
,"CHAMBERS, AL",7.05%,-,227
,"SUMTER, AL",9.70%,5.05%,773
,"PIKE, AL",-,-,69
,"MARSHALL, AL",-,-,67
,"GREENE, AL",16.46%,-,158
,"WASHINGTON, AL",7.09%,-,268
,"ALEUTIANS EAST, AK",-,-,10 or fewer
,"MOBILE, AL",8.43%,4.53%,10736
,"BULLOCK, AL",-,-,15
,"CALHOUN, AL",5.22%,-,268
,"MONROE, AL",10.00%,4.58%,240
,"POINSETT, AR",9.15%,5.31%,2372
,"JACKSON, AR",9.03%,3.89%,565
,"LAWRENCE, AR",6.79%,3.11%,707
,"ETOWAH, AL",13.58%,4.41%,1134
,"SAINT FRANCIS, AR",7.61%,4.65%,473
,"RANDOLPH, AL",-,-,178
,"RANDOLPH, AR",9.53%,3.36%,535
,"KENT, DE",8.35%,8.28%,23750
,"NEVADA, AR",9.96%,4.17%,552
,"JACKSON, AL",3.80%,-,316
,"DALLAS, AL",-,-,12
,"CULLMAN, AL",-,-,39
,"MACON, AL",-,-,42
,"SAINT CLAIR, AL",-,-,76
,"WINSTON, AL",-,-,55
,"BARBOUR, AL",9.36%,-,203
,"PHILLIPS, AR",10.59%,6.08%,510
,"COLBERT, AL",-,-,51
,"CONECUH, AL",9.45%,6.69%,254
,"OUACHITA, AR",13.27%,4.60%,2284
,"PERRY, AR",9.64%,5.19%,809
,"GREENE, AR",8.54%,3.24%,2776
,"SHARP, AR",9.46%,2.82%,497
,"CRAIGHEAD, AR",7.86%,4.83%,11750
,"CROSS, AR",7.35%,3.76%,1116
,"PICKENS, AL",9.65%,2.63%,570
