Session Title,OBESITY by ICD and BMI State Age 2025,,,
Session ID,2776847,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States FL_KS,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"PERRY, IL",-,-,12
,"BROWN, KS",-,-,144
,"RANDOLPH, IL",-,-,28
,"FRANKLIN, IL",-,-,45
,"REPUBLIC, KS",-,-,20
,"JEWELL, KS",-,-,10 or fewer
,"ATCHISON, KS",11.38%,7.19%,167
,"DONIPHAN, KS",7.86%,3.61%,471
,"WASHINGTON, IN",9.78%,4.34%,1268
,"HARDIN, IL",-,-,27
,"SMITH, KS",-,-,15
,"GREENE, IL",-,-,128
,"CALHOUN, IL",-,-,29
,"ALEXANDER, IL",8.40%,-,262
,"CHATTOOGA, GA",11.35%,6.73%,758
,"BROWN, IL",-,-,23
,"MURRAY, GA",12.21%,4.13%,2931
,"STEVENS, KS",-,-,11
,"DEKALB, IN",9.48%,5.31%,960
,"CLAY, KS",-,-,71
,"WABAUNSEE, KS",4.13%,2.55%,509
,"JOHNSON, IL",5.51%,-,236
,"CRAWFORD, IN",8.44%,4.22%,474
,"COFFEY, KS",7.66%,-,274
,"JACKSON, IL",16.47%,-,85
,"BOURBON, KS",-,-,64
,"MORRIS, KS",-,-,117
,"WEBSTER, GA",-,-,10 or fewer
,"WOODSON, KS",-,-,34
,"WILLIAMSON, IL",-,-,93
,"PUTNAM, IN",-,-,90
,"PULASKI, IL",10.57%,-,246
,"HARDEE, FL",11.82%,5.03%,1810
,"POPE, IL",-,-,101
,"JERSEY, IL",4.49%,5.39%,334
,"ALLEN, KS",9.91%,4.85%,454
,"NEOSHO, KS",-,-,64
,"JENNINGS, IN",8.28%,4.22%,1304
,"OSAGE, KS",6.93%,4.60%,2151
,"HARRISON, IN",9.16%,4.62%,3659
,"MADISON, IL",7.18%,3.36%,3745
,"MASSAC, IL",7.42%,3.03%,890
,"WILSON, KS",-,-,29
,"HODGEMAN, KS",-,-,16
,"CHEROKEE, KS",-,-,26
,"GORDON, GA",10.94%,6.74%,5501
,"SCOTT, IL",-,-,52
,"CRAWFORD, IA",-,-,118
,"MERIWETHER, GA",8.36%,4.10%,658
,"SCOTT, IN",10.90%,4.79%,1752
,"SWITZERLAND, IN",10.38%,5.10%,1117
,"POTTAWATTAMIE, IA",11.04%,4.56%,987
,"UNION, IN",7.93%,3.92%,1147
,"DELAWARE, IA",5.44%,2.15%,790
,"CASS, IL",8.36%,-,275
,"SCHUYLER, IL",-,-,112
,"FREMONT, IA",-,-,47
,"UNION, IL",5.00%,-,280
,"WORTH, IA",12.38%,6.07%,412
,"SAC, IA",8.72%,3.19%,940
,"SHELBY, IN",8.23%,5.64%,887
,"OHIO, IN",8.03%,4.54%,859
,"CHARLTON, GA",8.98%,3.88%,412
,"LINN, KS",10.64%,4.26%,329
,"BOND, IL",10.34%,3.79%,1160
,"SHELBY, IA",-,-,79
,"WAYNE, IA",13.33%,5.49%,255
,"FRANKLIN, KS",6.16%,3.72%,1640
,"CHRISTIAN, IL",7.05%,2.23%,1121
,"JAY, IN",6.92%,-,159
,"TAMA, IA",9.48%,6.66%,2448
,"PHILLIPS, KS",-,-,18
,"RUSH, IN",8.77%,4.56%,285
,"LEAVENWORTH, KS",7.14%,6.42%,1806
,"LYON, KS",7.17%,2.86%,2902
,"TALIAFERRO, GA",-,-,48
,"SAINT CLAIR, IL",7.08%,3.18%,4660
,"BUTLER, IA",8.29%,4.85%,1629
,"LAWRENCE, IL",6.61%,3.78%,847
,"HANCOCK, GA",11.95%,-,159
,"GREENE, IN",10.78%,-,102
,"PAGE, IA",-,-,100
,"JACKSON, IN",8.42%,3.87%,1033
,"CATOOSA, GA",10.12%,4.39%,2826
,"POTTAWATOMIE, KS",7.11%,2.77%,759
,"HENDERSON, IL",9.80%,4.22%,806
,"POCAHONTAS, IA",10.38%,4.95%,1031
,"PIKE, IN",9.40%,4.20%,1191
,"CLOUD, KS",-,-,19
,"CASS, IA",8.80%,-,125
,"STARKE, IN",7.40%,2.28%,703
,"BUCHANAN, IA",6.60%,5.13%,1833
,"NEWTON, IN",-,-,124
,"APPANOOSE, IA",13.07%,6.67%,1155
,"MONTGOMERY, KS",-,-,115
,"MUSCATINE, IA",9.13%,9.10%,7747
,"FAYETTE, IN",9.01%,4.92%,3397
,"MORGAN, IL",7.01%,2.63%,571
,"LIVINGSTON, IL",8.31%,2.94%,4523
,"JACKSON, KS",6.09%,3.30%,969
,"RANDOLPH, IN",7.71%,4.22%,947
,"JASPER, IA",6.71%,3.94%,2459
