Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2024,,,
Session ID,2780415,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Country of Residence: United States of America,State of Residence: States KY_NC,Has Any Encounters?,Base Patient
Session Date Range,1/1/2024 - 12/31/2024,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/25/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"VANCE, NC",1.72%,1.80%,2328
,"BERTIE, NC",-,0.60%,2155
,"LENOIR, NC",0.90%,1.22%,5879
,"WASHINGTON, NC",-,0.81%,1357
,"CLEVELAND, NC",-,0.50%,3015
,"MARTIN, NC",0.75%,1.13%,2122
,"WEBSTER, MS",-,-,1472
,"HERTFORD, NC",0.70%,0.95%,2851
,"BLADEN, NC",1.01%,1.19%,4555
,"PERRY, MS",0.61%,0.56%,2303
,"MUHLENBERG, KY",1.95%,2.06%,872
,"WARREN, NC",-,1.58%,695
,"GRANVILLE, NC",0.69%,0.85%,5794
,"YADKIN, NC",-,0.34%,3566
,"EDGECOMBE, NC",0.68%,1.11%,7402
,"SOMERSET, MD",0.73%,1.06%,1509
,"WILSON, NC",1.01%,1.25%,4635
,"ESMERALDA, NV",-,-,10 or fewer
,"CLAY, MS",0.45%,0.61%,3100
,"WALTHALL, MS",0.85%,1.32%,1292
,"JEFFERSON DAVIS, MS",-,-,1285
,"PENDLETON, KY",-,-,2669
,"YAZOO, MS",0.87%,1.02%,2649
,"HOWARD, MO",-,-,10 or fewer
,"STOKES, NC",-,0.33%,5492
,"ANDERSON, KY",0.40%,0.55%,3259
,"POWELL, KY",-,-,598
,"MCDOWELL, NC",-,-,2889
,"ESTILL, KY",-,1.00%,1602
,"SURRY, NC",-,0.38%,4745
,"GATES, NC",-,-,880
,"CHRISTIAN, KY",-,-,890
,"KNOX, KY",0.92%,1.31%,3053
,"ALAMANCE, NC",0.57%,0.84%,22703
,"GRUNDY, MO",-,-,1447
,"WAYNE, NC",0.63%,0.96%,10097
,"BEAUFORT, NC",0.55%,0.90%,4769
,"BOYD, NE",-,-,46
,"SCHOHARIE, NY",0.40%,0.53%,3774
,"SAMPSON, NC",0.92%,1.27%,3692
,"MERCER, MO",-,-,406
,"KEMPER, MS",1.38%,1.50%,867
,"CHOWAN, NC",-,0.61%,2302
,"COVINGTON, MS",0.78%,0.92%,2818
,"RUTHERFORD, NC",-,1.14%,1055
,"SAINT FRANCOIS, MO",-,-,1368
,"ORLEANS, NY",0.56%,0.61%,3935
,"MONTGOMERY, MS",-,-,975
,"NANCE, NE",-,-,108
,"CALDWELL, NC",0.21%,0.40%,11263
,"TODD, KY",-,-,44
,"LESLIE, KY",-,1.04%,1255
,"GALLATIN, KY",-,-,1348
,"RIPLEY, MO",-,-,885
,"ROBESON, NC",0.58%,0.91%,12866
,"IRON, MO",-,-,239
,"LAUREL, KY",0.82%,1.02%,3644
,"MARION, MS",0.63%,0.73%,3981
,"SPENCER, KY",0.55%,0.63%,2381
,"LAWRENCE, MS",-,0.76%,1439
,"KEYA PAHA, NE",-,-,15
,"WHITLEY, KY",0.42%,0.58%,6376
,"FRANKLIN, NC",0.74%,0.89%,8094
,"DAVIE, NC",-,0.33%,3605
,"WORTH, MO",-,-,212
,"MISSISSIPPI, MO",-,-,2065
,"HINDS, MS",0.61%,0.80%,22695
,"UNION, KY",-,0.47%,2361
,"MADISON, NC",-,-,1295
,"CHOCTAW, MS",-,-,614
,"NEWTON, MS",0.83%,1.18%,2036
,"DAVIDSON, NC",0.14%,0.40%,11823
,"WASHINGTON, MD",0.25%,0.58%,19684
,"CASWELL, NC",-,0.93%,1391
,"ROWAN, NC",0.27%,0.50%,9820
,"WASHINGTON, MO",-,-,159
,"GRANT, KY",0.26%,0.37%,6175
,"POINTE COUPEE, LA",-,-,2725
,"NORTHAMPTON, NC",-,0.87%,1616
,"SULLIVAN, MO",-,-,83
,"HYDE, NC",-,-,311
,"NELSON, KY",0.73%,0.88%,3426
,"ST JOHN THE BAPTIST, LA",-,0.33%,3946
,"WAYNE, NY",0.41%,0.65%,15616
,"RAY, MO",-,-,196
,"FREEBORN, MN",-,-,199
