Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2024,,,
Session ID,2775930,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States WA_WY,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2024 - 12/31/2024,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"CLAY, WV",-,-,663
,"TYLER, WV",-,-,1023
,"DODDRIDGE, WV",-,-,687
,"WETZEL, WV",0.60%,0.68%,2487
,"BRAXTON, WV",-,0.91%,1315
,"LEWIS, WV",-,-,2060
,"PLEASANTS, WV",-,-,567
,"UPSHUR, WV",0.39%,0.48%,3345
,"HARRISON, WV",0.48%,0.63%,11399
,"WIRT, WV",-,-,564
,"MENOMINEE, WI",-,-,686
,"NICHOLAS, WV",0.81%,1.45%,1859
,"WOOD, WV",0.48%,0.63%,10477
,"POCAHONTAS, WV",-,-,213
,"RITCHIE, WV",-,-,958
,"BROOKE, WV",-,-,1459
,"TAYLOR, WV",-,-,1733
,"MARSHALL, WV",0.25%,0.38%,4715
,"WAUSHARA, WI",-,1.00%,1306
,"PEPIN, WI",-,-,467
,"BARBOUR, WV",-,0.95%,1260
,"MARQUETTE, WI",-,-,858
,"MINERAL, WV",0.54%,0.78%,2938
,"WEBSTER, WV",-,-,433
,"WASHBURN, WI",-,-,1158
,"OHIO, WV",0.20%,0.34%,6508
,"GILMER, WV",-,-,398
,"RUSK, WI",-,-,759
,"CALHOUN, WV",-,-,314
,"ROCK, WI",0.43%,0.67%,19241
,"MARION, WV",0.47%,0.57%,8947
,"ADAMS, WI",-,0.95%,1155
,"GRANT, WV",-,-,1140
,"PIERCE, WI",-,0.72%,1537
,"WAHKIAKUM, WA",-,-,205
,"SAWYER, WI",-,-,1516
,"SHEBOYGAN, WI",0.29%,0.33%,19010
,"JACKSON, WV",-,0.31%,4551
,"BAYFIELD, WI",-,-,1231
,"DODGE, WI",0.73%,0.97%,6886
,"WALWORTH, WI",0.42%,0.49%,13755
,"ROANE, WV",-,-,487
,"POLK, WI",-,0.99%,1110
,"MINGO, WV",-,-,634
