Session Title,OBESITY by ICD and BMI County ALDE Age 2026,,,
Session ID,2815139,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,4/30/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"LAKE AND PENINSULA, AK",,,10 or fewer,
"LOWER CT RIVER VLY, CT",,,10 or fewer,
"WESTERN CT, CT",,,10 or fewer,
"BRISTOL BAY, AK",,,10 or fewer,
"BETHEL, AK",,,16,
"CHOCTAW, AL",55.30%,30.58%,4732,
"WASHINGTON, AL",53.15%,32.30%,2034,
"MISSISSIPPI, AR",52.36%,26.73%,8273,
"RUSSELL, AL",52.22%,27.60%,11636,
"CLARKE, AL",52.08%,27.47%,2162,
"SUMTER, AL",51.33%,33.77%,3127,
"MOBILE, AL",51.20%,38.19%,62570,
"CHAMBERS, AL",51.02%,27.33%,3238,
"SAINT FRANCIS, AR",50.14%,29.90%,3227,
"NORTHEASTERN CT, CT",,,10 or fewer,
"CONECUH, AL",49.72%,17.91%,1072,
"CROWLEY, CO",49.64%,30.30%,703,
"NEVADA, AR",49.28%,31.06%,1877,
"DALLAS, AR",49.00%,28.53%,1255,
"POINSETT, AR",49.00%,25.54%,8419,
"LAWRENCE, AR",48.82%,20.42%,3134,
"PERRY, AR",48.61%,33.94%,2705,
"OUACHITA, AR",48.34%,32.68%,6907,
"MONROE, AL",48.31%,20.11%,1865,
"RANDOLPH, AR",48.03%,19.00%,2490,
"MACON, AL",48.03%,12.27%,660,
"CLARK, AR",48.02%,29.77%,7478,
"SCOTT, AR",47.79%,23.74%,1858,
"PHILLIPS, AR",47.69%,25.66%,2428,
"CLAY, AR",47.58%,23.31%,2312,
"PICKENS, AL",47.56%,25.32%,2559,
"HOT SPRING, AR",47.46%,25.41%,6859,
"RANDOLPH, AL",47.36%,23.40%,1970,
"CRITTENDEN, AR",47.35%,30.30%,14460,
"WILCOX, AL",47.10%,25.36%,414,
"ALPINE, CA",47.06%,32.35%,170,
"PUEBLO, CO",46.94%,33.80%,50057,
"CLEBURNE, AL",46.86%,24.68%,1082,
"GREENE, AR",46.81%,20.52%,11259,
"JACKSON, AR",46.76%,22.88%,2517,
"CROSS, AR",46.73%,37.19%,4719,
"MARENGO, AL",46.65%,22.08%,1046,
"DALE, AL",46.57%,20.02%,7571,
"BARBOUR, AL",46.54%,15.70%,2789,
"CRAIGHEAD, AR",46.48%,22.41%,39836,
"HOUSTON, AL",46.29%,24.33%,24672,
"BENT, CO",46.20%,25.20%,619,
"GREENE, AL",46.18%,17.49%,589,
