Session Title,OBESITY by ICD and BMI County FLKS Age 2026,,,
Session ID,2818140,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"KALAWAO, HI",,,10 or fewer,
"JEWELL, KS",58.86%,21.52%,158,
"ALEXANDER, IL",54.92%,63.97%,1371,
"FRANKLIN, IL",54.67%,22.70%,2599,
"RANDOLPH, IL",54.49%,29.83%,2072,
"GREENE, IL",54.07%,24.19%,984,
"HARDIN, IL",54.05%,31.29%,457,
"DONIPHAN, KS",54.04%,21.40%,3005,
"WASHINGTON, IN",54.04%,38.74%,8218,
"ATCHISON, KS",53.87%,25.01%,3143,
"MURRAY, GA",53.73%,32.87%,15855,
"HODGEMAN, KS",53.70%,20.37%,54,
"ALLEN, KS",53.58%,25.40%,3464,
"BROWN, IL",53.57%,15.48%,168,
"MERIWETHER, GA",53.14%,30.97%,7136,
"WOODSON, KS",53.08%,21.87%,439,
"PERRY, IL",52.96%,18.69%,1552,
"REPUBLIC, KS",52.58%,15.50%,329,
"DEKALB, IN",52.42%,32.26%,4805,
"CASS, IL",52.11%,24.34%,1019,
"WARREN, GA",52.05%,20.99%,1391,
"PHILLIPS, KS",51.99%,16.67%,402,
"RUSSELL, KS",51.84%,19.63%,326,
"WABAUNSEE, KS",51.66%,32.96%,2867,
"BOND, IL",51.54%,36.08%,6123,
"BURKE, GA",51.51%,26.37%,3918,
"OWEN, IN",51.37%,26.09%,732,
"BROWN, KS",51.34%,23.49%,2082,
"HARDEE, FL",51.14%,48.81%,8041,
"WILSON, KS",50.99%,22.52%,302,
"HARPER, KS",50.98%,21.57%,51,
"HARRISON, IN",50.84%,41.64%,18269,
"MCDUFFIE, GA",50.78%,21.31%,5790,
"SHELBY, IN",50.76%,27.64%,4714,
"SCOTT, IN",50.72%,28.72%,8526,
"SMITH, KS",50.64%,18.27%,312,
"RUSH, IN",50.64%,28.27%,1171,
"BOURBON, KS",50.63%,24.86%,1436,
"MASSAC, IL",50.62%,39.03%,5239,
"CHRISTIAN, IL",50.62%,26.16%,5834,
"JOHNSON, IL",50.52%,35.84%,2193,
"RUSH, KS",50.49%,21.92%,511,
"GRANT, KS",50.49%,20.39%,103,
"SAINT CLAIR, IL",50.44%,33.80%,35450,
"POPE, IL",50.41%,34.69%,980,
"WEBSTER, GA",50.37%,31.11%,135,
"SWITZERLAND, IN",50.37%,27.74%,4330,
"PULASKI, IL",50.32%,50.95%,1419,
"JENNINGS, IN",50.23%,22.56%,6400,
"ROCKDALE, GA",50.17%,30.86%,24806,
"NEWTON, GA",50.17%,28.32%,33536,
"MADISON, IL",50.11%,29.83%,33723,
"CHEROKEE, KS",50.08%,22.26%,629,
"ELK, KS",50.00%,26.19%,42,
"SCOTT, IL",50.00%,23.46%,260,
"CRAWFORD, IN",49.92%,36.68%,3552,
"LINN, KS",49.89%,30.14%,3275,
"SEMINOLE, GA",49.88%,25.12%,812,
"FRANKLIN, KS",49.87%,33.11%,10651,
"CHARLTON, GA",49.80%,31.20%,1468,
"STEWART, GA",49.79%,25.97%,466,
"TROUP, GA",49.78%,30.08%,29280,
"JERSEY, IL",49.78%,25.09%,2276,
"LEAVENWORTH, KS",49.69%,29.13%,19140,
"MORRIS, KS",49.67%,25.58%,1075,
"RANDOLPH, IN",49.65%,31.08%,4179,
"NEOSHO, KS",49.64%,21.86%,1116,
"TALIAFERRO, GA",49.60%,20.84%,379,
"SAC, IA",49.60%,22.72%,3913,
"QUITMAN, GA",49.57%,20.43%,230,
