Session Title,OBESITY by ICD and BMI County KYNY Age 2026,,,
Session ID,2818141,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"KNOX, MO",69.23%,42.31%,26,
"HOWARD, MO",63.64%,29.55%,44,
"ISSAQUENA, MS",58.82%,38.24%,34,
"JEFFERSON, MS",57.08%,23.31%,459,
"JASPER, MS",56.76%,26.88%,3980,
"LAWRENCE, MS",56.30%,26.53%,5055,
"LOUP, NE",55.93%,25.42%,59,
"CLAIBORNE, MS",55.62%,25.19%,516,
"PIKE, MS",55.30%,24.79%,11533,
"SHARKEY, MS",55.19%,22.41%,241,
"YAZOO, MS",55.18%,20.29%,8715,
"HOLT, NE",54.98%,19.15%,1666,
"HARLAN, NE",54.85%,17.82%,505,
"IRON, MO",54.68%,59.67%,962,
"SOMERSET, MD",54.64%,34.40%,9798,
"WAYNE, MS",54.58%,24.24%,3527,
"POWELL, KY",54.46%,28.18%,2771,
"WALTHALL, MS",54.24%,26.82%,5094,
"KEMPER, MS",54.16%,32.61%,3462,
"SHERMAN, NE",54.03%,27.44%,583,
"FRANKLIN, MS",54.01%,23.46%,861,
"TUNICA, MS",53.85%,28.09%,1716,
"JEFFERSON DAVIS, MS",53.64%,29.91%,4707,
"NEWTON, MS",53.62%,31.83%,7660,
"NANCE, NE",53.61%,31.40%,707,
"HINDS, MS",53.58%,27.91%,46386,
"SCOTT, MS",53.57%,24.40%,5021,
"FRANKLIN, NE",53.57%,24.49%,588,
"DEKALB, MO",53.45%,23.53%,3001,
"SCOTLAND, MO",53.45%,29.31%,58,
"LINCOLN, MS",53.30%,21.37%,3758,
"HARRISON, MO",53.26%,21.34%,1504,
"MADISON, MO",53.15%,66.89%,1033,
"KEYA PAHA, NE",53.13%,24.22%,128,
"HUMPHREYS, MS",53.06%,22.21%,914,
"JACKSON, KY",52.97%,30.52%,3912,
"WASHINGTON, KY",52.95%,28.66%,2512,
"ROBERTSON, KY",52.91%,33.14%,344,
"HOLMES, MS",52.86%,21.51%,2399,
"ROCK, NE",52.76%,19.63%,163,
"WINSTON, MS",52.64%,26.30%,2958,
"QUITMAN, MS",52.63%,26.32%,760,
"WILKINSON, MS",52.55%,26.42%,1374,
"SAINT FRANCOIS, MO",52.45%,68.38%,6002,
"AMITE, MS",52.41%,23.83%,2656,
"FURNAS, NE",52.24%,20.61%,825,
"YORK, NE",52.19%,23.34%,1487,
"MARION, MO",52.17%,17.39%,92,
"CLINTON, MO",52.02%,24.62%,4631,
"FRANKLIN, NY",52.01%,29.98%,20529,
"KEARNEY, NE",51.96%,20.66%,1147,
"RANDOLPH, MO",51.96%,27.45%,102,
"HITCHCOCK, NE",51.95%,19.15%,564,
"LUCE, MI",51.95%,22.08%,154,
"PHELPS, NE",51.92%,21.78%,1171,
"SMITH, MS",51.90%,25.45%,3081,
"BROWN, NE",51.90%,19.53%,343,
"MARION, MS",51.88%,28.47%,12378,
"SAINT HELENA, LA",51.87%,29.86%,2599,
"WASHINGTON, MO",51.85%,60.07%,596,
"NELSON, KY",51.84%,34.78%,21935,
"COPIAH, MS",51.84%,24.69%,3617,
"JONES, MS",51.81%,24.12%,17442,
"AUDRAIN, MO",51.76%,30.59%,85,
"HOLT, MO",51.75%,23.28%,1654,
"FLOYD, KY",51.72%,30.65%,10322,
"LARUE, KY",51.72%,44.98%,7864,
"GOSPER, NE",51.66%,19.54%,302,
"OWSLEY, KY",51.54%,22.77%,584,
"SCOTT, KY",51.53%,31.94%,18582,
"NESHOBA, MS",51.51%,31.78%,9190,
"GREENE, MS",51.47%,23.01%,2586,
"SALINE, MO",51.46%,25.10%,478,
"LAUREL, KY",51.45%,24.89%,17712,
"PIKE, KY",51.43%,35.59%,26701,
"NICHOLAS, KY",51.41%,32.95%,1208,
"SIMPSON, MS",51.40%,26.53%,4387,
"WARREN, MS",51.34%,19.11%,4112,
"CHOCTAW, MS",51.32%,26.42%,1900,
"PERRY, MS",51.28%,29.65%,6782,
"MONROE, MS",51.27%,21.62%,15281,
"COVINGTON, MS",51.27%,29.06%,8760,
"WORCESTER, MD",51.19%,34.02%,31647,
"OSWEGO, NY",51.17%,26.12%,10283,
"TEXAS, MO",51.16%,22.10%,2547,
"HARRISON, KY",51.13%,29.19%,3683,
"LETCHER, KY",51.11%,31.29%,3909,
"GENTRY, MO",51.09%,17.51%,3169,
"SPENCER, KY",51.07%,30.87%,10674,
"DENT, MO",51.05%,27.41%,5530,
"CUSTER, NE",51.03%,21.88%,2134,
"SUNFLOWER, MS",51.00%,24.50%,902,
"ARENAC, MI",51.00%,23.11%,2055,
"WORTH, MO",50.93%,16.23%,1023,
"TRIMBLE, KY",50.92%,28.76%,3735,
"MERRICK, NE",50.90%,27.48%,3232,
"RICHARDSON, NE",50.83%,17.45%,2052,
"MEADE, KY",50.80%,35.53%,12792,
"CHICKASAW, MS",50.75%,22.81%,7860,
"FREEBORN, MN",50.75%,30.46%,1533,
"CHAUTAUQUA, NY",50.72%,25.91%,25124,
"WICOMICO, MD",50.69%,30.24%,47853,
"LEE, KY",50.68%,25.02%,1399,
"RANKIN, MS",50.68%,25.16%,38659,
