Session Title,OBESITY by ICD and BMI County UTWY Age 2026,,,
Session ID,2819406,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Utah, Vermont, Virginia, West Virginia, Washington, Wisconsin, Wyoming",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"PORTSMOUTH CITY, VA",56.60%,33.60%,33469,
"PETERSBURG CITY, VA",56.15%,25.74%,11221,
"FRANKLIN CITY, VA",55.47%,30.91%,5017,
"SUSSEX, VA",55.04%,26.21%,2869,
"HOPEWELL CITY, VA",54.73%,24.14%,5273,
"TYLER, WV",54.67%,36.48%,4136,
"MINGO, WV",54.58%,32.52%,3712,
"SOUTHAMPTON, VA",54.52%,30.33%,6519,
"WEBSTER, WV",54.38%,29.77%,2795,
"MCDOWELL, WV",54.02%,22.08%,3175,
"SURRY, VA",53.84%,33.94%,2914,
"PRINCE EDWARD, VA",53.82%,20.28%,3250,
"BRUNSWICK, VA",53.78%,27.26%,5608,
"NOTTOWAY, VA",53.53%,26.62%,4278,
"BUCHANAN, VA",53.51%,28.32%,4569,
"WIRT, WV",53.45%,26.75%,2419,
"SUFFOLK CITY, VA",53.36%,35.24%,40127,
"GREENSVILLE, VA",53.33%,21.91%,4673,
"HAMPTON CITY, VA",53.32%,36.73%,56383,
"CUMBERLAND, VA",53.18%,26.82%,2110,
"MANASSAS PARK CITY, VA",52.81%,32.50%,2689,
"CAMPBELL, VA",52.75%,12.72%,7124,
"PLEASANTS, WV",52.59%,27.27%,2816,
"DODDRIDGE, WV",52.53%,33.15%,3225,
"RITCHIE, WV",52.52%,29.38%,4292,
"CALHOUN, WV",52.20%,24.47%,1569,
"WETZEL, WV",52.12%,35.01%,9000,
"COLONIAL HEIGHTS CITY, VA",52.10%,24.31%,6848,
"APPOMATTOX, VA",52.01%,13.20%,2834,
"ESSEX, VA",51.99%,26.99%,5376,
"NICHOLAS, WV",51.96%,31.91%,10436,
"DINWIDDIE, VA",51.95%,23.39%,7316,
"KING AND QUEEN, VA",51.94%,27.82%,3142,
"ACCOMACK, VA",51.73%,29.48%,14826,
"DOOR, WI",51.68%,35.61%,17287,
"WYTHE, VA",51.49%,18.26%,5032,
"HARDY, WV",51.48%,28.39%,5524,
"PULASKI, VA",51.44%,11.25%,1627,
"CHARLOTTE, VA",51.37%,23.97%,2891,
"BUCKINGHAM, VA",51.35%,26.97%,5128,
"JACKSON, WV",50.74%,32.86%,14575,
"MECKLENBURG, VA",50.70%,32.11%,14294,
"BRAXTON, WV",50.68%,43.97%,6754,
"PAGE, VA",50.63%,32.35%,14838,
"BARBOUR, WV",50.62%,27.81%,5873,
"AMHERST, VA",50.61%,14.21%,6216,
"AMELIA, VA",50.61%,23.56%,3527,
"TAZEWELL, VA",50.50%,22.59%,8667,
"GRANT, WV",50.48%,27.98%,6369,
"LEWIS, WV",50.44%,25.90%,7964,
"ISLE OF WIGHT, VA",50.42%,33.24%,20228,
"TAYLOR, WV",50.30%,26.90%,6906,
"PENDLETON, WV",50.27%,27.22%,2733,
"LUNENBURG, VA",50.26%,26.47%,3283,
"NEWPORT NEWS CITY, VA",50.25%,32.78%,73287,
"RUSSELL, VA",50.12%,21.49%,10459,
"PRINCE GEORGE, VA",50.10%,22.38%,7204,
"WOOD, WV",50.09%,28.53%,41336,
"NORFOLK CITY, VA",49.93%,30.77%,67619,
"WESTMORELAND, VA",49.87%,22.94%,4604,
"FAYETTE, WV",49.85%,23.33%,4419,
"MINERAL, WV",49.73%,30.48%,12900,
"DICKENSON, VA",49.64%,24.29%,6052,
"BOONE, WV",49.55%,25.90%,3255,
"GILMER, WV",49.47%,29.31%,1805,
"ROANE, WV",49.36%,24.17%,2180,
"CHARLES CITY, VA",49.26%,27.65%,2832,
"HALIFAX, VA",49.25%,29.48%,15537,
"MARION, WV",49.15%,27.74%,31077,
"BERKELEY, WV",49.04%,28.39%,75686,
"DANVILLE CITY, VA",48.87%,21.68%,5024,
"PITTSYLVANIA, VA",48.79%,17.50%,7177,
"LOGAN, WV",48.74%,22.62%,2776,
"UPSHUR, WV",48.73%,28.27%,12648,
"HARRISON, WV",48.70%,28.77%,40873,
"RANDOLPH, WV",48.70%,20.71%,8679,
"NORTHAMPTON, VA",48.64%,27.72%,5506,
"KING WILLIAM, VA",48.63%,25.49%,7610,
"CAROLINE, VA",48.59%,24.67%,5139,
"SMYTH, VA",48.59%,19.55%,13034,
"BROOKE, WV",48.54%,25.16%,10949,
"WISE, VA",48.52%,22.47%,17969,
"MARINETTE, WI",48.48%,32.78%,28979,
"LYNCHBURG CITY, VA",48.33%,10.78%,13619,
"BURNETT, WI",48.27%,22.33%,4214,
"HAMPSHIRE, WV",48.23%,23.34%,10918,
"KEWAUNEE, WI",48.16%,31.25%,13269,
"BLAND, VA",48.13%,16.33%,1176,
"MORGAN, WV",48.13%,25.52%,9047,
"LEE, VA",48.12%,18.53%,7852,
"OCONTO, WI",48.08%,29.09%,23958,
"MARSHALL, WV",48.01%,30.71%,17418,
"MERCER, WV",47.97%,22.42%,22612,
"LOUISA, VA",47.96%,27.45%,17437,
"CHESAPEAKE CITY, VA",47.93%,28.71%,77476,
"SHENANDOAH, VA",47.79%,27.87%,26391,
"PRESTON, WV",47.78%,24.63%,11678,
"HENRY, VA",47.65%,20.44%,3998,
"CARROLL, VA",47.60%,24.37%,3750,
"TUCKER, WV",47.58%,22.12%,2152,
"GLOUCESTER, VA",47.49%,30.97%,22862,
"EMPORIA CITY, VA",47.42%,23.37%,445,
"RICHMOND, VA",47.37%,22.58%,4482,
"RALEIGH, WV",47.31%,19.43%,5060,
"SCOTT, VA",47.03%,17.97%,7345,
"WASHINGTON, VA",46.99%,23.10%,24096,
"MANASSAS CITY, VA",46.94%,27.96%,11868,
"FLUVANNA, VA",46.67%,29.29%,15217,
"MANITOWOC, WI",46.53%,36.14%,52759,
"ROCKINGHAM, VA",46.46%,28.62%,39012,
"BRISTOL CITY, VA",46.38%,23.34%,6218,
"LINCOLN, WV",46.36%,20.40%,3421,
"GREENE, VA",46.34%,31.11%,10609,
"SHAWANO, WI",46.17%,31.77%,10250,
"JEFFERSON, WV",46.01%,26.50%,30944,
"SUMMERS, WV",46.00%,19.41%,1226,
"GREENBRIER, WV",45.85%,18.50%,2951,
"WASHBURN, WI",45.76%,30.31%,5642,
"CHIPPEWA, WI",45.72%,21.44%,11804,
"NORTON CITY, VA",45.66%,21.08%,2225,
"PATRICK, VA",45.54%,22.09%,2789,
"RUSK, WI",45.38%,22.32%,2563,
"GALAX CITY, VA",45.37%,18.61%,1177,
"BEDFORD, VA",45.35%,10.11%,9323,
"GRAYSON, VA",45.33%,18.17%,1926,
"HANCOCK, WV",45.31%,20.37%,12334,
"MADISON, VA",45.18%,25.85%,6337,
"PEPIN, WI",45.18%,25.41%,2074,
"MARTINSVILLE CITY, VA",45.15%,19.47%,1515,
"DOUGLAS, WI",45.10%,32.76%,24264,
"CHESTERFIELD, VA",45.04%,21.63%,115777,
"GILES, VA",44.90%,11.94%,804,
"OHIO, WV",44.90%,28.38%,26008,
"FOREST, WI",44.82%,25.11%,908,
"WARREN, VA",44.77%,27.06%,21092,
"KANAWHA, WV",44.56%,23.60%,47380,
"GRANT, WA",44.53%,24.61%,26587,
"AUGUSTA, VA",44.53%,21.41%,23830,
"NORTHUMBERLAND, VA",44.52%,18.84%,7437,
"SHEBOYGAN, WI",44.40%,34.12%,75142,
"MASON, WV",44.25%,19.97%,3385,
"MARQUETTE, WI",44.22%,23.63%,4672,
"POWHATAN, VA",44.22%,21.62%,9168,
"PIERCE, WI",44.20%,29.55%,5668,
"BUFFALO, WI",44.06%,26.44%,4001,
"MATHEWS, VA",44.05%,24.96%,5616,
"FOND DU LAC, WI",43.99%,30.40%,28869,
"POQUOSON CITY, VA",43.97%,27.67%,5888,
"MIDDLESEX, VA",43.89%,26.15%,6888,
"WAUSHARA, WI",43.88%,33.16%,5690,
"NEW KENT, VA",43.88%,23.77%,10873,
