Session Title,OBESITY by ICD and BMI County Age 2025,,,
Session ID,2776887,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States AL-DE,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"PERRY, AL",-,-,10 or fewer
,"WALKER, AL",-,-,24
,"CLEBURNE, AL",-,-,75
,"CHOCTAW, AL",12.33%,4.18%,933
,"MARENGO, AL",-,-,112
,"TALLADEGA, AL",-,-,33
,"COOSA, AL",-,-,10 or fewer
,"CALHOUN, AL",-,-,133
,"WILCOX, AL",-,-,19
,"CLARKE, AL",9.86%,-,142
,"BLOUNT, AL",-,-,22
,"BUTLER, AL",-,-,21
,"CHAMBERS, AL",6.98%,-,172
,"WASHINGTON, AL",7.94%,-,214
,"MACON, AL",-,-,43
,"CHEROKEE, AL",15.08%,10.32%,126
,"MISSISSIPPI, AR",9.51%,5.35%,1683
,"CLAY, AL",-,-,12
,"LOWNDES, AL",-,-,10 or fewer
,"GREENE, AL",11.54%,-,130
,"MOBILE, AL",10.32%,9.44%,8316
,"SUMTER, AL",8.12%,14.53%,764
,"RANDOLPH, AL",-,-,111
,"CONECUH, AL",8.89%,10.22%,225
,"SAINT FRANCIS, AR",9.50%,7.09%,621
,"PICKENS, AL",8.08%,5.24%,458
,"ETOWAH, AL",13.40%,6.82%,836
,"MONROE, AL",8.89%,9.33%,225
,"HALE, AL",10.00%,18.67%,150
,"ALPINE, CA",24.49%,-,49
,"NEVADA, AR",14.82%,5.78%,398
,"BARBOUR, AL",9.70%,-,134
,"ALEUTIANS EAST, AK",-,-,10 or fewer
,"KENT, DE",8.72%,9.91%,21893
,"LAWRENCE, AR",7.15%,4.77%,713
,"POINSETT, AR",9.31%,5.12%,2266
,"RANDOLPH, AR",8.94%,3.88%,593
,"JACKSON, AL",6.52%,-,230
,"OUACHITA, AR",12.43%,3.27%,1867
,"SAINT CLAIR, AL",-,-,54
,"PIKE, AL",-,-,56
,"FAYETTE, AL",-,-,54
,"WINSTON, AL",-,-,31
,"PERRY, AR",9.74%,6.59%,698
,"AUTAUGA, AL",-,-,26
,"CROSS, AR",7.24%,5.71%,1436
,"JACKSON, AR",8.06%,3.51%,484
,"MARSHALL, AL",-,-,47
,"BRISTOL BAY, AK",-,-,10 or fewer
,"CROWLEY, CO",13.51%,-,111
,"MONROE, AR",10.88%,4.58%,524
,"DALE, AL",3.62%,2.05%,828
,"CLARK, AR",9.97%,4.14%,1474
,"SUSSEX, DE",9.44%,13.25%,23739
,"PHILLIPS, AR",10.26%,7.69%,546
,"COLBERT, AL",-,-,58
,"GREENE, AR",8.79%,4.44%,2479
,"SHARP, AR",10.22%,3.99%,401
,"SCOTT, AR",10.13%,2.87%,523
,"BIBB, AL",-,-,20
,"CRITTENDEN, AR",8.67%,7.47%,4268
,"BULLOCK, AL",-,-,10 or fewer
,"BENT, CO",-,-,97
,"JOHNSON, AR",12.88%,4.41%,1157
,"CRAIGHEAD, AR",8.21%,5.98%,11191
,"CULLMAN, AL",-,-,23
,"YUKON KOYUKUK, AK",-,-,10 or fewer
,"DALLAS, AL",-,-,10 or fewer
,"HOUSTON, AL",6.09%,2.02%,2626
,"PROWERS, CO",15.79%,10.23%,342
,"DALLAS, AR",11.55%,6.08%,329
,"HENRY, AL",9.48%,-,232
,"CLAY, AR",6.46%,3.09%,712
,"LOGAN, AR",8.24%,4.01%,922
,"SEDGWICK, CO",-,-,45
,"LAMAR, AL",5.72%,3.59%,612
,"PUEBLO, CO",8.58%,4.74%,8414
,"HOT SPRING, AR",10.07%,5.13%,1579
,"TALLAPOOSA, AL",-,-,10 or fewer
,"PRINCE OF WALES HYDER, AK",-,-,10 or fewer
,"MARION, AL",8.73%,8.34%,1283
,"OTERO, CO",8.63%,5.54%,614
,"MILLER, AR",10.91%,5.77%,1439
,"RUSSELL, AL",9.76%,5.85%,205
,"FRANKLIN, AL",7.98%,-,163
,"LEE, AR",8.93%,5.71%,280
,"TUSCALOOSA, AL",8.51%,13.99%,2480
,"CRAWFORD, AR",9.30%,5.39%,5841
,"SALINE, AR",7.88%,9.22%,8417
,"ALEUTIANS WEST, AK",-,-,10 or fewer
,"LAFAYETTE, AR",10.07%,-,149
,"YUMA, AZ",-,-,68
,"VAN BUREN, AR",6.26%,3.33%,511
,"COVINGTON, AL",7.60%,-,250
,"LITTLE RIVER, AR",9.50%,4.15%,337
,"BALDWIN, AL",7.44%,3.85%,9072
,"SEBASTIAN, AR",10.24%,6.23%,9807
,"ARKANSAS, AR",9.46%,5.65%,2337
,"ESCAMBIA, AL",6.23%,6.41%,1139
,"LAUDERDALE, AL",-,-,19
,"LONOKE, AR",6.47%,6.51%,6662
,"CLEBURNE, AR",10.30%,3.40%,1884
