Session Title,OBESITY by ICD and BMI County Age 2023,,,
Session ID,2776933,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States FL_KS,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2023 - 12/31/2023,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"CALHOUN, IL",-,-,21
,"WEBSTER, GA",-,-,10 or fewer
,"PERRY, IL",-,-,34
,"BROWN, KS",13.40%,10.31%,194
,"DONIPHAN, KS",9.71%,2.27%,484
,"FRANKLIN, IL",-,-,50
,"RANDOLPH, IL",-,-,61
,"DEKALB, IN",10.17%,3.87%,905
,"ATCHISON, KS",11.87%,5.48%,219
,"GREENE, IL",-,-,159
,"WILLIAMSON, IL",-,-,120
,"WASHINGTON, IN",8.36%,3.46%,1590
,"OSBORNE, KS",-,-,10 or fewer
,"ALEXANDER, IL",9.57%,-,303
,"PULASKI, IL",11.41%,-,298
,"JACKSON, IL",-,-,120
,"HARPER, KS",-,-,11
,"HARDIN, IL",-,-,32
,"JOHNSON, IL",7.02%,-,285
,"MORRIS, KS",-,-,144
,"CRAWFORD, IN",8.47%,4.76%,567
,"WABAUNSEE, KS",5.40%,4.32%,556
,"REPUBLIC, KS",-,-,21
,"NORTON, KS",-,-,11
,"PIKE, IL",-,-,56
,"PUTNAM, IN",-,-,120
,"MASSAC, IL",8.53%,3.97%,1032
,"JERSEY, IL",6.46%,3.69%,325
,"POTTAWATTAMIE, IA",9.59%,4.11%,949
,"JENNINGS, IN",6.86%,2.91%,1167
,"OHIO, IN",8.39%,4.60%,870
,"BROWN, IL",-,-,32
,"GREENWOOD, KS",8.94%,6.70%,179
,"GLASCOCK, GA",-,-,10 or fewer
,"POPE, IL",-,-,115
,"OSAGE, KS",7.83%,5.92%,2313
,"UNION, IN",8.70%,4.76%,1219
,"SCOTT, IN",8.59%,2.94%,1258
,"UNION, IL",6.19%,-,323
,"FAYETTE, IN",10.69%,4.72%,3817
,"SWITZERLAND, IN",9.59%,4.75%,1053
,"SCHUYLER, IL",-,-,134
,"SHELBY, IA",-,-,91
,"COFFEY, KS",5.81%,-,310
,"CHEROKEE, KS",-,-,21
,"DECATUR, IA",11.99%,3.90%,692
,"HARRISON, IN",7.63%,4.55%,4246
,"SAC, IA",7.31%,2.47%,971
,"STARKE, IN",7.43%,4.26%,821
,"LAWRENCE, IL",7.04%,2.18%,1009
,"PIKE, IN",9.41%,4.45%,1371
,"PARKE, IN",-,-,25
,"MINIDOKA, ID",7.81%,3.65%,1563
,"BENEWAH, ID",-,-,11
,"NEOSHO, KS",-,-,70
,"SHELBY, IN",8.10%,5.69%,1124
,"TAMA, IA",9.06%,5.29%,2495
,"SCOTT, IL",-,-,77
,"JACKSON, IN",7.12%,4.36%,1124
,"MADISON, IL",7.25%,4.08%,4704
,"CRAWFORD, IL",8.47%,2.68%,708
,"CLAY, KS",-,-,80
,"LYON, KS",8.24%,3.67%,3300
,"MARSHALL, KS",-,-,194
,"MERIWETHER, GA",8.06%,4.93%,831
,"MONTGOMERY, KS",13.54%,-,96
,"HARRISON, IA",-,-,89
,"WARREN, IL",8.43%,2.67%,2811
,"BOND, IL",7.13%,3.13%,1501
,"STARK, IL",6.77%,2.15%,930
,"POCAHONTAS, IA",10.75%,3.70%,1107
,"HENDERSON, IL",10.89%,4.94%,790
,"LIVINGSTON, IL",8.56%,3.13%,4990
,"HENRY, IN",6.94%,5.00%,1340
,"CLOUD, KS",-,-,19
,"JAY, IN",9.23%,-,195
,"CHRISTIAN, IL",6.94%,2.66%,1542
,"BUCHANAN, IA",6.59%,5.32%,1578
,"WAYNE, IN",9.17%,6.16%,9361
,"JEFFERSON, KS",6.16%,3.19%,1754
,"DELAWARE, IA",4.38%,2.84%,845
,"CRAWFORD, IA",-,-,124
,"PULASKI, IN",-,-,122
,"POTTAWATOMIE, KS",5.82%,2.24%,893
,"CASS, IL",5.57%,3.29%,395
,"GREENE, IN",-,-,133
,"DEARBORN, IN",7.22%,4.72%,9177
,"VERMILLION, IN",8.89%,-,135
,"KNOX, IN",9.64%,3.14%,6585
,"RUSH, IN",7.38%,5.19%,366
,"LAWRENCE, IN",-,-,139
,"SHAWNEE, KS",7.88%,7.31%,28236
,"BOURBON, KS",-,-,73
,"JACKSON, KS",5.80%,3.95%,1190
,"DECATUR, KS",-,-,23
,"WOODSON, KS",-,-,39
,"LA PORTE, IN",7.97%,5.00%,740
,"SAINT CLAIR, IL",6.17%,2.46%,7031
,"MUSCATINE, IA",8.95%,7.62%,8010
,"KNOX, IL",7.94%,3.23%,7611
,"BUTLER, IA",8.16%,3.14%,1594
,"QUITMAN, GA",-,-,16
,"ST JOSEPH, IN",7.35%,7.08%,10888
,"GIBSON, IN",7.97%,4.17%,6134
,"FREMONT, IA",-,-,54
,"VERMILION, IL",8.77%,6.66%,13338
,"WARREN, IN",-,-,125
,"NEWTON, IN",-,-,170
,"JEFFERSON, IL",-,-,75
,"MONTGOMERY, IA",-,-,80
,"MARSHALL, IL",7.13%,2.78%,2049
,"LAKE, IN",6.00%,5.55%,29993
,"MILLS, IA",6.50%,-,200
,"LINN, KS",9.09%,-,176
,"LEAVENWORTH, KS",6.80%,4.78%,2530
,"CALHOUN, IA",8.42%,2.19%,915
,"FULTON, IN",8.57%,3.30%,455
,"MORGAN, IL",3.72%,2.48%,725
,"MARSHALL, IN",8.25%,5.18%,5043
,"TAYLOR, IA",10.62%,-,226
,"HUNTINGTON, IN",7.81%,3.88%,6674
,"FAYETTE, IA",6.84%,4.07%,2091
,"MARSHALL, IA",9.82%,6.38%,4939
,"CHARLTON, GA",6.29%,2.60%,461
,"GRANT, IN",5.36%,3.77%,1381
,"MACOUPIN, IL",6.12%,2.60%,1537
,"FLOYD, IN",7.38%,3.17%,8303
,"STEUBEN, IN",5.87%,2.46%,2963
,"SALINE, IL",4.66%,4.66%,236
,"DAVIESS, IN",8.62%,2.62%,1716
,"CLAY, IN",-,-,70
,"GALLATIN, IL",9.02%,-,122
,"MERCER, IL",7.17%,3.71%,1535
,"MASON, IL",9.93%,3.93%,1017
,"RANDOLPH, IN",6.73%,2.73%,1100
,"BURKE, GA",-,-,26
,"WHITE, IN",-,-,33
,"CRAWFORD, KS",-,-,106
,"MONTGOMERY, IL",5.76%,1.46%,1579
,"PORTER, IN",4.92%,3.63%,5284
,"ELK, KS",-,-,10 or fewer
,"HENRY, IL",7.91%,3.37%,5159
,"HAMILTON, IL",-,-,42
,"OWEN, IN",-,-,56
,"CHAUTAUQUA, KS",-,-,10 or fewer
,"CLARK, IN",7.51%,3.18%,17933
,"PAGE, IA",-,-,85
,"NOBLE, IN",7.55%,3.59%,7603
,"WASHINGTON, KS",-,-,75
,"CLINTON, IL",5.41%,3.48%,4308
,"WAYNE, IA",11.76%,9.31%,204
,"WILKES, GA",-,-,51
,"RILEY, KS",7.37%,3.17%,882
,"MADISON, IN",7.76%,6.72%,15059
,"BRADFORD, FL",9.42%,4.87%,2547
,"DELAWARE, IN",6.77%,4.94%,1861
,"LOGAN, IL",6.79%,3.47%,1267
,"PAYETTE, ID",7.40%,3.52%,3944
,"ROCK ISLAND, IL",9.71%,5.62%,17844
,"EDWARDS, IL",9.51%,-,389
,"HARVEY, KS",-,-,27
,"SULLIVAN, IN",5.51%,-,272
,"WEBSTER, IA",8.32%,3.87%,6307
,"CASS, IA",6.51%,-,169
,"BARTHOLOMEW, IN",7.38%,4.33%,11911
,"FULTON, IL",7.43%,2.43%,2019
,"SALINE, KS",-,-,83
,"RENO, KS",-,-,60
,"WHITLEY, IN",6.61%,3.74%,5808
,"WINNEBAGO, IL",7.17%,5.18%,44431
,"BLACK HAWK, IA",8.24%,7.67%,17512
,"BENTON, IA",5.42%,3.26%,3744
,"MARION, IL",7.93%,3.66%,328
,"POWESHIEK, IA",6.76%,3.56%,1997
,"SEMINOLE, GA",-,-,67
,"RICHLAND, IL",7.97%,3.16%,2371
,"MOULTRIE, IL",6.35%,4.23%,1039
,"FAYETTE, IL",5.04%,-,933
,"RAWLINS, KS",-,-,25
,"CASSIA, ID",6.07%,3.47%,1153
,"FOUNTAIN, IN",5.11%,7.21%,333
,"BREMER, IA",6.19%,3.43%,3149
,"HUMBOLDT, IA",5.98%,2.38%,1640
,"LEE, IL",7.52%,3.43%,1224
,"TROUP, GA",6.26%,4.16%,8152
,"LOUISA, IA",7.53%,5.76%,1475
,"WABASH, IN",7.83%,4.35%,5056
,"LA SALLE, IL",7.63%,3.78%,12420
,"RIPLEY, IN",8.49%,4.89%,3497
,"RUSH, KS",-,-,120
,"WILSON, KS",-,-,32
,"MARTIN, IN",9.13%,-,263
,"TALBOT, GA",-,-,75
,"PHILLIPS, KS",-,-,13
,"JASPER, IA",6.94%,3.54%,2263
,"FRANKLIN, IN",6.59%,3.85%,2444
,"WHITE, GA",8.36%,7.75%,4101
,"NEMAHA, KS",5.76%,-,243
,"CHICKASAW, IA",9.69%,3.54%,650
,"ALLEN, KS",8.93%,2.73%,549
,"GRUNDY, IA",5.39%,3.16%,1965
,"CATOOSA, GA",7.69%,4.00%,3197
,"JEWELL, KS",-,-,14
,"FORD, IL",6.51%,4.04%,1336
,"MACON, IL",7.23%,3.30%,6458
,"SMITH, KS",-,-,14
,"PAULDING, GA",5.91%,3.57%,23036
,"JASPER, IN",3.77%,-,478
,"WABASH, IL",7.93%,4.38%,593
,"STEPHENS, GA",8.87%,5.53%,4722
,"SPENCER, IN",7.73%,3.75%,1655
,"SHELBY, IL",8.26%,3.06%,1599
,"MIAMI, IN",6.45%,2.15%,2093
,"TAZEWELL, IL",6.72%,3.14%,23557
,"STEPHENSON, IL",7.42%,5.09%,1375
,"HARDIN, IA",5.88%,2.81%,782
,"BARTON, KS",7.10%,1.90%,3576
,"GREENE, IA",8.97%,4.17%,312
,"RUSSELL, KS",-,-,47
,"SEWARD, KS",-,-,52
,"BOONE, IL",6.54%,3.96%,8811
,"MENARD, IL",5.77%,-,537
,"BAKER, FL",8.00%,2.81%,2599
,"MITCHELL, KS",-,-,10 or fewer
,"HOWARD, IN",6.63%,2.23%,9358
,"BOONE, IA",7.48%,3.74%,1043
,"LINCOLN, KS",-,-,14
,"WASHINGTON, IL",4.87%,-,267
,"OGLE, IL",6.40%,4.13%,5641
,"MORGAN, IN",5.27%,3.81%,1915
,"BARBER, KS",-,-,15
,"BUREAU, IL",6.93%,2.54%,4100
,"DICKINSON, KS",6.88%,-,349
,"LOGAN, KS",-,-,23
,"ADAMS, IA",-,-,78
,"ANDERSON, KS",5.45%,2.90%,863
,"JEFFERSON, IN",7.11%,2.81%,1421
,"LABETTE, KS",-,-,44
,"SHERIDAN, KS",-,-,24
,"CEDAR, IA",6.00%,3.43%,2650
,"TIPTON, IN",6.28%,2.67%,637
,"ORANGE, IN",6.64%,-,256
,"WYANDOTTE, KS",8.19%,14.54%,12725
,"MCDUFFIE, GA",-,-,32
,"JONES, IA",6.80%,3.09%,3208
,"MONROE, IL",-,-,98
,"ADAMS, IN",6.00%,3.69%,1084
,"ROOKS, KS",-,-,12
,"HANCOCK, IN",5.94%,4.34%,8646
,"HARDEE, FL",9.16%,4.39%,2074
,"LINN, IA",6.28%,4.50%,43648
,"DOUGLAS, IL",6.63%,4.41%,2701
,"FRANKLIN, GA",8.65%,5.90%,3155
,"LAGRANGE, IN",7.17%,2.43%,3164
,"CASS, IN",4.72%,2.14%,933
,"BLACKFORD, IN",5.53%,-,199
,"OTTAWA, KS",-,-,11
,"CARROLL, IN",7.28%,-,261
,"STEVENS, KS",-,-,17
,"EDGAR, IL",6.33%,4.33%,600
,"ELBERT, GA",8.44%,5.09%,687
,"LINCOLN, ID",7.46%,6.57%,563
,"POLK, FL",6.36%,3.98%,60595
,"VANDERBURGH, IN",7.17%,3.27%,22674
,"BAKER, GA",-,-,21
,"PEORIA, IL",6.89%,3.14%,33598
,"WASHINGTON, ID",6.10%,3.28%,853
,"CHASE, KS",-,-,110
,"LUMPKIN, GA",7.32%,4.00%,3649
,"CLARKE, IA",6.72%,3.68%,625
,"HEARD, GA",5.43%,2.62%,497
,"MONTGOMERY, IN",-,-,91
,"CLAY, GA",-,-,43
,"WELLS, IN",6.59%,2.90%,1654
,"CLINTON, IN",8.46%,4.04%,272
,"LEWIS, ID",-,-,30
,"PERRY, IN",9.45%,3.15%,635
,"ADAMS, ID",6.43%,3.49%,373
,"LINCOLN, GA",-,-,36
,"PAWNEE, KS",7.26%,-,317
,"CLINTON, IA",8.50%,4.42%,2599
,"APPANOOSE, IA",11.97%,6.88%,727
,"FORD, KS",-,-,64
,"MAHASKA, IA",8.20%,4.93%,3147
,"WOODFORD, IL",5.52%,2.68%,6935
,"JEROME, ID",6.45%,8.12%,3708
,"EARLY, GA",-,-,127
,"GRAHAM, KS",-,-,10 or fewer
,"WHITESIDE, IL",5.86%,3.14%,1212
,"CLAYTON, IA",7.15%,2.33%,1161
,"MITCHELL, GA",18.05%,12.03%,133
,"GEARY, KS",6.51%,3.87%,3074
,"VIGO, IN",8.02%,-,162
,"MCLEAN, IL",6.54%,5.12%,21968
,"JASPER, IL",8.15%,1.93%,932
,"CAMDEN, GA",5.74%,3.73%,3830
,"OWYHEE, ID",9.31%,7.76%,1804
,"IROQUOIS, IL",8.82%,3.45%,1825
,"WAYNE, IL",-,-,159
,"DADE, GA",6.32%,3.77%,823
,"NESS, KS",-,-,33
,"DECATUR, IN",6.57%,3.71%,1887
,"GLADES, FL",5.92%,5.23%,287
,"FRANKLIN, KS",5.55%,4.22%,1351
,"LEE, IA",8.75%,4.24%,2241
,"UNION, GA",5.33%,2.10%,525
,"CLAY, IL",5.45%,-,550
,"TWIN FALLS, ID",5.95%,5.66%,13334
,"GEM, ID",6.45%,4.01%,1596
,"JEFF DAVIS, GA",-,-,49
,"ELLSWORTH, KS",-,-,40
,"MADISON, GA",8.14%,3.41%,1204
,"ALLEN, IN",6.28%,3.84%,49419
,"SANGAMON, IL",5.68%,2.25%,11457
,"WALKER, GA",7.83%,3.97%,4126
,"KENDALL, IL",6.32%,5.70%,15075
,"HART, GA",7.25%,6.82%,2097
,"ELLIS, KS",-,-,94
,"WHITE, IL",5.86%,4.09%,563
,"BANKS, GA",7.33%,6.46%,2754
,"BARROW, GA",6.45%,3.71%,10163
,"BROWN, IN",4.37%,-,504
,"WARREN, IA",6.05%,2.44%,6431
,"HARRIS, GA",6.11%,3.92%,638
,"MCDONOUGH, IL",5.72%,2.19%,961
,"CANYON, ID",6.74%,5.33%,41489
,"IDA, IA",4.75%,-,295
,"HENDRY, FL",7.97%,6.25%,3200
,"PUTNAM, IL",5.64%,-,709
,"CHATTOOGA, GA",10.68%,4.02%,796
,"POSEY, IN",5.75%,1.62%,3461
,"THOMAS, KS",-,-,130
,"TWIGGS, GA",-,-,43
,"SCOTT, IA",7.07%,5.02%,16405
,"LONG, GA",-,-,80
,"HENDRICKS, IN",5.53%,6.26%,3560
,"BUENA VISTA, IA",6.39%,5.47%,3785
,"EDWARDS, KS",-,-,58
,"CARROLL, IL",7.88%,3.10%,419
,"IDAHO, ID",6.57%,-,198
,"HENRY, IA",5.61%,4.32%,1320
,"DOUGLAS, GA",5.98%,4.35%,18821
,"OGLETHORPE, GA",6.18%,-,421
,"MARION, IN",7.59%,9.04%,92751
,"HABERSHAM, GA",8.41%,8.23%,7597
,"GOODING, ID",6.34%,6.52%,1610
,"BANNOCK, ID",5.52%,2.15%,4460
,"JACKSON, IA",6.10%,4.34%,853
,"HALL, GA",8.26%,10.94%,35038
,"ADAIR, IA",4.78%,4.41%,272
,"JACKSON, FL",9.96%,4.45%,472
,"KOSCIUSKO, IN",7.63%,5.85%,5673
,"BINGHAM, ID",5.92%,1.83%,709
,"OKEECHOBEE, FL",6.70%,3.20%,657
,"RANDOLPH, GA",-,-,26
,"DEKALB, IL",6.85%,4.40%,3959
,"CANDLER, GA",-,-,11
,"COLES, IL",7.26%,5.32%,3236
,"KANKAKEE, IL",6.73%,4.95%,1678
,"UNION, FL",7.23%,3.33%,1231
,"IOWA, IA",4.26%,3.40%,1972
,"WARRICK, IN",5.63%,2.51%,9880
,"ELKHART, IN",8.28%,6.84%,5630
,"SUMTER, GA",16.17%,10.18%,167
,"CLEARWATER, ID",-,-,40
,"MONROE, IA",8.82%,5.04%,397
,"GUTHRIE, IA",7.41%,3.79%,607
,"HOLMES, FL",9.64%,-,249
,"WOODBURY, IA",7.09%,3.31%,13941
,"CUMBERLAND, IL",5.33%,2.00%,600
,"TOWNS, GA",4.61%,3.46%,347
,"FLOYD, IA",7.76%,5.17%,464
,"LEVY, FL",7.85%,4.74%,3607
,"VAN BUREN, IA",6.13%,-,326
,"POWER, ID",3.53%,-,368
,"KEOKUK, IA",5.73%,4.51%,1308
,"LANE, KS",-,-,10 or fewer
,"WARREN, GA",-,-,10 or fewer
,"MEADE, KS",-,-,10 or fewer
,"DES MOINES, IA",9.46%,3.79%,3479
,"HOWARD, IA",6.43%,2.83%,389
,"STAFFORD, KS",7.34%,-,177
,"RABUN, GA",8.09%,5.35%,1682
,"MCPHERSON, KS",-,-,37
,"JOHNSON, IN",4.92%,2.57%,12894
,"CALHOUN, GA",-,-,45
,"CARROLL, IA",8.70%,-,299
,"MADISON, IA",4.52%,2.02%,1239
,"GORDON, GA",7.89%,4.28%,5769
,"DIXIE, FL",8.09%,5.43%,939
,"TURNER, GA",-,-,79
,"MIAMI, KS",4.98%,5.56%,864
,"WASHINGTON, FL",9.05%,5.17%,232
,"WASHINGTON, IA",5.11%,4.63%,2915
,"BARTOW, GA",5.57%,2.83%,6846
,"KOSSUTH, IA",6.40%,3.70%,297
,"RICE, KS",8.53%,-,129
,"HERNANDO, FL",6.29%,5.69%,2831
,"TIPPECANOE, IN",5.30%,-,302
,"EFFINGHAM, GA",-,-,196
,"STORY, IA",6.40%,2.75%,3123
,"PIATT, IL",4.84%,3.05%,2623
,"MARION, KS",-,-,26
,"PEACH, GA",8.24%,-,279
,"EMANUEL, GA",-,-,46
,"JACKSON, GA",5.07%,4.35%,11619
,"WAPELLO, IA",10.38%,7.43%,3836
,"JOHNSON, GA",-,-,41
,"LAKE, FL",6.16%,3.88%,40796
,"BEN HILL, GA",12.42%,7.84%,153
,"MILLER, GA",-,-,37
,"LUCAS, IA",6.48%,3.02%,463
,"OBRIEN, IA",6.17%,1.75%,2576
,"CHEROKEE, IA",6.33%,2.69%,632
,"POLK, GA",6.29%,2.80%,2035
,"FLAGLER, FL",6.55%,3.20%,8674
,"MURRAY, GA",8.65%,2.97%,2556
,"MARION, GA",-,-,56
,"COLUMBIA, FL",8.40%,4.62%,4095
,"HIGHLANDS, FL",7.49%,4.50%,4288
,"DUBUQUE, IA",5.85%,4.73%,7879
,"LANIER, GA",9.01%,3.93%,1043
,"UPSON, GA",6.65%,3.22%,466
,"NASSAU, FL",6.66%,2.70%,10254
,"TERRELL, GA",-,-,44
,"DOUGLAS, KS",6.79%,4.87%,1457
,"CLARK, IL",6.63%,3.92%,332
,"VOLUSIA, FL",7.05%,4.84%,38029
,"MONROE, IN",9.77%,5.12%,215
,"MCINTOSH, GA",-,-,59
,"FREMONT, ID",-,-,75
,"POLK, IA",6.05%,3.43%,68258
,"ADAMS, IL",4.74%,-,232
,"JEFFERSON, GA",-,-,27
,"KANE, IL",7.79%,8.52%,47590
,"COOK, IL",7.02%,10.45%,347288
,"DUVAL, FL",6.35%,2.90%,94510
,"PALO ALTO, IA",6.09%,-,197
,"CARROLL, GA",6.46%,3.69%,6472
,"LAFAYETTE, FL",7.62%,4.40%,341
,"RICHMOND, GA",7.48%,3.21%,468
,"FLOYD, GA",8.49%,4.10%,2779
,"EFFINGHAM, IL",5.30%,1.56%,3660
,"COWLEY, KS",-,-,33
,"WASHINGTON, GA",15.79%,-,76
,"DECATUR, GA",7.74%,8.33%,168
,"MCHENRY, IL",5.17%,3.77%,24326
,"HAMILTON, FL",11.40%,4.98%,623
,"HODGEMAN, KS",-,-,14
,"GREELEY, KS",-,-,18
,"MACON, GA",-,-,55
,"HANCOCK, GA",8.46%,-,130
,"OSCEOLA, IA",4.63%,-,627
,"MONTGOMERY, GA",-,-,36
,"WALLACE, KS",-,-,16
,"HANCOCK, IL",6.49%,3.92%,663
,"THOMAS, GA",10.20%,5.22%,402
,"ELMORE, ID",5.04%,5.85%,5063
,"GOVE, KS",-,-,27
,"TALIAFERRO, GA",-,-,27
,"STEWART, GA",-,-,37
,"UNION, IA",7.12%,3.56%,365
,"SUMTER, FL",7.16%,7.44%,4232
,"BALDWIN, GA",8.33%,-,324
,"DOUGHERTY, GA",11.56%,8.50%,588
,"SUWANNEE, FL",7.15%,3.94%,2335
,"ECHOLS, GA",6.23%,5.84%,257
,"CHAMPAIGN, IL",6.44%,4.66%,35366
,"BOUNDARY, ID",-,-,10 or fewer
,"BOISE, ID",4.40%,-,523
,"SPALDING, GA",6.22%,2.93%,4226
,"ATKINSON, GA",-,-,94
,"GADSDEN, FL",10.53%,5.92%,456
,"ROCKDALE, GA",6.22%,3.53%,4164
,"TAYLOR, GA",-,-,61
,"HARALSON, GA",6.76%,2.82%,1524
,"COOK, GA",6.76%,3.58%,754
,"FINNEY, KS",-,-,76
,"PASCO, FL",5.33%,5.59%,18423
,"CLAYTON, GA",5.57%,3.87%,18279
,"MADISON, FL",8.16%,4.39%,478
,"IRWIN, GA",-,-,66
,"SAINT LUCIE, FL",4.62%,2.29%,12188
,"PUTNAM, FL",8.01%,3.80%,4469
,"MORTON, KS",-,-,17
,"TIFT, GA",11.14%,4.86%,350
,"BULLOCH, GA",-,-,144
,"DOOLY, GA",-,-,47
,"CITRUS, FL",7.69%,3.82%,3589
,"BROOKS, GA",6.97%,5.39%,631
,"LEE, FL",6.14%,4.79%,74058
,"HILLSBOROUGH, FL",5.19%,6.01%,62928
,"COFFEE, GA",8.50%,-,247
,"HAMILTON, IA",6.83%,3.24%,586
,"SHOSHONE, ID",-,-,13
,"TREGO, KS",-,-,10 or fewer
,"RINGGOLD, IA",9.42%,6.28%,191
,"LOWNDES, GA",4.75%,3.93%,10810
,"CLARK, KS",-,-,10 or fewer
,"LYON, IA",4.57%,2.45%,1794
