Session Title,OBESITY by ICD and BMI County Age 2023,,,
Session ID,2776926,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States WA_WY,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2023 - 12/31/2023,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"PLEASANTS, WV",7.51%,3.07%,586
,"WIRT, WV",11.31%,4.29%,513
,"TYLER, WV",8.70%,5.39%,965
,"DODDRIDGE, WV",8.60%,4.66%,686
,"RITCHIE, WV",8.26%,2.86%,944
,"WEBSTER, WV",11.20%,3.67%,491
,"WETZEL, WV",9.94%,4.59%,2486
,"BARBOUR, WV",7.50%,3.23%,1240
,"TAYLOR, WV",9.78%,3.90%,1718
,"WOOD, WV",8.71%,3.60%,9896
,"CALHOUN, WV",7.14%,-,294
,"MARINETTE, WI",8.08%,3.99%,6796
,"MINGO, WV",11.47%,4.66%,558
,"RANDOLPH, WV",8.26%,2.73%,1211
,"HARRISON, WV",9.25%,5.00%,11248
,"MARION, WV",9.07%,3.31%,8680
,"BRAXTON, WV",12.31%,6.90%,1348
,"LEWIS, WV",7.89%,3.87%,2015
,"GILMER, WV",6.41%,3.08%,390
,"OCONTO, WI",7.04%,4.01%,6191
,"SHAWANO, WI",8.01%,4.72%,3495
,"NICHOLAS, WV",8.72%,3.26%,1903
,"MARSHALL, WV",10.27%,6.54%,4634
,"BURNETT, WI",8.61%,-,488
,"KEWAUNEE, WI",6.94%,3.66%,3471
,"JACKSON, WV",9.80%,3.60%,4225
,"MANITOWOC, WI",7.30%,4.85%,10815
,"WAUSHARA, WI",7.94%,5.17%,1411
,"PRESTON, WV",7.59%,4.03%,3450
,"MINERAL, WV",8.67%,3.68%,2825
,"MENOMINEE, WI",8.01%,6.01%,649
,"UPSHUR, WV",8.64%,3.10%,3414
,"ROANE, WV",8.88%,3.72%,349
,"MARQUETTE, WI",7.42%,2.81%,889
,"WASHBURN, WI",9.67%,4.75%,1241
,"GOSHEN, WY",-,-,208
,"FLORENCE, WI",5.28%,-,284
,"DOUGLAS, WI",7.44%,7.12%,5899
,"TUCKER, WV",6.34%,3.75%,347
,"WAUPACA, WI",8.71%,5.40%,2354
,"SHEBOYGAN, WI",6.46%,4.05%,18776
,"BERKELEY, WV",7.11%,4.86%,20502
,"DOOR, WI",7.69%,2.93%,1743
,"GREEN LAKE, WI",6.56%,3.03%,991
,"OHIO, WV",7.66%,4.59%,6361
,"PENDLETON, WV",5.13%,-,390
,"WALWORTH, WI",6.80%,3.96%,13807
,"BROOKE, WV",8.30%,2.63%,1409
,"ROCK, WI",6.98%,3.84%,19344
,"FAYETTE, WV",6.01%,2.25%,932
,"RUSK, WI",8.28%,3.26%,797
,"ADAMS, WI",8.39%,4.10%,1121
,"GRANT, WA",7.33%,8.28%,9712
,"WINNEBAGO, WI",6.30%,2.57%,14183
,"NIOBRARA, WY",-,-,17
,"FOREST, WI",-,-,187
,"ADAMS, WA",4.34%,4.72%,530
,"DODGE, WI",6.50%,2.50%,6953
,"RACINE, WI",5.95%,3.14%,24313
,"BROWN, WI",6.74%,4.35%,53993
,"LOGAN, WV",9.76%,5.80%,379
,"JEFFERSON, WV",6.62%,5.54%,8697
,"PLATTE, WY",-,-,260
,"CHIPPEWA, WI",5.47%,2.30%,4879
,"PIERCE, WI",6.99%,4.96%,1675
,"FOND DU LAC, WI",6.42%,3.31%,7366
,"CALUMET, WI",5.68%,3.01%,3417
,"COLUMBIA, WA",-,-,10 or fewer
,"GRANT, WI",7.49%,2.46%,2442
,"JUNEAU, WI",6.30%,2.13%,2062
,"POLK, WI",5.33%,2.44%,657
,"PRICE, WI",-,-,169
,"KENOSHA, WI",6.42%,3.49%,25616
,"CRAWFORD, WI",5.66%,2.25%,1377
,"RALEIGH, WV",9.24%,4.18%,909
,"LANGLADE, WI",6.39%,-,266
,"MCDOWELL, WV",5.52%,-,489
,"LINCOLN, WY",5.89%,-,1561
,"BUFFALO, WI",6.46%,2.89%,1176
,"BAYFIELD, WI",5.36%,3.33%,1232
,"JEFFERSON, WI",5.31%,2.85%,5254
,"ASHLAND, WI",7.00%,3.38%,1628
,"TREMPEALEAU, WI",6.05%,1.83%,4036
,"MONROE, WI",6.36%,2.68%,5531
,"VILAS, WI",-,-,101
,"WAYNE, WV",10.73%,4.38%,3858
,"MONONGALIA, WV",5.92%,3.43%,12941
,"WAHKIAKUM, WA",8.41%,-,214
,"MASON, WV",9.58%,2.40%,1294
,"GREENBRIER, WV",5.82%,3.12%,481
,"LINCOLN, WA",-,-,51
,"LARAMIE, WY",4.37%,2.78%,13508
,"SAWYER, WI",7.10%,2.79%,1578
,"TAYLOR, WI",-,-,148
,"OUTAGAMIE, WI",5.81%,3.21%,13668
,"LINCOLN, WV",10.31%,4.10%,805
,"IRON, WI",6.18%,-,259
,"SKAGIT, WA",8.45%,10.08%,12716
,"MORGAN, WV",6.60%,3.65%,1591
,"VERNON, WI",4.56%,1.79%,3571
,"COLUMBIA, WI",5.60%,1.99%,4468
,"SAINT CROIX, WI",4.35%,3.72%,1425
,"ISLAND, WA",5.09%,2.71%,1552
,"CABELL, WV",9.35%,2.82%,7907
,"MILWAUKEE, WI",7.72%,7.29%,147860
,"SKAMANIA, WA",7.30%,4.60%,891
,"HANCOCK, WV",6.86%,1.61%,1677
,"EAU CLAIRE, WI",5.72%,2.79%,7309
,"GRANT, WV",6.59%,2.83%,743
,"GRAYS HARBOR, WA",-,-,65
,"BARRON, WI",4.50%,2.34%,1712
,"DUNN, WI",6.34%,2.92%,1436
,"CLARK, WI",3.13%,2.43%,575
,"ONEIDA, WI",-,-,209
,"DOUGLAS, WA",5.96%,6.97%,6528
,"WASHINGTON, WI",4.46%,2.18%,15366
,"SWEETWATER, WY",1.51%,-,729
,"MERCER, WV",5.96%,1.71%,4797
,"FERRY, WA",-,-,26
,"LA CROSSE, WI",4.78%,1.50%,15550
,"LINCOLN, WI",3.83%,-,287
,"WOOD, WI",5.67%,2.36%,847
,"PUTNAM, WV",6.51%,2.04%,2690
,"FRANKLIN, WA",-,-,115
,"GREEN, WI",5.43%,2.58%,2559
,"ASOTIN, WA",-,-,18
,"SUMMERS, WV",-,-,187
,"OKANOGAN, WA",6.58%,5.68%,4821
,"PEPIN, WI",5.68%,3.79%,475
,"SAUK, WI",5.57%,2.70%,2370
,"IOWA, WI",5.72%,2.13%,1172
,"HARDY, WV",7.09%,2.41%,663
,"KITTITAS, WA",6.94%,2.80%,749
,"UINTA, WY",4.03%,-,1240
,"BOONE, WV",8.08%,3.84%,495
,"CHELAN, WA",5.93%,6.17%,10392
,"CARBON, WY",5.50%,3.14%,509
,"POCAHONTAS, WV",8.62%,-,232
,"COWLITZ, WA",5.81%,2.85%,6131
,"PACIFIC, WA",9.73%,2.97%,370
,"WESTON, WY",2.97%,-,404
,"CLAY, WV",8.49%,4.63%,518
,"RICHLAND, WI",5.25%,1.89%,953
,"HOT SPRINGS, WY",-,-,35
,"KANAWHA, WV",7.39%,2.46%,4882
,"LAFAYETTE, WI",3.00%,2.31%,866
,"BENTON, WA",4.46%,-,269
,"CAMPBELL, WY",4.76%,4.26%,399
,"CLALLAM, WA",-,-,52
,"CONVERSE, WY",-,-,115
,"STEVENS, WA",-,-,23
,"HAMPSHIRE, WV",6.90%,2.80%,1392
,"MARATHON, WI",4.46%,3.30%,1725
,"JACKSON, WI",5.07%,1.97%,1577
,"KLICKITAT, WA",7.59%,6.69%,1659
,"MONROE, WV",7.50%,-,360
,"YAKIMA, WA",6.94%,3.49%,9447
,"LEWIS, WA",4.92%,-,366
,"WHITMAN, WA",-,-,47
,"SPOKANE, WA",5.87%,4.11%,341
,"OZAUKEE, WI",2.86%,1.56%,14595
,"PIERCE, WA",3.54%,2.43%,4436
,"SUBLETTE, WY",-,-,98
,"FREMONT, WY",7.73%,4.42%,453
,"WAUKESHA, WI",3.29%,1.68%,50461
,"PORTAGE, WI",4.65%,3.16%,1076
,"SNOHOMISH, WA",5.01%,2.88%,16473
,"NATRONA, WY",6.63%,5.57%,664
,"DANE, WI",4.18%,2.17%,76448
,"BIG HORN, WY",5.49%,-,255
,"PARK, WY",3.26%,-,1198
,"WALLA WALLA, WA",-,-,71
,"CROOK, WY",-,-,301
,"ALBANY, WY",2.89%,1.70%,3109
,"MASON, WA",-,-,74
,"WASHAKIE, WY",-,-,101
,"PEND OREILLE, WA",-,-,11
,"JOHNSON, WY",-,-,51
,"KING, WA",4.21%,2.62%,76082
,"SHERIDAN, WY",-,-,203
,"JEFFERSON, WA",-,-,19
,"CLARK, WA",3.75%,2.01%,39390
,"WYOMING, WV",4.27%,3.02%,398
,"GARFIELD, WA",-,-,10 or fewer
,"KITSAP, WA",-,-,427
,"THURSTON, WA",4.90%,2.80%,714
,"SAN JUAN, WA",11.02%,15.25%,118
,"WHATCOM, WA",4.45%,2.34%,4362
,"TETON, WY",-,-,202
,None of the above,5.03%,2.40%,58940
,Total,6.04%,3.80%,1087841
≥ 18 and < 25 Years,"PLEASANTS, WV",38.33%,15.42%,240
,"WIRT, WV",43.81%,15.93%,226
,"TYLER, WV",43.61%,18.03%,305
,"DODDRIDGE, WV",46.18%,21.45%,275
,"RITCHIE, WV",38.46%,16.24%,351
,"WEBSTER, WV",44.77%,14.64%,239
,"WETZEL, WV",42.84%,20.82%,831
,"BARBOUR, WV",43.41%,16.63%,493
,"TAYLOR, WV",41.74%,16.52%,678
,"WOOD, WV",39.20%,15.32%,4222
,"CALHOUN, WV",38.89%,14.29%,126
,"MARINETTE, WI",36.01%,11.72%,2227
,"MINGO, WV",39.45%,19.88%,327
,"RANDOLPH, WV",34.64%,14.85%,586
,"HARRISON, WV",38.34%,15.67%,4001
,"MARION, WV",38.30%,12.35%,3230
,"BRAXTON, WV",32.36%,17.90%,581
,"LEWIS, WV",37.65%,16.73%,741
,"GILMER, WV",34.39%,12.74%,157
,"OCONTO, WI",30.40%,9.85%,1918
,"SHAWANO, WI",31.89%,10.74%,1201
,"NICHOLAS, WV",33.95%,12.47%,866
,"MARSHALL, WV",38.82%,15.26%,1579
,"BURNETT, WI",31.37%,9.80%,204
,"KEWAUNEE, WI",29.23%,9.36%,1122
,"JACKSON, WV",39.81%,17.13%,1442
,"MANITOWOC, WI",30.69%,10.84%,3855
,"WAUSHARA, WI",28.43%,10.12%,415
,"PRESTON, WV",38.06%,14.87%,1022
,"MINERAL, WV",33.17%,8.84%,1052
,"MENOMINEE, WI",38.89%,7.41%,162
,"UPSHUR, WV",36.03%,13.83%,1410
,"ROANE, WV",39.02%,10.98%,164
,"MARQUETTE, WI",28.28%,9.91%,343
,"WASHBURN, WI",29.61%,16.31%,466
,"GOSHEN, WY",32.84%,-,67
,"FLORENCE, WI",32.99%,-,97
,"DOUGLAS, WI",31.93%,15.82%,2440
,"TUCKER, WV",35.77%,16.26%,123
,"WAUPACA, WI",30.09%,13.98%,658
,"SHEBOYGAN, WI",27.95%,10.78%,6816
,"BERKELEY, WV",34.97%,13.92%,7034
,"DOOR, WI",29.51%,7.28%,810
,"GREEN LAKE, WI",28.83%,10.51%,333
,"OHIO, WV",31.23%,12.26%,2203
,"PENDLETON, WV",26.90%,11.03%,145
,"WALWORTH, WI",28.32%,11.17%,5391
,"BROOKE, WV",30.54%,10.58%,501
,"ROCK, WI",30.89%,12.77%,7242
,"FAYETTE, WV",31.86%,9.46%,317
,"RUSK, WI",30.29%,12.45%,241
,"ADAMS, WI",28.16%,5.97%,419
,"GRANT, WA",32.28%,11.18%,2915
,"WINNEBAGO, WI",27.00%,10.16%,5952
,"NIOBRARA, WY",-,-,10 or fewer
,"FOREST, WI",-,-,62
,"ADAMS, WA",30.19%,-,159
,"DODGE, WI",27.26%,8.22%,2410
,"RACINE, WI",29.62%,9.35%,7820
,"BROWN, WI",28.45%,9.58%,19340
,"LOGAN, WV",36.84%,11.70%,171
,"JEFFERSON, WV",30.68%,11.51%,3015
,"PLATTE, WY",35.62%,-,73
,"CHIPPEWA, WI",27.64%,7.06%,1856
,"PIERCE, WI",22.03%,11.65%,790
,"FOND DU LAC, WI",27.79%,11.51%,2832
,"CALUMET, WI",25.20%,8.97%,1226
,"COLUMBIA, WA",-,-,10 or fewer
,"GRANT, WI",28.59%,7.66%,1018
,"JUNEAU, WI",26.71%,9.43%,700
,"POLK, WI",21.45%,10.57%,331
,"PRICE, WI",18.09%,-,94
,"KENOSHA, WI",29.74%,10.08%,7787
,"CRAWFORD, WI",23.14%,5.65%,566
,"RALEIGH, WV",25.60%,7.97%,414
,"LANGLADE, WI",22.50%,-,120
,"MCDOWELL, WV",37.00%,6.00%,200
,"LINCOLN, WY",23.82%,3.47%,403
,"BUFFALO, WI",25.79%,6.33%,442
,"BAYFIELD, WI",25.31%,10.28%,399
,"JEFFERSON, WI",23.21%,9.06%,1986
,"ASHLAND, WI",32.18%,9.03%,609
,"TREMPEALEAU, WI",24.39%,7.96%,1357
,"MONROE, WI",27.32%,10.38%,1695
,"VILAS, WI",17.14%,-,70
,"WAYNE, WV",40.87%,14.74%,1079
,"MONONGALIA, WV",30.39%,11.06%,6962
,"WAHKIAKUM, WA",21.00%,-,100
,"MASON, WV",39.65%,15.74%,343
,"GREENBRIER, WV",25.00%,7.21%,208
,"LINCOLN, WA",-,-,24
,"LARAMIE, WY",29.28%,9.77%,3736
,"SAWYER, WI",27.45%,8.00%,550
,"TAYLOR, WI",22.78%,-,79
,"OUTAGAMIE, WI",26.40%,9.11%,5019
,"LINCOLN, WV",36.61%,8.48%,224
,"IRON, WI",22.08%,-,77
,"SKAGIT, WA",31.44%,8.50%,4870
,"MORGAN, WV",33.86%,14.31%,573
,"VERNON, WI",20.71%,6.51%,1183
,"COLUMBIA, WI",20.33%,6.43%,1820
