Session Title,Heat only Yearly by County 2018-2025 FLKS,,
Session ID,2792484,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_FL_KS,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
Jan 1 – Dec 31 2018,"COOK, IL",126,177000
,"BROWARD, FL",89,175856
,"ORANGE, FL",14,25538
,"LEE, FL",148,127253
,"FULTON, GA",89,131328
,"DUVAL, FL",58,58074
,"HONOLULU, HI",55,127526
,"HILLSBOROUGH, FL",40,58685
,"MIAMI-DADE, FL",38,102288
,"MARION, IN",100,116558
,"COBB, GA",104,105098
,"DEKALB, GA",47,58687
,"ADA, ID",49,48513
,"VOLUSIA, FL",10 or fewer,6040
,"LAKE, FL",10 or fewer,4927
,"OSCEOLA, FL",10 or fewer,15731
,"POLK, IA",58,47777
,"POLK, FL",10 or fewer,10110
,"LAKE, IN",36,54781
,"GWINNETT, GA",24,33442
,"SEMINOLE, FL",10 or fewer,5518
,"WINNEBAGO, IL",35,40635
,"ALLEN, IN",45,44827
,"LAKE, IL",17,11001
,"JOHNSON, KS",37,24863
,"DUPAGE, IL",13,12833
,"MARION, FL",10 or fewer,9177
,"LINN, IA",76,42146
,"ALACHUA, FL",26,40137
,"KANE, IL",10 or fewer,4075
,"PINELLAS, FL",10 or fewer,7041
,"HALL, GA",31,38571
,"PASCO, FL",10 or fewer,6543
,"CANYON, ID",16,22626
,"PEORIA, IL",46,39368
,"CHAMPAIGN, IL",50,35813
,"SHAWNEE, KS",60,31449
,"DOUGLAS, GA",33,33774
,"PAULDING, GA",31,32749
,"COLLIER, FL",10 or fewer,5695
,"SAINT LUCIE, FL",10 or fewer,4200
,"PALM BEACH, FL",10 or fewer,9965
,"VANDERBURGH, IN",59,26937
,"LOWNDES, GA",46,24639
