Session Title,All ED Encounters by State Week Age,,,
Session Description,"All ED Enouncters as base,Slice by 53 states of residenceSlice by 6 age groups",,,
Session ID,2726769,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,
Session Date Range,12/31/2023 - 12/28/2024 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,1/6/2026,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence,Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2023 – 2024,Dec 31 – Jan 6,2141
,,2024,Jan 7 – Jan 13,1792
,,,Jan 14 – Jan 20,1658
,,,Jan 21 – Jan 27,1720
,,,Jan 28 – Feb 3,1763
,,,Feb 4 – Feb 10,1815
,,,Feb 11 – Feb 17,1751
,,,Feb 18 – Feb 24,1756
,,,Feb 25 – Mar 2,1717
,,,Mar 3 – Mar 9,1758
,,,Mar 10 – Mar 16,1730
,,,Mar 17 – Mar 23,1827
,,,Mar 24 – Mar 30,1717
,,,Mar 31 – Apr 6,1680
,,,Apr 7 – Apr 13,1700
,,,Apr 14 – Apr 20,1745
,,,Apr 21 – Apr 27,1726
,,,Apr 28 – May 4,1687
,,,May 5 – May 11,1669
,,,May 12 – May 18,1645
,,,May 19 – May 25,1723
,,,May 26 – Jun 1,1853
,,,Jun 2 – Jun 8,1705
,,,Jun 9 – Jun 15,1632
,,,Jun 16 – Jun 22,1614
,,,Jun 23 – Jun 29,1572
,,,Jun 30 – Jul 6,1717
,,,Jul 7 – Jul 13,1822
,,,Jul 14 – Jul 20,1784
,,,Jul 21 – Jul 27,1745
,,,Jul 28 – Aug 3,1748
,,,Aug 4 – Aug 10,1643
,,,Aug 11 – Aug 17,1626
,,,Aug 18 – Aug 24,1781
,,,Aug 25 – Aug 31,1886
,,,Sep 1 – Sep 7,1928
,,,Sep 8 – Sep 14,1840
,,,Sep 15 – Sep 21,1883
,,,Sep 22 – Sep 28,1798
,,,Sep 29 – Oct 5,1807
,,,Oct 6 – Oct 12,1800
,,,Oct 13 – Oct 19,1891
,,,Oct 20 – Oct 26,1785
,,,Oct 27 – Nov 2,1931
,,,Nov 3 – Nov 9,2277
,,,Nov 10 – Nov 16,2297
,,,Nov 17 – Nov 23,2334
,,,Nov 24 – Nov 30,2493
,,,Dec 1 – Dec 7,2344
,,,Dec 8 – Dec 14,2234
,,,Dec 15 – Dec 21,2320
,,,Dec 22 – Dec 28,2666
,≥ 1 and < 5 Years,2023 – 2024,Dec 31 – Jan 6,4883
,,2024,Jan 7 – Jan 13,4308
,,,Jan 14 – Jan 20,4294
,,,Jan 21 – Jan 27,4641
,,,Jan 28 – Feb 3,4851
,,,Feb 4 – Feb 10,4955
,,,Feb 11 – Feb 17,5134
,,,Feb 18 – Feb 24,4972
,,,Feb 25 – Mar 2,5268
,,,Mar 3 – Mar 9,5459
,,,Mar 10 – Mar 16,5288
,,,Mar 17 – Mar 23,5021
,,,Mar 24 – Mar 30,4788
,,,Mar 31 – Apr 6,4874
,,,Apr 7 – Apr 13,5055
,,,Apr 14 – Apr 20,5048
,,,Apr 21 – Apr 27,5106
,,,Apr 28 – May 4,4804
,,,May 5 – May 11,4938
,,,May 12 – May 18,4839
,,,May 19 – May 25,4967
,,,May 26 – Jun 1,5043
,,,Jun 2 – Jun 8,4549
,,,Jun 9 – Jun 15,4250
,,,Jun 16 – Jun 22,4283
,,,Jun 23 – Jun 29,4154
,,,Jun 30 – Jul 6,4339
,,,Jul 7 – Jul 13,3965
,,,Jul 14 – Jul 20,3986
,,,Jul 21 – Jul 27,3919
,,,Jul 28 – Aug 3,3778
,,,Aug 4 – Aug 10,3800
,,,Aug 11 – Aug 17,3676
,,,Aug 18 – Aug 24,4394
,,,Aug 25 – Aug 31,4701
,,,Sep 1 – Sep 7,4971
,,,Sep 8 – Sep 14,4747
,,,Sep 15 – Sep 21,5117
,,,Sep 22 – Sep 28,4990
,,,Sep 29 – Oct 5,4952
,,,Oct 6 – Oct 12,4981
,,,Oct 13 – Oct 19,4820
,,,Oct 20 – Oct 26,5038
,,,Oct 27 – Nov 2,5641
,,,Nov 3 – Nov 9,6332
,,,Nov 10 – Nov 16,6552
,,,Nov 17 – Nov 23,6512
,,,Nov 24 – Nov 30,6468
