Session Title,A01. All ED Encounters by State Week Age 2023,,,
Session ID,2795151,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Country of Residence: United States of America,,,
Session Date Range,1/1/2023 - 12/30/2023 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,2/19/2026,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence,Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2023,Jan 1 – Jan 7,2119
,,,Jan 8 – Jan 14,1740
,,,Jan 15 – Jan 21,1752
,,,Jan 22 – Jan 28,1733
,,,Jan 29 – Feb 4,1825
,,,Feb 5 – Feb 11,1851
,,,Feb 12 – Feb 18,1754
,,,Feb 19 – Feb 25,1797
,,,Feb 26 – Mar 4,1713
,,,Mar 5 – Mar 11,1833
,,,Mar 12 – Mar 18,1787
,,,Mar 19 – Mar 25,1742
,,,Mar 26 – Apr 1,1794
,,,Apr 2 – Apr 8,1730
,,,Apr 9 – Apr 15,1803
,,,Apr 16 – Apr 22,1721
,,,Apr 23 – Apr 29,1702
,,,Apr 30 – May 6,1640
,,,May 7 – May 13,1558
,,,May 14 – May 20,1683
,,,May 21 – May 27,1709
,,,May 28 – Jun 3,1827
,,,Jun 4 – Jun 10,1800
,,,Jun 11 – Jun 17,1620
,,,Jun 18 – Jun 24,1612
,,,Jun 25 – Jul 1,1561
,,,Jul 2 – Jul 8,1581
,,,Jul 9 – Jul 15,1512
,,,Jul 16 – Jul 22,1605
,,,Jul 23 – Jul 29,1688
,,,Jul 30 – Aug 5,1738
,,,Aug 6 – Aug 12,1820
,,,Aug 13 – Aug 19,1790
,,,Aug 20 – Aug 26,2207
,,,Aug 27 – Sep 2,2181
,,,Sep 3 – Sep 9,2115
,,,Sep 10 – Sep 16,1906
,,,Sep 17 – Sep 23,1914
,,,Sep 24 – Sep 30,2082
,,,Oct 1 – Oct 7,2121
,,,Oct 8 – Oct 14,2190
,,,Oct 15 – Oct 21,2251
,,,Oct 22 – Oct 28,2385
,,,Oct 29 – Nov 4,2310
,,,Nov 5 – Nov 11,2264
,,,Nov 12 – Nov 18,2168
,,,Nov 19 – Nov 25,2327
,,,Nov 26 – Dec 2,2181
,,,Dec 3 – Dec 9,1985
,,,Dec 10 – Dec 16,2002
,,,Dec 17 – Dec 23,2028
,,,Dec 24 – Dec 30,2200
,≥ 1 and < 5 Years,2023,Jan 1 – Jan 7,5282
,,,Jan 8 – Jan 14,4631
,,,Jan 15 – Jan 21,4785
,,,Jan 22 – Jan 28,4972
,,,Jan 29 – Feb 4,5260
,,,Feb 5 – Feb 11,5445
,,,Feb 12 – Feb 18,5300
,,,Feb 19 – Feb 25,5457
,,,Feb 26 – Mar 4,5619
,,,Mar 5 – Mar 11,5680
,,,Mar 12 – Mar 18,5331
,,,Mar 19 – Mar 25,5128
,,,Mar 26 – Apr 1,5111
,,,Apr 2 – Apr 8,5017
,,,Apr 9 – Apr 15,5013
,,,Apr 16 – Apr 22,5272
,,,Apr 23 – Apr 29,5359
,,,Apr 30 – May 6,5159
,,,May 7 – May 13,5192
,,,May 14 – May 20,5193
,,,May 21 – May 27,5115
,,,May 28 – Jun 3,5223
,,,Jun 4 – Jun 10,4989
,,,Jun 11 – Jun 17,4522
,,,Jun 18 – Jun 24,4432
,,,Jun 25 – Jul 1,4324
,,,Jul 2 – Jul 8,4394
,,,Jul 9 – Jul 15,4215
,,,Jul 16 – Jul 22,4197
,,,Jul 23 – Jul 29,4064
,,,Jul 30 – Aug 5,4235
,,,Aug 6 – Aug 12,4129
,,,Aug 13 – Aug 19,4510
,,,Aug 20 – Aug 26,5080
,,,Aug 27 – Sep 2,5324
,,,Sep 3 – Sep 9,5430
,,,Sep 10 – Sep 16,5283
,,,Sep 17 – Sep 23,5328
,,,Sep 24 – Sep 30,5659
,,,Oct 1 – Oct 7,6001
,,,Oct 8 – Oct 14,6149
,,,Oct 15 – Oct 21,6254
,,,Oct 22 – Oct 28,6379
,,,Oct 29 – Nov 4,6025
,,,Nov 5 – Nov 11,6405
,,,Nov 12 – Nov 18,5969
,,,Nov 19 – Nov 25,5855
,,,Nov 26 – Dec 2,5277
,,,Dec 3 – Dec 9,5339
,,,Dec 10 – Dec 16,5451
,,,Dec 17 – Dec 23,5574
,,,Dec 24 – Dec 30,5636
,≥ 5 and < 18 Years,2023,Jan 1 – Jan 7,8024
,,,Jan 8 – Jan 14,8601
,,,Jan 15 – Jan 21,9030
,,,Jan 22 – Jan 28,10109
,,,Jan 29 – Feb 4,10689
,,,Feb 5 – Feb 11,10807
,,,Feb 12 – Feb 18,10283
,,,Feb 19 – Feb 25,10503
,,,Feb 26 – Mar 4,11179
,,,Mar 5 – Mar 11,10970
,,,Mar 12 – Mar 18,8530
,,,Mar 19 – Mar 25,9298
,,,Mar 26 – Apr 1,10083
,,,Apr 2 – Apr 8,10051
,,,Apr 9 – Apr 15,10103
,,,Apr 16 – Apr 22,10831
,,,Apr 23 – Apr 29,10901
,,,Apr 30 – May 6,10732
,,,May 7 – May 13,10673
,,,May 14 – May 20,10154
,,,May 21 – May 27,9546
,,,May 28 – Jun 3,8921
,,,Jun 4 – Jun 10,7897
,,,Jun 11 – Jun 17,7306
,,,Jun 18 – Jun 24,6905
,,,Jun 25 – Jul 1,6922
,,,Jul 2 – Jul 8,6959
,,,Jul 9 – Jul 15,6790
,,,Jul 16 – Jul 22,6791
,,,Jul 23 – Jul 29,6375
,,,Jul 30 – Aug 5,6611
,,,Aug 6 – Aug 12,6723
,,,Aug 13 – Aug 19,8124
,,,Aug 20 – Aug 26,10505
,,,Aug 27 – Sep 2,9548
,,,Sep 3 – Sep 9,9886
,,,Sep 10 – Sep 16,10072
,,,Sep 17 – Sep 23,10255
,,,Sep 24 – Sep 30,10372
,,,Oct 1 – Oct 7,11123
,,,Oct 8 – Oct 14,11158
,,,Oct 15 – Oct 21,11184
,,,Oct 22 – Oct 28,11675
,,,Oct 29 – Nov 4,11980
,,,Nov 5 – Nov 11,12297
,,,Nov 12 – Nov 18,11626
,,,Nov 19 – Nov 25,9075
,,,Nov 26 – Dec 2,9926
,,,Dec 3 – Dec 9,10786
,,,Dec 10 – Dec 16,11196
,,,Dec 17 – Dec 23,10153
,,,Dec 24 – Dec 30,8238
,≥ 18 and < 50 Years,2023,Jan 1 – Jan 7,31438
,,,Jan 8 – Jan 14,29598
,,,Jan 15 – Jan 21,29338
,,,Jan 22 – Jan 28,29871
,,,Jan 29 – Feb 4,30546
,,,Feb 5 – Feb 11,30731
,,,Feb 12 – Feb 18,29674
,,,Feb 19 – Feb 25,30564
,,,Feb 26 – Mar 4,30935
,,,Mar 5 – Mar 11,30759
,,,Mar 12 – Mar 18,30181
,,,Mar 19 – Mar 25,31034
