Session Title,FLU ED by State Week Age 2025-2026,,,
Session ID,2792332,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Country of Residence: United States of America,"ED Diagnoses: Influenza due to unidentified influenza virus( ICD-10-CM: J11.* ), Influenza due to other identified influenza virus( ICD-10-CM: J10.* ), Influenza due to certain identified influenza viruses( ICD-10-CM: J09.* )",,
Session Date Range,12/29/2024 - 1/14/2026 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,1/22/2026,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence,Age at Time of Visit,Year,Week,
Texas,Less than 1 Years,2024 – 2025,Dec 29 – Jan 4,372
,,2025,Jan 5 – Jan 11,234
,,,Jan 12 – Jan 18,266
,,,Jan 19 – Jan 25,437
,,,Jan 26 – Feb 1,593
,,,Feb 2 – Feb 8,508
,,,Feb 9 – Feb 15,254
,,,Feb 16 – Feb 22,194
,,,Feb 23 – Mar 1,165
,,,Mar 2 – Mar 8,118
,,,Mar 9 – Mar 15,87
,,,Mar 16 – Mar 22,62
,,,Mar 23 – Mar 29,32
,,,Mar 30 – Apr 5,39
,,,Apr 6 – Apr 12,20
,,,Apr 13 – Apr 19,19
,,,Apr 20 – Apr 26,18
,,,Apr 27 – May 3,18
,,,May 4 – May 10,11
,,,May 11 – May 17,17
,,,May 18 – May 24,11
,,,May 25 – May 31,11
,,,Jun 1 – Jun 7,12
,,,Jun 8 – Jun 14,10 or fewer
,,,Jun 15 – Jun 21,11
,,,Jun 22 – Jun 28,10 or fewer
,,,Jun 29 – Jul 5,10 or fewer
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 19,10 or fewer
,,,Jul 20 – Jul 26,10 or fewer
,,,Jul 27 – Aug 2,10 or fewer
,,,Aug 3 – Aug 9,10 or fewer
,,,Aug 10 – Aug 16,10 or fewer
,,,Aug 17 – Aug 23,10 or fewer
,,,Aug 24 – Aug 30,14
,,,Aug 31 – Sep 6,10 or fewer
,,,Sep 7 – Sep 13,10 or fewer
,,,Sep 14 – Sep 20,10 or fewer
,,,Sep 21 – Sep 27,11
,,,Sep 28 – Oct 4,10 or fewer
,,,Oct 5 – Oct 11,10 or fewer
,,,Oct 12 – Oct 18,19
,,,Oct 19 – Oct 25,14
,,,Oct 26 – Nov 1,20
,,,Nov 2 – Nov 8,39
,,,Nov 9 – Nov 15,63
,,,Nov 16 – Nov 22,79
,,,Nov 23 – Nov 29,169
,,,Nov 30 – Dec 6,132
,,,Dec 7 – Dec 13,166
