time,geography,state,age,epic_n_ed_heat,epic_rate_ed_heat,suppressed_heat
2022-01-01,48,Texas,<15 Years,276,51.56189575903407,0
2023-01-01,48,Texas,<15 Years,346,66.81161827008114,0
2024-01-01,48,Texas,<15 Years,298,53.55839842416095,0
2025-01-01,48,Texas,<15 Years,257,50.34467492423812,0
2022-01-01,48,Texas,15-25 Years,620,220.92675209167749,0
2023-01-01,48,Texas,15-25 Years,1032,352.65895282161335,0
2024-01-01,48,Texas,15-25 Years,730,227.17229618288303,0
2025-01-01,48,Texas,15-25 Years,734,230.72619025166128,0
2022-01-01,48,Texas,25-45 Years,1513,279.9954105180563,0
2023-01-01,48,Texas,25-45 Years,2213,383.5175823661631,0
2024-01-01,48,Texas,25-45 Years,1701,263.4888965995836,0
2025-01-01,48,Texas,25-45 Years,1556,234.88848835067824,0
2022-01-01,48,Texas,45-64 Years,1182,270.24308159420553,0
2023-01-01,48,Texas,45-64 Years,1891,405.3043211742037,0
2024-01-01,48,Texas,45-64 Years,1466,282.37433282803863,0
2025-01-01,48,Texas,45-64 Years,1249,234.85080674730693,0
2022-01-01,48,Texas,65+ Years,758,192.201877898559,0
2023-01-01,48,Texas,65+ Years,1199,276.2087299466473,0
2024-01-01,48,Texas,65+ Years,1093,218.4658619607561,0
2025-01-01,48,Texas,65+ Years,988,188.2614776620516,0
2022-01-01,48,Texas,Total,4314,197.5549710216074,0
2023-01-01,48,Texas,Total,6621,290.0154271912788,0
2024-01-01,48,Texas,Total,5241,206.62101896765972,0
2025-01-01,48,Texas,Total,4747,186.51673031888978,0
2022-01-01,12,Florida,<15 Years,96,26.858330698792216,0
2023-01-01,12,Florida,<15 Years,190,40.636322027880794,0
2024-01-01,12,Florida,<15 Years,214,46.00122526628046,0
2025-01-01,12,Florida,<15 Years,233,53.29441849613673,0
2022-01-01,12,Florida,15-25 Years,194,96.35394678679454,0
2023-01-01,12,Florida,15-25 Years,466,162.78224904985467,0
2024-01-01,12,Florida,15-25 Years,489,163.33047198832304,0
2025-01-01,12,Florida,15-25 Years,483,167.7304644362798,0
2022-01-01,12,Florida,25-45 Years,399,94.23334443350173,0
2023-01-01,12,Florida,25-45 Years,964,157.58998486220685,0
2024-01-01,12,Florida,25-45 Years,986,152.73773876889666,0
2025-01-01,12,Florida,25-45 Years,1089,173.21181466813,0
2022-01-01,12,Florida,45-64 Years,332,91.9122736106574,0
2023-01-01,12,Florida,45-64 Years,810,155.99602499017803,0
2024-01-01,12,Florida,45-64 Years,783,143.11616719185244,0
2025-01-01,12,Florida,45-64 Years,874,163.27964160679124,0
2022-01-01,12,Florida,65+ Years,360,100.09258564171859,0
2023-01-01,12,Florida,65+ Years,681,126.96648905030558,0
2024-01-01,12,Florida,65+ Years,732,123.07319828908078,0
2025-01-01,12,Florida,65+ Years,917,153.5748438711579,0
2022-01-01,12,Florida,Total,1373,80.78285826579855,0
2023-01-01,12,Florida,Total,3091,127.98615381111794,0
2024-01-01,12,Florida,Total,3175,124.75633221884343,0
2025-01-01,12,Florida,Total,3565,143.59019800544556,0
2022-01-01,39,Ohio,<15 Years,71,21.80676746921714,0
2023-01-01,39,Ohio,<15 Years,80,23.6039029053454,0
2024-01-01,39,Ohio,<15 Years,115,31.808199324006615,0
2025-01-01,39,Ohio,<15 Years,139,45.704289955906866,0
2022-01-01,39,Ohio,15-25 Years,218,83.01409716457354,0
2023-01-01,39,Ohio,15-25 Years,175,63.08807094704207,0
2024-01-01,39,Ohio,15-25 Years,330,108.45594880879216,0
2025-01-01,39,Ohio,15-25 Years,398,146.1102728737835,0
2022-01-01,39,Ohio,25-45 Years,411,76.49614169095558,0
2023-01-01,39,Ohio,25-45 Years,333,57.489222928704734,0
