geography_name,time,heat_ed_patients,total_ed_patients,heat_ed_incidence,heat_suppressed,county
55079,2018-01-01,91,120370,75.60023261610036,0,"MILWAUKEE, WI"
53033,2018-01-01,32,78061,40.993581942327154,0,"KING, WA"
55025,2018-01-01,45,54052,83.25316362021756,0,"DANE, WI"
53011,2018-01-01,29,46657,62.15573225882504,0,"CLARK, WA"
55009,2018-01-01,43,41836,102.78229276221437,0,"BROWN, WI"
53061,2018-01-01,5,16767,29.820480706148984,1,"SNOHOMISH, WA"
54003,2018-01-01,24,27835,86.2223818932998,0,"BERKELEY, WV"
55133,2018-01-01,30,19788,151.60703456640388,0,"WAUKESHA, WI"
55105,2018-01-01,26,24179,107.53132883907523,0,"ROCK, WI"
56021,2018-01-01,5,18645,26.81684097613301,1,"LARAMIE, WY"
55101,2018-01-01,15,12597,119.07597046915933,0,"RACINE, WI"
55117,2018-01-01,20,16721,119.61007116799234,0,"SHEBOYGAN, WI"
55059,2018-01-01,5,14517,34.442377901770335,1,"KENOSHA, WI"
55127,2018-01-01,20,17300,115.60693641618498,0,"WALWORTH, WI"
55063,2018-01-01,27,16831,160.41827580060604,0,"LA CROSSE, WI"
53057,2018-01-01,5,13747,36.37157197934095,1,"SKAGIT, WA"
54107,2018-01-01,5,17254,28.97878752752985,1,"WOOD, WV"
54033,2018-01-01,14,17354,80.67304367869079,0,"HARRISON, WV"
53007,2018-01-01,5,9989,50.05506056662329,1,"CHELAN, WA"
54061,2018-01-01,5,9998,50.01000200040008,1,"MONONGALIA, WV"
55139,2018-01-01,19,9808,193.7194127243067,0,"WINNEBAGO, WI"
54037,2018-01-01,11,12134,90.65435965056865,0,"JEFFERSON, WV"
54049,2018-01-01,5,7088,70.54176072234763,1,"MARION, WV"
55071,2018-01-01,13,8747,148.62238481765175,0,"MANITOWOC, WI"
55131,2018-01-01,5,7361,67.92555359326178,1,"WASHINGTON, WI"
55089,2018-01-01,5,6923,72.22302470027445,1,"OZAUKEE, WI"
53053,2018-01-01,13,6278,207.07231602421152,0,"PIERCE, WA"
54055,2018-01-01,5,529,945.179584120983,1,"MERCER, WV"
54039,2018-01-01,5,1252,399.36102236421726,1,"KANAWHA, WV"
55031,2018-01-01,5,8430,59.31198102016608,1,"DOUGLAS, WI"
55075,2018-01-01,14,7296,191.88596491228068,0,"MARINETTE, WI"
53015,2018-01-01,5,6009,83.20852055250458,1,"COWLITZ, WA"
53017,2018-01-01,5,5434,92.01324990798675,1,"DOUGLAS, WA"
54069,2018-01-01,5,1013,493.5834155972359,1,"OHIO, WV"
55035,2018-01-01,5,8325,60.06006006006006,1,"EAU CLAIRE, WI"
55087,2018-01-01,5,3979,125.65971349585324,1,"OUTAGAMIE, WI"
55017,2018-01-01,16,7937,201.58750157490235,0,"CHIPPEWA, WI"
54051,2018-01-01,12,3574,335.7582540570789,0,"MARSHALL, WV"
54097,2018-01-01,5,6208,80.54123711340206,1,"UPSHUR, WV"
54035,2018-01-01,5,1235,404.8582995951417,1,"JACKSON, WV"
55083,2018-01-01,5,4532,110.32656663724624,1,"OCONTO, WI"
55055,2018-01-01,5,4082,122.4889759921607,1,"JEFFERSON, WI"
54067,2018-01-01,5,398,1256.281407035176,1,"NICHOLAS, WV"
54057,2018-01-01,5,4631,107.96804145972793,1,"MINERAL, WV"
55027,2018-01-01,5,3399,147.10208884966167,1,"DODGE, WI"
55121,2018-01-01,5,4111,121.62490878131842,1,"TREMPEALEAU, WI"
56001,2018-01-01,5,647,772.7975270479135,1,"ALBANY, WY"
55039,2018-01-01,5,2289,218.435998252512,1,"FOND DU LAC, WI"
55021,2018-01-01,5,2892,172.89073305670814,1,"COLUMBIA, WI"
54077,2018-01-01,5,2520,198.4126984126984,1,"PRESTON, WV"
53029,2018-01-01,5,2155,232.0185614849188,1,"ISLAND, WA"
55043,2018-01-01,5,3443,145.22218995062445,1,"GRANT, WI"
55123,2018-01-01,11,3179,346.02076124567475,0,"VERNON, WI"
