age	state	a1c_6.5+_(%)	dm_(%)	n_all_patients	Year
<18 Years	Marshall Islands	NA	NA	5	1/1/2025 - 10/30/2025
<18 Years	Federated States of Micronesia	NA	NA	5	1/1/2025 - 10/30/2025
<18 Years	American Samoa, South Pacific	NA	NA	5	1/1/2025 - 10/30/2025
<18 Years	Northern Mariana Islands	NA	NA	5	1/1/2025 - 10/30/2025
<18 Years	Virgin Islands	NA	NA	93	1/1/2025 - 10/30/2025
<18 Years	Alabama	0.36%	0.64%	43225	1/1/2025 - 10/30/2025
<18 Years	Guam	NA	NA	23	1/1/2025 - 10/30/2025
<18 Years	Mississippi	0.64%	0.82%	257027	1/1/2025 - 10/30/2025
<18 Years	Kentucky	0.59%	0.76%	436608	1/1/2025 - 10/30/2025
<18 Years	Delaware	0.55%	0.69%	110898	1/1/2025 - 10/30/2025
<18 Years	Indiana	0.29%	0.49%	435971	1/1/2025 - 10/30/2025
<18 Years	North Carolina	0.48%	0.70%	870508	1/1/2025 - 10/30/2025
<18 Years	South Carolina	0.55%	0.76%	494579	1/1/2025 - 10/30/2025
<18 Years	Ohio	0.33%	0.49%	1300758	1/1/2025 - 10/30/2025
<18 Years	West Virginia	0.36%	0.57%	178299	1/1/2025 - 10/30/2025
<18 Years	Illinois	0.51%	0.68%	925004	1/1/2025 - 10/30/2025
<18 Years	Maine	0.55%	0.62%	97311	1/1/2025 - 10/30/2025
<18 Years	Maryland	0.51%	0.87%	160359	1/1/2025 - 10/30/2025
<18 Years	New Jersey	0.48%	0.79%	308526	1/1/2025 - 10/30/2025
<18 Years	Kansas	0.25%	0.48%	107225	1/1/2025 - 10/30/2025
<18 Years	Missouri	0.13%	0.34%	127443	1/1/2025 - 10/30/2025
<18 Years	Pennsylvania	0.23%	0.46%	804048	1/1/2025 - 10/30/2025
<18 Years	Michigan	0.46%	0.66%	762665	1/1/2025 - 10/30/2025
<18 Years	Virginia	0.53%	0.78%	495428	1/1/2025 - 10/30/2025
<18 Years	New York	0.44%	0.63%	711656	1/1/2025 - 10/30/2025
<18 Years	Rhode Island	0.46%	0.60%	107534	1/1/2025 - 10/30/2025
<18 Years	Oklahoma	0.82%	1.00%	217459	1/1/2025 - 10/30/2025
<18 Years	Minnesota	0.38%	0.54%	398508	1/1/2025 - 10/30/2025
<18 Years	Wisconsin	0.45%	0.54%	620188	1/1/2025 - 10/30/2025
<18 Years	Hawaii	0.50%	0.60%	82615	1/1/2025 - 10/30/2025
<18 Years	Iowa	0.52%	0.59%	363373	1/1/2025 - 10/30/2025
<18 Years	New Mexico	0.12%	0.36%	18751	1/1/2025 - 10/30/2025
<18 Years	Massachusetts	0.53%	0.72%	517108	1/1/2025 - 10/30/2025
<18 Years	Nebraska	0.24%	0.48%	72682	1/1/2025 - 10/30/2025
<18 Years	Louisiana	0.38%	0.52%	349913	1/1/2025 - 10/30/2025
<18 Years	Idaho	0.55%	0.68%	157359	1/1/2025 - 10/30/2025
<18 Years	Tennessee	0.58%	0.97%	194889	1/1/2025 - 10/30/2025
<18 Years	New Hampshire	0.71%	0.82%	81489	1/1/2025 - 10/30/2025
<18 Years	Georgia	0.44%	0.95%	570495	1/1/2025 - 10/30/2025
<18 Years	Arizona	0.25%	0.39%	189930	1/1/2025 - 10/30/2025
<18 Years	Arkansas	0.87%	1.04%	196960	1/1/2025 - 10/30/2025
<18 Years	Connecticut	0.57%	0.77%	338983	1/1/2025 - 10/30/2025
<18 Years	Wyoming	0.57%	1.04%	26179	1/1/2025 - 10/30/2025
<18 Years	Florida	0.55%	0.78%	1162897	1/1/2025 - 10/30/2025
<18 Years	Oregon	0.56%	0.72%	354013	1/1/2025 - 10/30/2025
<18 Years	Texas	0.47%	0.63%	2374615	1/1/2025 - 10/30/2025
<18 Years	Washington	0.26%	0.43%	202804	1/1/2025 - 10/30/2025
<18 Years	California	0.25%	0.51%	1404040	1/1/2025 - 10/30/2025
<18 Years	Montana	0.36%	0.59%	52121	1/1/2025 - 10/30/2025
<18 Years	Puerto Rico	0.10%	0.55%	17243	1/1/2025 - 10/30/2025
<18 Years	South Dakota	0.43%	0.59%	82994	1/1/2025 - 10/30/2025
<18 Years	Alaska	NA	NA	1401	1/1/2025 - 10/30/2025
<18 Years	North Dakota	0.36%	0.51%	125832	1/1/2025 - 10/30/2025
<18 Years	Nevada	0.44%	0.67%	117610	1/1/2025 - 10/30/2025
<18 Years	District of Columbia	NA	NA	1946	1/1/2025 - 10/30/2025
<18 Years	Colorado	0.39%	0.58%	476887	1/1/2025 - 10/30/2025
<18 Years	Vermont	0.76%	0.91%	42943	1/1/2025 - 10/30/2025
<18 Years	Armed Forces Pacific	NA	NA	51	1/1/2025 - 10/30/2025
<18 Years	Utah	0.32%	1.62%	137400	1/1/2025 - 10/30/2025
