Session Title,DM in ICD10  by State Age 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Description,Fixes the date range and make the CCW definition sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session ID,2819467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Model,Patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Base,All Patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Country of Care: United States of America,Has Any Encounters?,Base Patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Date Range,1/1/2016 - 4/14/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export User,Daniel Weinberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of Export,5/5/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measures,Percentage with Has Any Encounters? preceded by Diagnosis (All): Obesity CCW definition within 24 months (%),,,,,,,,,,,Percentage with Has Any Encounters? preceded by BMI 30.0  or more within 24 months (%),,,,,,,,,,,Number of Patients,,,,,,,,,,
,,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026
Age at Encounter in Years,State of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than 18 Years,Puerto Rico,,,3.92%,6.50%,5.81%,4.57%,3.97%,4.27%,8.30%,10.99%,12.81%,4.10%,,4.41%,4.88%,4.52%,4.33%,5.23%,8.80%,9.48%,9.41%,9.24%,268,333,408,369,310,416,478,5218,13465,19214,9875
,Ohio,3.54%,3.66%,3.88%,4.06%,4.33%,4.37%,4.22%,3.91%,4.05%,4.90%,5.07%,5.50%,5.80%,6.05%,6.17%,6.25%,6.50%,6.40%,6.14%,6.36%,6.66%,6.32%,887225,949395,978105,1008547,976223,1096774,1174516,1382861,1490726,1455259,906179
,Kentucky,2.39%,2.43%,2.62%,2.81%,3.37%,3.94%,4.38%,4.56%,4.57%,5.94%,6.78%,5.78%,6.57%,7.28%,7.45%,7.50%,7.63%,7.96%,8.13%,8.04%,8.28%,8.26%,260871,294406,312367,326531,314848,399236,442613,466695,489563,481281,293936
,West Virginia,3.76%,3.63%,3.92%,4.21%,4.24%,3.86%,3.52%,3.32%,3.68%,4.59%,5.25%,7.63%,7.31%,7.51%,7.83%,8.17%,8.49%,8.04%,7.72%,8.03%,8.49%,8.70%,64666,73756,87417,99638,99808,113293,126133,158546,183913,192521,110267
,Pennsylvania,2.94%,2.88%,2.95%,3.22%,3.51%,4.00%,4.28%,4.19%,4.03%,9.98%,12.94%,4.30%,4.70%,5.06%,5.30%,5.47%,6.03%,6.11%,6.03%,5.94%,5.97%,5.72%,947571,1104081,1196139,1275182,1262285,1462751,1499068,1540878,1573274,1515853,842116
,Michigan,2.52%,2.33%,2.54%,2.81%,2.79%,3.09%,3.19%,3.07%,2.93%,4.09%,4.75%,5.74%,5.68%,5.91%,6.07%,5.69%,6.31%,6.49%,6.40%,6.11%,6.49%,6.54%,456265,517680,545396,557559,645376,725874,739494,761641,870617,898688,526401
,Mississippi,1.26%,1.29%,1.36%,1.39%,1.75%,2.24%,2.45%,2.66%,3.09%,4.12%,4.76%,6.38%,6.50%,6.80%,7.29%,7.57%,7.84%,8.10%,8.28%,8.23%,8.69%,8.66%,96735,104086,118566,153325,146265,180347,197030,206122,217437,215145,117367
,Alabama,1.45%,1.54%,1.85%,2.28%,2.67%,2.46%,2.50%,2.57%,3.78%,6.08%,7.21%,5.95%,6.04%,6.43%,6.43%,6.62%,6.47%,7.08%,5.73%,6.41%,6.97%,7.23%,21506,24093,24051,29163,29255,49298,58731,189660,231425,228307,125736
