Session Title,DM in ICD10  by State Age 2023,,,
Session ID,2775696,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2024 - 12/31/2024,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,State of Residence (U.S.),,,
Less than 18 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,13
,Palau,-,-,10 or fewer
,Virgin Islands,-,-,101
,Guam,-,-,35
,Kentucky,0.55%,0.72%,482418
,Mississippi,0.56%,0.75%,284398
,North Carolina,0.45%,0.66%,969390
,Alabama,0.35%,0.64%,52859
,South Carolina,0.54%,0.73%,539096
,Ohio,0.31%,0.48%,1416764
,West Virginia,0.34%,0.55%,181159
,Maine,0.50%,0.56%,107290
,Indiana,0.25%,0.45%,494877
,Delaware,0.52%,0.64%,121865
,Missouri,0.12%,0.32%,141453
,Illinois,0.48%,0.63%,1044279
,Kansas,0.28%,0.48%,114362
,Maryland,0.49%,0.79%,184988
,Pennsylvania,0.23%,0.43%,915097
,Rhode Island,0.45%,0.58%,120313
,Virginia,0.48%,0.71%,577842
,New Jersey,0.44%,0.71%,343682
,Minnesota,0.35%,0.49%,443981
,Michigan,0.43%,0.61%,806892
,Idaho,0.50%,0.62%,173370
,Wisconsin,0.40%,0.52%,675515
,Hawaii,0.45%,0.53%,97623
,Oklahoma,0.73%,0.96%,238283
,New York,0.40%,0.59%,789755
,Louisiana,0.36%,0.49%,383800
,Nebraska,0.21%,0.43%,82308
,Massachusetts,0.48%,0.67%,534591
,Iowa,0.50%,0.58%,372001
,Wyoming,0.50%,0.80%,28796
,New Hampshire,0.66%,0.76%,89061
,Arkansas,0.76%,0.95%,219525
,Arizona,0.23%,0.36%,215437
,Georgia,0.40%,0.84%,662596
,New Mexico,0.12%,0.36%,18665
,Tennessee,0.40%,0.84%,188841
,Oregon,0.52%,0.67%,383334
,Connecticut,0.54%,0.75%,373520
,Washington,0.24%,0.40%,236294
,Texas,0.44%,0.59%,2571515
,South Dakota,0.43%,0.57%,91540
,Alaska,-,-,1741
,North Dakota,0.36%,0.49%,131606
,Montana,0.31%,0.53%,56246
,Florida,0.48%,0.71%,1300838
,California,0.24%,0.51%,1518671
,Puerto Rico,0.08%,0.49%,13080
,Nevada,0.38%,0.56%,130244
,Colorado,0.38%,0.54%,557593
,District of Columbia,-,-,2617
,Utah,0.08%,0.55%,129492
,Armed Forces Pacific,-,-,82
,Vermont,0.73%,0.83%,48272
,None of the above,0.36%,0.71%,233522
,Total,0.41%,0.61%,21893541
≥ 18 and < 25 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,10 or fewer
,Palau,-,-,10 or fewer
,Virgin Islands,-,-,70
,Guam,-,-,22
,Kentucky,1.59%,2.40%,186521
,Mississippi,1.61%,2.45%,111924
,North Carolina,1.34%,2.07%,410710
,Alabama,1.58%,2.94%,26585
,South Carolina,1.59%,2.40%,217292
,Ohio,1.20%,1.93%,619171
,West Virginia,1.21%,2.07%,64977
,Maine,1.56%,2.00%,41642
,Indiana,1.17%,1.94%,189281
,Delaware,1.62%,2.37%,30596
,Missouri,1.15%,1.82%,68515
,Illinois,1.43%,2.01%,382712
,Kansas,1.09%,1.99%,59612
,Maryland,1.20%,2.14%,107791
,Pennsylvania,0.93%,1.62%,472450
,Rhode Island,1.26%,1.84%,46749
,Virginia,1.27%,2.02%,272910
,New Jersey,1.10%,1.93%,179065
,Minnesota,1.21%,1.70%,173036
,Michigan,1.21%,1.86%,349058
,Idaho,1.46%,2.01%,63981
,Wisconsin,1.27%,1.68%,234157
,Hawaii,1.16%,1.72%,34236
,Oklahoma,1.63%,2.73%,76308
,New York,1.04%,1.77%,406141
,Louisiana,1.07%,1.81%,162121
,Nebraska,1.28%,1.90%,58062
,Massachusetts,1.18%,1.81%,238905
,Iowa,1.32%,1.77%,132133
,Wyoming,1.38%,2.13%,9831
,New Hampshire,1.56%,1.97%,34983
,Arkansas,1.81%,2.73%,60123
,Arizona,0.86%,1.33%,102159
,Georgia,1.11%,2.32%,203896
,New Mexico,0.96%,1.82%,12523
,Tennessee,1.34%,2.43%,78523
,Oregon,1.26%,1.88%,136861
,Connecticut,1.22%,1.98%,167618
,Washington,0.92%,1.39%,101660
,Texas,1.26%,2.16%,683786
,South Dakota,1.13%,1.58%,32573
,Alaska,-,1.03%,1070
,North Dakota,1.12%,1.59%,47330
,Montana,1.01%,1.56%,27074
,Florida,1.13%,2.07%,490486
,California,0.78%,1.65%,580139
,Puerto Rico,0.53%,2.04%,5095
,Nevada,0.82%,1.50%,55243
,Colorado,1.05%,1.71%,195153
,District of Columbia,0.88%,1.58%,8428
,Utah,1.05%,1.86%,51898
,Armed Forces Pacific,-,-,26
,Vermont,1.20%,1.81%,22939
,None of the above,0.94%,1.79%,120374
,Total,1.19%,1.94%,8646531
≥ 25 and < 35 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,10 or fewer
,Palau,-,-,10 or fewer
,Virgin Islands,-,-,105
,Guam,-,-,38
,Kentucky,2.71%,4.41%,283195
,Mississippi,2.81%,4.60%,159332
,North Carolina,2.46%,3.93%,628391
,Alabama,2.81%,5.77%,44174
,South Carolina,2.56%,4.26%,333712
,Ohio,2.40%,3.92%,937408
,West Virginia,2.45%,4.44%,93554
,Maine,2.21%,3.29%,65522
,Indiana,2.47%,4.31%,287689
,Delaware,2.26%,3.99%,37063
,Missouri,2.15%,3.57%,109735
,Illinois,2.49%,3.80%,570369
,Kansas,2.08%,3.73%,92212
,Maryland,1.98%,3.75%,189138
,Pennsylvania,1.81%,3.17%,767022
,Rhode Island,2.04%,3.58%,69314
,Virginia,2.08%,3.55%,449939
,New Jersey,1.87%,3.32%,301039
,Minnesota,2.23%,3.38%,257536
,Michigan,1.95%,3.21%,546630
,Idaho,2.31%,3.67%,91886
,Wisconsin,2.24%,3.11%,334498
,Hawaii,2.22%,3.90%,58324
,Oklahoma,2.42%,4.51%,113004
,New York,1.76%,3.16%,675893
,Louisiana,1.94%,3.82%,229905
,Nebraska,2.44%,3.98%,82885
,Massachusetts,1.76%,2.90%,380244
,Iowa,2.32%,3.60%,182163
,Wyoming,2.20%,3.52%,13767
,New Hampshire,2.02%,2.90%,49644
,Arkansas,2.57%,4.84%,86979
,Arizona,2.06%,3.06%,166130
,Georgia,1.98%,3.89%,300880
,New Mexico,2.14%,4.00%,23887
,Tennessee,1.91%,3.87%,125211
,Oregon,1.86%,3.18%,221030
,Connecticut,1.72%,3.52%,255757
,Washington,1.66%,2.55%,198560
,Texas,2.01%,4.09%,1088074
,South Dakota,1.96%,2.85%,44642
,Alaska,1.79%,2.57%,1282
,North Dakota,1.96%,3.09%,73482
,Montana,1.71%,2.76%,40383
,Florida,1.58%,3.49%,761615
,California,1.48%,3.17%,963106
,Puerto Rico,1.06%,4.67%,7047
,Nevada,1.35%,2.76%,99897
,Colorado,1.48%,2.68%,349984
,District of Columbia,1.17%,1.91%,28628
