Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2023,,,
Session ID,2776085,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States AL-DE,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2023 - 12/31/2023,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"KUSILVAK, AK",-,-,10 or fewer
,"DILLINGHAM, AK",-,-,10 or fewer
,"GREENE, AL",-,-,158
,"WALKER, AL",-,-,86
,"ALEUTIANS WEST, AK",-,-,10 or fewer
,"CHOCTAW, AL",-,-,1030
,"SUMTER, AL",-,-,773
,"JACKSON, AR",-,-,565
,"WINSTON, AL",-,-,55
,"MARENGO, AL",-,-,120
,"MARION, AL",-,-,1266
,"KENT, DE",0.63%,0.75%,23750
,"APACHE, AZ",-,-,37
,"MOBILE, AL",0.11%,0.33%,10736
,"HALE, AL",-,-,167
,"WASHINGTON, AL",-,-,268
,"DEL NORTE, CA",-,-,1962
,"FAYETTE, AL",-,-,49
,"CLARKE, AL",-,-,166
,"MONROE, AR",-,-,636
,"LOGAN, CO",-,-,516
,"POINSETT, AR",-,-,2372
,"TUSCALOOSA, AL",-,0.61%,2479
,"OUACHITA, AR",0.57%,0.66%,2284
,"COFFEE, AL",-,-,4317
,"MISSISSIPPI, AR",-,-,1443
,"MODOC, CA",-,-,48
,"SUSSEX, DE",0.55%,0.71%,25092
,"ARKANSAS, AR",0.64%,1.09%,2666
,"PHILLIPS, AR",-,-,510
,"MILLER, AR",2.37%,2.82%,1562
,"SAINT FRANCIS, AR",-,-,473
,"SCOTT, AR",-,-,524
,"LOGAN, AR",1.21%,1.31%,995
,"PICKENS, AL",-,-,570
,"WILCOX, AL",-,-,25
,"SHARP, AR",-,-,497
,"PRAIRIE, AR",-,-,781
,"LAFAYETTE, AR",-,-,157
,"SKAGWAY, AK",-,-,10 or fewer
,"GRAHAM, AZ",-,-,164
,"JEFFERSON, AR",0.66%,0.72%,7092
,"COLUMBIA, AR",-,-,970
,"SEBASTIAN, AR",0.77%,0.90%,11494
,"JOHNSON, AR",1.12%,1.36%,1248
,"BIBB, AL",-,-,35
,"LA PAZ, AZ",-,-,49
,"FRANKLIN, AL",-,-,167
,"LAWRENCE, AR",-,-,707
,"DALLAS, AR",-,-,415
,"COCHISE, AZ",2.85%,2.92%,1438
,"PERRY, AL",-,-,10 or fewer
,"CRAIGHEAD, AR",0.42%,0.61%,11750
,"BUTLER, AL",-,-,37
,"LAMAR, AL",-,-,571
,"NEVADA, AR",-,-,552
,"MONROE, AL",-,-,240
,"CLARK, AR",0.58%,0.84%,1913
,"INDEPENDENCE, AR",1.41%,1.79%,1344
,"CALHOUN, AR",-,-,250
,"PIMA, AZ",0.49%,0.62%,69893
,"SANTA BARBARA, CA",0.16%,0.54%,7977
,"CHAMBERS, AL",-,-,227
,"KODIAK ISLAND, AK",-,-,1288
,"CLAY, AR",-,-,576
,"COLBERT, AL",-,-,51
,"NAVAJO, AZ",-,-,69
,"LAUDERDALE, AL",-,-,29
,"CONECUH, AL",-,-,254
,"CRAWFORD, AR",0.59%,0.75%,6933
,"SAN FRANCISCO, CA",0.19%,0.29%,34775
,"FULTON, AR",-,-,234
,"SIERRA, CA",-,-,69
,"CRITTENDEN, AR",-,-,3582
,"PERRY, AR",-,-,809
,"ALPINE, CA",-,-,10 or fewer
,"LEE, AR",-,-,180
,"IMPERIAL, CA",-,-,312
,"RANDOLPH, AL",-,-,178
,"GREENE, AR",-,0.43%,2776
,"JACKSON, AL",-,-,316
,"WASHINGTON, CO",-,-,132
,"GENEVA, AL",-,-,933
,"COVINGTON, AL",-,-,292
,"SANTA CRUZ, AZ",-,-,662
,"FRANKLIN, AR",-,-,991
,"PIKE, AL",-,-,69
,"MONTEREY, CA",0.45%,0.58%,46632
,"CLEBURNE, AR",0.74%,0.88%,2164
,"JACKSON, CO",-,-,56
,"LASSEN, CA",-,-,495
,"GREENLEE, AZ",-,-,41
,"LAWRENCE, AL",-,-,10 or fewer
,"SEDGWICK, CO",-,-,63
,"HOUSTON, AL",-,0.51%,3162
,"DALE, AL",-,-,1080
,"GILA, AZ",-,-,127
,"BALDWIN, AL",0.26%,0.57%,11718
,"SOUTHEAST FAIRBANKS, AK",-,-,10 or fewer
,"ALAMEDA, CA",0.13%,0.31%,92942
,"DALLAS, AL",-,-,12
,"LOWNDES, AL",-,-,10 or fewer
,"PLUMAS, CA",-,-,217
,"CROSS, AR",-,-,1116
,"IZARD, AR",-,-,290
,"CROWLEY, CO",-,-,115
,"ESCAMBIA, AL",0.89%,1.03%,1355
