Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2025,,,
Session ID,2776034,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States FL_KS,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"DEKALB, IN",-,-,960
,"NOBLE, IN",0.37%,0.64%,7073
,"WASHINGTON, IN",1.74%,1.89%,1268
,"OHIO, IN",-,-,859
,"CRAWFORD, IN",-,-,474
,"RANDOLPH, IL",-,-,28
,"LYON, KS",-,0.52%,2902
,"UNION, IN",-,-,1147
,"DIXIE, FL",-,-,774
,"MERIWETHER, GA",-,-,658
,"PIKE, IN",-,-,1191
,"WABASH, IN",0.38%,0.67%,4776
,"SWITZERLAND, IN",-,-,1117
,"HUNTINGTON, IN",0.27%,0.64%,6285
,"LAGRANGE, IN",0.56%,0.86%,2674
,"LAKE, IN",0.38%,0.63%,23953
,"OSAGE, KS",-,-,2151
,"HARRISON, IN",0.82%,0.98%,3659
,"WHITLEY, IN",0.20%,0.48%,5455
,"MURRAY, GA",0.41%,0.72%,2931
,"MORRIS, KS",-,-,117
,"STEPHENS, GA",0.30%,0.56%,4607
,"SHAWNEE, KS",0.37%,0.52%,25147
,"MORGAN, IL",-,2.45%,571
,"FAYETTE, IN",-,0.53%,3397
,"WORTH, IA",-,-,412
,"SCOTT, IN",0.68%,0.86%,1752
,"GREENE, IN",-,-,102
,"WABAUNSEE, KS",-,-,509
,"NEWTON, IN",-,-,124
,"BOND, IL",-,-,1160
,"PORTER, IN",0.64%,0.93%,4513
,"MASSAC, IL",-,-,890
,"MARSHALL, IN",0.35%,0.45%,4245
,"JEFFERSON, KS",-,-,1558
,"HARDEE, FL",0.61%,0.88%,1810
,"MUSCATINE, IA",0.40%,0.48%,7747
,"BRADFORD, FL",0.58%,0.78%,2064
,"DEARBORN, IN",0.48%,0.65%,8829
,"BUTLER, IA",0.68%,-,1629
,"WHITFIELD, GA",0.88%,1.10%,6803
,"HIGHLANDS, FL",0.71%,0.99%,3824
,"WAYNE, IN",0.17%,0.48%,8466
