Session Title,OBESITY by ICD and BMI County Age 2024,,,
Session ID,2776918,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States ND_VA,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2024 - 12/31/2024,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"LOVING, TX",-,-,10 or fewer
,"WILLIAMSBURG, SC",11.67%,3.91%,1945
,"JACKSON, OH",10.61%,4.17%,264
,"SOUTHAMPTON, VA",8.94%,3.92%,817
,"PIKE, OH",10.57%,6.79%,265
,"PORTSMOUTH CITY, VA",7.96%,2.95%,3393
,"BRUNSWICK, VA",11.42%,5.89%,1121
,"PETERSBURG CITY, VA",9.99%,3.55%,2842
,"MEIGS, OH",9.30%,4.40%,613
,"ROSS, OH",9.51%,4.32%,1157
,"PICKAWAY, OH",6.81%,3.10%,4231
,"SURRY, VA",7.40%,4.77%,419
,"MORROW, OH",8.46%,4.31%,2968
,"ARMSTRONG, PA",10.46%,-,497
,"HOPEWELL CITY, VA",9.42%,3.84%,1146
,"LEE, SC",9.53%,3.94%,787
,"SUSSEX, VA",9.86%,3.29%,517
,"FRANKLIN CITY, VA",8.35%,3.30%,970
,"MARION, TN",9.25%,4.50%,1221
,"BUCHANAN, VA",11.13%,6.04%,728
,"MARLBORO, SC",10.38%,8.94%,1175
,"DILLON, SC",11.48%,5.70%,3370
,"CRAWFORD, OH",8.66%,4.23%,6188
,"NOTTOWAY, VA",11.19%,5.72%,804
,"VINTON, OH",6.89%,5.90%,305
,"MORGAN, OH",-,-,135
,"COLUMBIANA, OH",9.67%,1.54%,3836
,"CLARENDON, SC",9.77%,4.05%,2394
,"MARION, SC",9.68%,3.81%,3545
,"HOCKING, OH",9.13%,4.78%,920
,"GUERNSEY, OH",10.15%,5.67%,335
,"DINWIDDIE, VA",9.92%,2.91%,1824
,"WASHINGTON, OH",8.31%,3.13%,1565
,"MONROE, OH",9.10%,3.64%,1209
,"GREENSVILLE, VA",10.08%,3.39%,1240
,"LOGAN, OH",5.84%,3.34%,1319
,"WYTHE, VA",10.59%,1.82%,661
,"MECKLENBURG, VA",9.83%,4.91%,2768
,"FLORENCE, SC",8.89%,2.97%,12039
,"FOREST, PA",-,-,10 or fewer
,"SUFFOLK CITY, VA",6.43%,2.42%,5335
,"BLAND, VA",8.33%,-,144
,"FAYETTE, OH",8.86%,4.71%,1275
,"NOBLE, OH",-,-,67
,"SCIOTO, OH",10.15%,7.23%,581
,"DARLINGTON, SC",7.72%,3.04%,3745
