Session Title,Number of Patients and Percentage with Immunizations: HepB by State of Residence,,,
Session ID,2799907,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Diagnosis (All): Liveborn infants according to place of birth and type of delivery( ICD-10-CM: Z38.* ) AND Age at Encounter in Years: ? 1 Years within the same encounter,,,
Session Date Range,1/1/2017 - 2/4/2026,,,
Export User,Daniel Weinberger,,,
Date of Export,2/24/2026,,,
,,,,
,,,,
,,Measures,Number of Patients,Percentage with Immunizations: HepB (%)
Year,Month,State of Residence,,
2017,Dec,Rhode Island,67,92.54%
,,Hawaii,752,91.22%
,,Virginia,4036,84.89%
,,Nevada,558,84.41%
,,Connecticut,1465,83.89%
,,Maryland,963,83.49%
,,Colorado,1887,83.25%
,,Nebraska,284,83.10%
,,North Dakota,466,82.83%
,,Indiana,1646,82.50%
,,Mississippi,1006,82.41%
,,Iowa,1398,81.62%
,,Kansas,430,81.40%
,,Kentucky,2051,81.23%
,,Louisiana,847,80.40%
,,Minnesota,2087,80.35%
,,Idaho,666,80.33%
,,West Virginia,490,79.59%
,,Missouri,559,79.07%
,,Georgia,1607,78.78%
,,Maine,372,78.49%
,,Pennsylvania,4417,78.38%
,,Wisconsin,1994,77.73%
,,Delaware,255,77.65%
,,Michigan,2436,77.46%
,,Florida,2947,77.33%
,,Utah,322,77.33%
,,Arkansas,808,76.86%
,,Wyoming,121,76.03%
,,New Jersey,376,75.53%
,,New York,3161,74.98%
,,Vermont,38,73.68%
,,Montana,228,73.25%
,,Washington,1150,72.35%
,,North Carolina,4651,72.16%
,,Ohio,6682,72.15%
,,South Carolina,1594,71.39%
,,None of the above,734,71.25%
,,Oregon,1197,70.51%
,,Texas,7467,68.33%
,,Massachusetts,1136,66.99%
,,Illinois,1842,61.18%
,,Tennessee,1004,59.26%
,,California,3110,55.98%
,,South Dakota,387,52.20%
,,Alabama,36,44.44%
,,Arizona,967,43.33%
,,New Hampshire,176,41.48%
,,Oklahoma,1071,-
,,New Mexico,349,-
,,Ontario,10 or fewer,-
,,District of Columbia,13,-
,,Baja California,10 or fewer,-
,,Sonora,10 or fewer,-
,,Alaska,10 or fewer,-
,,México,10 or fewer,-
,,Puerto Rico,10 or fewer,-
,,Baja California Sur,10 or fewer,-
,,Sinaloa,10 or fewer,-
,,Armed Forces Africa,10 or fewer,-
,,Manitoba,10 or fewer,-
,,Armed Forces Pacific,10 or fewer,-
,,British Columbia,10 or fewer,-
,,Virgin Islands,10 or fewer,-
,,Coahuila,10 or fewer,-
,,Guam,10 or fewer,-
,,Jalisco,10 or fewer,-
,,Quebec,10 or fewer,-
,,Alberta,10 or fewer,-
,,Distrito Federal,10 or fewer,-
,,Armed Forces America,10 or fewer,-
,,Chihuahua,10 or fewer,-
