Session Title,Number of Patients and Percentage with Has Any Encounters? preceded by Immunizations: pneumoc within 5 years by Age at Encounter in Years Range and County of Residence,,
Session ID,2807396,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Days Since Last Immunization Registry Query: any,"State of Residence: California, Connecticut, Georgia, Tennessee, Minnesota, Oregon, New Mexico, Maryland, New York, Colorado",Has Any Encounters?
Session Date Range,1/1/2023 - 12/31/2025,,
Export User,Daniel Weinberger,,
Date of Export,3/25/2026,,
,,,
,,,
,Measures,Number of Patients,Percentage with Has Any Encounters? preceded by Immunizations: pneumoc within 5 years (%)
Age at Encounter in Years,County of Residence,,
Less than 1 Years,"SAN DIEGO, CA",32808,82.30%
,"KINGS, NY",24417,72.18%
,"RIVERSIDE, CA",24169,76.64%
,"HENNEPIN, MN",17261,77.67%
,"LOS ANGELES, CA",22656,86.45%
,"ORANGE, CA",18389,80.24%
,"MONROE, NY",18336,81.54%
,"FRESNO, CA",31016,84.28%
,"QUEENS, NY",15337,75.00%
,"SANTA CLARA, CA",16895,86.49%
,"SUFFOLK, NY",12813,76.81%
,"NASSAU, NY",12060,80.93%
,"ALAMEDA, CA",19181,86.31%
,"COBB, GA",24778,77.37%
,"FULTON, GA",25298,78.52%
,"MULTNOMAH, OR",16466,81.85%
,"DENVER, CO",22542,85.12%
,"HARTFORD, CT",12022,87.92%
,"SAN BERNARDINO, CA",21944,75.88%
,"EL PASO, CO",20373,72.33%
,"NEW YORK, NY",7050,81.69%
,"ARAPAHOE, CO",19995,82.27%
,"DEKALB, GA",18841,79.99%
,"CONTRA COSTA, CA",12969,90.07%
,"BALTIMORE, MD",8528,78.68%
,"WASHINGTON, OR",13397,79.94%
,"GWINNETT, GA",17982,80.63%
,"SAN FRANCISCO, CA",8603,88.27%
,"ERIE, NY",2982,72.50%
,"JEFFERSON, CO",12247,79.35%
,"SACRAMENTO, CA",9609,85.36%
,"ADAMS, CO",15204,82.25%
,"BALTIMORE CITY, MD",8626,83.64%
,"RAMSEY, MN",9625,84.10%
,"LARIMER, CO",8908,82.99%
,"CLACKAMAS, OR",8119,77.34%
,"WELD, CO",12578,80.90%
,"BOULDER, CO",7069,84.01%
,"DOUGLAS, CO",8888,78.69%
,"ANNE ARUNDEL, MD",3606,77.65%
,"SAN MATEO, CA",10052,88.34%
,"DAKOTA, MN",6515,75.96%
,"ALBANY, NY",6341,82.20%
,"MONTEREY, CA",9005,89.45%
,"FAIRFIELD, CT",2934,84.32%
,"KERN, CA",10076,88.77%
,"HAMILTON, TN",9596,69.58%
,"DESCHUTES, OR",7031,78.88%
,"NEW HAVEN, CT",4065,86.77%
,"PRINCE GEORGES, MD",4653,70.21%
,"MARION, OR",5277,78.26%
,"SAN JOAQUIN, CA",7974,90.78%
,"ANOKA, MN",6024,79.98%
,"MONTGOMERY, MD",4911,74.40%
,"HALL, GA",9009,83.73%
,"CHEROKEE, GA",7528,78.84%
,"BROOME, NY",5438,87.42%
,"BERNALILLO, NM",1023,66.76%
,"ONONDAGA, NY",2943,83.32%
,"BRONX, NY",2221,86.27%
,"SAINT LOUIS, MN",4300,84.81%
,"HARFORD, MD",3372,71.80%
,"SARATOGA, NY",2873,77.48%
,"STEARNS, MN",6949,80.96%
,"RICHMOND, NY",1934,65.72%
,"PAULDING, GA",5676,78.00%
,"ONEIDA, NY",3656,81.95%
,"SONOMA, CA",5519,88.02%
,"LINN, OR",4756,61.71%
,"NEW LONDON, CT",3264,89.95%
,"WASHINGTON, MN",3802,81.72%
,"SULLIVAN, TN",2994,80.06%
,"ORANGE, NY",2701,72.49%
,"DOUGLAS, GA",5129,80.17%
,"RENSSELAER, NY",3053,81.72%
,"MIDDLESEX, CT",2687,84.82%
,"ONTARIO, NY",2602,85.90%
,"MESA, CO",2725,59.56%
,"HENRY, GA",5338,77.28%
,"PUEBLO, CO",3265,76.14%
,"CLAYTON, GA",5944,77.44%
,"HOWARD, MD",1123,79.25%
,"SOLANO, CA",3679,85.32%
,"WASHINGTON, TN",2520,81.63%
,"NIAGARA, NY",866,78.75%
,"FORSYTH, GA",3733,81.06%
,"SHERBURNE, MN",2937,77.36%
,"HUMBOLDT, CA",2495,82.69%
,"TULARE, CA",5475,82.83%
,"SANTA CRUZ, CA",1627,89.86%
,"MADERA, CA",4798,83.60%
,"LOWNDES, GA",3310,55.38%
,"STEUBEN, NY",2717,86.49%
,"LANE, OR",2513,78.95%
,"WRIGHT, MN",2575,71.92%
,"WICOMICO, MD",3091,63.44%
,"WAYNE, NY",2213,83.73%
,"JACKSON, OR",1681,71.98%
,"LITCHFIELD, CT",1173,84.57%
,"WESTCHESTER, NY",698,81.95%
,"BENTON, OR",1584,65.91%
,"TOLLAND, CT",1960,86.63%
,"VENTURA, CA",3364,89.21%
,"MARIN, CA",2808,88.46%
,"WHITFIELD, GA",2508,63.88%
,"SHELBY, TN",1120,82.59%
,"CHARLES, MD",1424,69.03%
,"BARROW, GA",2709,79.11%
,"WINDHAM, CT",1852,89.42%
,"CHEMUNG, NY",2184,87.59%
,"JACKSON, GA",2515,78.85%
,"BARTOW, GA",2860,80.91%
,"RICHMOND, GA",2440,70.66%
,"CLAY, MN",2840,86.48%
,"WASHINGTON, MD",994,83.30%
,"SAINT LAWRENCE, NY",1447,91.98%
,"CLINTON, NY",1258,73.93%
,"TROUP, GA",2849,68.23%
,"GREENE, TN",1965,83.05%
,"COOS, OR",1819,78.78%
,"CROW WING, MN",1282,77.61%
,"OTTER TAIL, MN",2010,81.44%
,"MADISON, TN",2442,71.54%
,"STANISLAUS, CA",1504,85.70%
,"LINCOLN, OR",1201,68.78%
,"LIVINGSTON, NY",1312,81.94%
,"SCOTT, MN",1190,71.76%
,"BRADLEY, TN",2208,65.40%
,"MERCED, CA",3728,89.67%
,"COLUMBIA, GA",1651,70.62%
,"BROOMFIELD, CO",1573,80.10%
,"CHISAGO, MN",1576,81.09%
,"SULLIVAN, NY",1349,78.72%
,"FLOYD, GA",1354,89.00%
,"YAMHILL, OR",1339,79.91%
,"ULSTER, NY",937,82.07%
,"ITASCA, MN",1419,77.24%
,"SANTA BARBARA, CA",1882,83.37%
,"KANDIYOHI, MN",2015,82.73%
,"GORDON, GA",1445,79.45%
,"SPALDING, GA",1891,62.14%
,"GENESEE, NY",953,80.06%
,"CLARKE, GA",1401,81.44%
,"BELTRAMI, MN",1730,79.83%
,"OTSEGO, NY",1033,90.03%
,"HAWKINS, TN",1111,80.47%
,"HERKIMER, NY",841,83.00%
,"EL DORADO, CA",374,74.06%
,"UMATILLA, OR",1607,77.60%
,"WORCESTER, MD",814,61.67%
,"PLACER, CA",478,83.68%
,"SCHENECTADY, NY",1099,76.07%
,"TIOGA, NY",1347,86.12%
,"HABERSHAM, GA",1929,83.57%
,"CARROLL, MD",554,75.99%
,"CHENANGO, NY",1362,89.21%
,"COLUMBIA, OR",1234,77.96%
,"CARTER, TN",1011,82.89%
,"FREDERICK, MD",511,74.17%
,"TOMPKINS, NY",330,89.09%
,"YOLO, CA",1431,79.52%
,"CARROLL, GA",2301,75.14%
,"BENTON, MN",1570,80.45%
,"COLUMBIA, NY",804,82.46%
,"POLK, OR",891,78.68%
,"WALTON, GA",2177,79.05%
,"QUEEN ANNES, MD",518,76.83%
,"BECKER, MN",1294,76.28%
,"MENDOCINO, CA",1168,85.27%
,"COWETA, GA",2191,74.71%
,"CATOOSA, GA",987,69.81%
,"WALKER, GA",1475,75.19%
,"NAPA, CA",1524,84.97%
,"WARREN, NY",493,70.39%
,"TALBOT, MD",823,82.50%
,"SANDOVAL, NM",206,67.96%
,"KINGS, CA",2309,84.63%
,"CORTLAND, NY",701,84.17%
,"DELAWARE, NY",1011,87.24%
,"FAYETTE, GA",1372,75.87%
,"NEWTON, GA",2078,79.98%
,"POLK, MN",1186,84.91%
,"FRANKLIN, NY",737,83.18%
,"MALHEUR, OR",1170,77.78%
,"CECIL, MD",1327,73.47%
,"DORCHESTER, MD",1117,85.59%
,"CAROLINE, MD",955,80.94%
,"WASHINGTON, NY",547,71.30%
,"MURRAY, GA",902,65.96%
,"GREENE, NY",635,78.43%
,"CROOK, OR",988,74.29%
,"CHAVES, NM",731,77.15%
,"DOUGLAS, OR",587,77.17%
,"ALLEGANY, NY",1044,82.95%
,"DOUGLAS, MN",608,79.28%
,"ROCKDALE, GA",1392,76.72%
,"CASS, MN",833,70.83%
,"WHITE, GA",857,80.63%
,"MORRISON, MN",979,74.57%
,"POLK, GA",954,85.64%
,"LUMPKIN, GA",827,77.63%
,"ORLEANS, NY",581,78.66%
,"JEFFERSON, OR",1036,79.44%
,"CARVER, MN",496,69.96%
,"GIBSON, TN",800,68.13%
,"STEPHENS, GA",1076,81.69%
,"WINONA, MN",706,82.29%
,"MILLE LACS, MN",875,75.20%
,"MADISON, NY",327,82.26%
,"DAWSON, GA",1149,79.72%
,"ESSEX, NY",384,81.25%
,"OSWEGO, NY",152,76.32%
,"DYER, TN",966,82.92%
,"CARLTON, MN",729,86.15%
,"GARRETT, MD",603,73.13%
,"TODD, MN",876,77.05%
,"CAYUGA, NY",183,86.34%
,"ALLEGANY, MD",534,76.03%
,"SCHOHARIE, NY",533,85.18%
,"ROUTT, CO",705,81.99%
,"FRANKLIN, GA",857,81.80%
,"HUBBARD, MN",605,76.03%
,"WYOMING, NY",451,78.49%
,"FULTON, NY",480,74.58%
,"SENECA, NY",376,80.59%
,"ISANTI, MN",717,75.59%
,"TILLAMOOK, OR",273,72.53%
,"KLAMATH, OR",1115,78.74%
,"OCONEE, GA",545,79.82%
,"ROCKLAND, NY",259,44.02%
,"NOBLES, MN",863,85.52%
,"TELLER, CO",433,62.36%
,"BAKER, OR",411,73.48%
,"SHASTA, CA",251,78.49%
,"BANKS, GA",755,81.46%
,"BUTTS, GA",664,67.92%
,"KENT, MD",455,66.59%
,"WASCO, OR",521,75.24%
,"HART, GA",617,80.39%
,"BIBB, GA",714,83.61%
,"MUSCOGEE, GA",878,80.64%
,"DUTCHESS, NY",162,77.16%
,"SOMERSET, MD",484,65.50%
,"SAN LUIS OBISPO, CA",515,73.01%
,"HOOD RIVER, OR",486,81.07%
,"YATES, NY",449,77.06%
,"WADENA, MN",726,67.91%
,"WEAKLEY, TN",329,79.64%
,"HOUSTON, GA",698,84.38%
,"GREENE, GA",333,83.78%
,"CLATSOP, OR",189,71.43%
,"VALENCIA, NM",70,55.71%
,"PINE, MN",365,82.47%
,"SAN BENITO, CA",320,87.50%
,"ROSEAU, MN",561,80.75%
,"ELBERT, CO",559,71.91%
,"MARION, TN",459,71.02%
,"BLOUNT, TN",24,83.33%
,"IMPERIAL, CA",117,63.25%
,"AITKIN, MN",339,80.24%
,"HOUSTON, MN",468,82.69%
,"JEFFERSON, NY",101,76.24%
,"FREMONT, CO",420,70.48%
,"CARROLL, TN",456,75.66%
,"UNICOI, TN",354,83.90%
,"BUTTE, CA",54,88.89%
,"PENNINGTON, MN",358,84.64%
,"LAKE, CA",256,84.38%
,"JOHNSON, TN",283,74.56%
,"MEEKER, MN",337,64.39%
,"MADISON, GA",533,77.67%
,"RABUN, GA",468,75.00%
,"SEQUATCHIE, TN",538,75.28%
,"REDWOOD, MN",486,80.66%
,"CHATTOOGA, GA",322,86.65%
,"SANTA FE, NM",46,78.26%
,"DEL NORTE, CA",280,86.43%
,"RHEA, TN",675,70.37%
,"MCNAIRY, TN",223,60.99%
