Session Title,Number of Patients by Diagnosis (Encounter) and County of Residence,,
Session ID,2792481,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_AL_DE,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
Jan 1 – Dec 31 2018,"SAN DIEGO, CA",96,133707
,"MARICOPA, AZ",249,146574
,"RIVERSIDE, CA",137,106821
,"FRESNO, CA",76,89415
,"EL PASO, CO",33,95093
,"HARTFORD, CT",61,98676
,"DENVER, CO",36,86787
,"SAN BERNARDINO, CA",26,41433
,"ORANGE, CA",19,20455
,"ARAPAHOE, CO",15,59556
,"SANTA CLARA, CA",11,49907
,"ALAMEDA, CA",18,20926
,"PULASKI, AR",139,58282
,"ADAMS, CO",12,52199
,"PIMA, AZ",32,48199
,"JEFFERSON, CO",15,41607
,"WELD, CO",17,38499
,"LARIMER, CO",33,38623
,"LOS ANGELES, CA",32,20659
,"NEW HAVEN, CT",26,37937
,"NEW CASTLE, DE",14,30409
,"CONTRA COSTA, CA",10 or fewer,27769
,"BOULDER, CO",10 or fewer,16025
,"MONTEREY, CA",10 or fewer,13281
,"SAN FRANCISCO, CA",10 or fewer,4135
,"SAN MATEO, CA",10 or fewer,20165
,"FAIRFIELD, CT",12,18293
,"KENT, DE",44,34908
,"DOUGLAS, CO",10 or fewer,16131
,"NEW LONDON, CT",32,34214
,"SUSSEX, DE",17,17803
,"MOBILE, AL",15,4166
,"BALDWIN, AL",10 or fewer,1866
,"MIDDLESEX, CT",10 or fewer,7268
,"PUEBLO, CO",10 or fewer,3370
,"MADERA, CA",10 or fewer,4206
,"MESA, CO",12,12096
,"WINDHAM, CT",17,18171
,"LITCHFIELD, CT",10 or fewer,3857
,"FAULKNER, AR",34,13431
,"CRAIGHEAD, AR",41,13385
,"SEBASTIAN, AR",10 or fewer,973
,"SALINE, AR",21,8688
,"HOUSTON, AL",10 or fewer,317
,"TOLLAND, CT",11,8140
,"WASHINGTON, AR",10 or fewer,1324
,"LONOKE, AR",34,8958
,"TULARE, CA",10 or fewer,2675
,"CRITTENDEN, AR",10 or fewer,3031
,"CRAWFORD, AR",10 or fewer,426
,"BENTON, AR",10 or fewer,1149
,"BROOMFIELD, CO",10 or fewer,5667
,"SACRAMENTO, CA",10 or fewer,4396
,"PINAL, AZ",10 or fewer,2892
,"MERCED, CA",10 or fewer,1365
,"SAN JOAQUIN, CA",10 or fewer,3103
,"KERN, CA",10 or fewer,1769
,"JEFFERSON, AR",10 or fewer,3169
,"KINGS, CA",10 or fewer,1391
,"HOT SPRING, AR",17,5799
,"CLEBURNE, AR",21,4780
,"WHITE, AR",10 or fewer,3250
,"TELLER, CO",10 or fewer,3285
,"STANISLAUS, CA",10 or fewer,1670
,"GREENE, AR",18,3361
,"CLARK, AR",15,4213
,"SANTA CRUZ, CA",10 or fewer,1881
,"YAVAPAI, AZ",10 or fewer,2448
,"POINSETT, AR",10 or fewer,3441
,"ROUTT, CO",10 or fewer,1641
,"IMPERIAL, CA",10 or fewer,1606
,"SOLANO, CA",10 or fewer,1728
,"GARLAND, AR",10 or fewer,1735
