Session Title,Heat only KYNC county year 2018-2025,,
Session ID,2792485,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_KY_NC,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
Jan 1 – Dec 31 2018,"WAYNE, MI",91,136279
,"KINGS, NY",41,134705
,"WAKE, NC",215,173448
,"MECKLENBURG, NC",87,80337
,"MIDDLESEX, MA",49,66403
,"QUEENS, NY",77,101307
,"MONROE, NY",95,156265
,"HENNEPIN, MN",92,119871
,"JEFFERSON, KY",168,121696
,"SUFFOLK, NY",72,93452
,"KENT, MI",78,107979
,"NASSAU, NY",20,53876
,"CAMDEN, NJ",52,69946
,"GUILFORD, NC",118,106369
,"CLARK, NV",78,64151
,"WORCESTER, MA",55,77749
,"OAKLAND, MI",23,32178
,"JEFFERSON, LA",75,72758
,"SUFFOLK, MA",30,50341
,"ERIE, NY",10 or fewer,2654
,"MACOMB, MI",31,49960
,"BURLINGTON, NJ",41,48388
,"ESSEX, NJ",10 or fewer,4152
,"ORLEANS, LA",105,76920
,"EAST BATON ROUGE, LA",119,69643
,"WASHOE, NV",26,59619
,"BRISTOL, MA",56,71059
,"BALTIMORE, MD",51,52231
,"PRINCE GEORGES, MD",17,13722
,"BALTIMORE CITY, MD",65,63310
,"FORSYTH, NC",53,55786
,"JACKSON, MO",53,49371
,"ESSEX, MA",32,39193
,"NEW YORK, NY",14,30377
,"CUMBERLAND, NC",10 or fewer,6357
,"DURHAM, NC",58,52253
,"ANNE ARUNDEL, MD",36,44539
,"BERGEN, NJ",10 or fewer,24425
,"MONTGOMERY, MD",14,6369
,"MIDDLESEX, NJ",10 or fewer,7805
,"DAKOTA, MN",33,34639
,"GENESEE, MI",34,47428
,"BERNALILLO, NM",48,42853
,"LANCASTER, NE",64,32990
