Session Title,Heat only NDVA county year 2018-2025,,
Session ID,2792486,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_ND_VA,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
Jan 1 – Dec 31 2018,"DALLAS, TX",267,257201
,"HARRIS, TX",209,198791
,"TARRANT, TX",382,174981
,"PHILADELPHIA, PA",108,197769
,"CUYAHOGA, OH",144,227476
,"FRANKLIN, OH",125,179927
,"HAMILTON, OH",205,211275
,"FAIRFAX, VA",78,122106
,"MONTGOMERY, OH",168,154455
,"COLLIN, TX",44,34545
,"TULSA, OK",197,85782
,"SHELBY, TN",97,65697
,"GREENVILLE, SC",85,81835
,"MONTGOMERY, PA",23,30310
,"PROVIDENCE, RI",48,87875
,"DENTON, TX",16,19478
,"ALLEGHENY, PA",46,73832
,"MULTNOMAH, OR",43,72643
,"LUCAS, OH",86,100956
,"BUTLER, OH",105,96536
,"LANCASTER, PA",121,82835
,"PRINCE WILLIAM, VA",62,64907
,"LEHIGH, PA",88,85801
,"DELAWARE, PA",35,51346
,"VIRGINIA BEACH CITY, VA",105,68984
,"CHESTER, PA",36,46326
,"YORK, PA",84,62634
,"BELL, TX",63,42872
,"BEXAR, TX",10 or fewer,5436
,"SPARTANBURG, SC",89,63175
,"FORT BEND, TX",26,36152
,"BERKS, PA",69,69476
,"NORTHAMPTON, PA",53,64490
,"SUMMIT, OH",44,56621
,"MARION, OR",48,59441
,"BUCKS, PA",15,16451
,"CHARLESTON, SC",18,27169
,"SALT LAKE, UT",12,27665
,"MONTGOMERY, TX",23,25697
,"RICHLAND, SC",10 or fewer,3884
,"LOUDOUN, VA",28,42136
,"GALVESTON, TX",48,36734
,"LORAIN, OH",55,45897
,"HAMILTON, TN",45,46912
,"HENRICO, VA",37,35788
,"WARREN, OH",64,45288
,"CHESTERFIELD, VA",28,24577
,"DAUPHIN, PA",49,46856
,"CHESAPEAKE CITY, VA",52,43085
,"CLERMONT, OH",50,48698
,"NORFOLK CITY, VA",59,45210
,"ANDERSON, SC",61,39518
,"TRAVIS, TX",24,13364
,"NEWPORT NEWS CITY, VA",66,44765
,"JOHNSON, TX",19,16392
,"BRAZORIA, TX",34,22540
,"ELLIS, TX",28,13202
,"MAHONING, OH",26,42915
,"MCLENNAN, TX",84,32507
,"CLACKAMAS, OR",15,26250
,"WILLIAMSON, TX",31,20879
,"MONROE, PA",23,25097
,"DESCHUTES, OR",37,23656
,"GREENE, OH",50,37489
,"SULLIVAN, TN",28,29118
,"CUMBERLAND, PA",39,26438
,"WASHINGTON, OR",12,23181
,"BERKELEY, SC",10 or fewer,8956
,"ARLINGTON, VA",18,19950
,"KAUFMAN, TX",10 or fewer,7448
,"CASS, ND",36,27891
,"OKLAHOMA, OK",11,3788
,"CLARK, OH",33,33538
,"RICHMOND CITY, VA",10 or fewer,23052
,"STARK, OH",10 or fewer,10755
,"DELAWARE, OH",16,23518
,"TRUMBULL, OH",23,33038
,"LAKE, OH",14,15116
,"SCHUYLKILL, PA",10 or fewer,11812
,"ERIE, PA",15,24395
,"LINN, OR",33,27504
,"BERKELEY, WV",24,27835
,"LICKING, OH",10 or fewer,8003
,"HAMPTON CITY, VA",48,29312
,"MEDINA, OH",16,24518
,"HORRY, SC",10 or fewer,5305
,"PICKENS, SC",14,17258
,"ALEXANDRIA CITY, VA",10 or fewer,19777
,"YORK, SC",10 or fewer,4016
,"PARKER, TX",19,10095
,"RICHLAND, OH",10 or fewer,14960
,"MIAMI, OH",43,26665
,"CHITTENDEN, VT",10 or fewer,1000
,"WESTMORELAND, PA",10 or fewer,15828
,"FLORENCE, SC",10 or fewer,1067
,"TOM GREEN, TX",75,18722
,"LEXINGTON, SC",10 or fewer,2346
,"CAMBRIA, PA",19,23368
,"WASHINGTON, TN",10 or fewer,3766
,"MINNEHAHA, SD",19,16943
,"LEBANON, PA",26,22131
,"PORTSMOUTH CITY, VA",38,25974
,"NUECES, TX",19,19288
,"SUFFOLK CITY, VA",31,20002
,"SMITH, TX",10 or fewer,1666
,"FAYETTE, PA",10 or fewer,4521
,"WASHINGTON, PA",10 or fewer,7541
,"FRANKLIN, PA",10 or fewer,2939
,"LUZERNE, PA",10 or fewer,3025
,"ALBEMARLE, VA",25,15359
,"LANCASTER, SC",10 or fewer,1656
,"FAIRFIELD, OH",10 or fewer,10181
,"ADAMS, PA",17,13652
,"PORTAGE, OH",10 or fewer,10065
,"BRAZOS, TX",21,10983
,"POTTER, TX",14,15900
,"WOOD, OH",19,14960
,"ALLEN, OH",27,18532
,"JAMES CITY, VA",28,14668
,"RANDALL, TX",10 or fewer,13130
,"GREENWOOD, SC",20,17115
,"HANOVER, VA",32,12681
,"WOOD, WV",10 or fewer,17254
,"POLK, OR",10 or fewer,15091
,"HARRISON, WV",14,17354
,"ROCKWALL, TX",10 or fewer,3320
,"CARBON, PA",10 or fewer,13053
,"KENT, RI",10 or fewer,11888
,"GREENE, TN",16,8964
,"SUMTER, SC",10 or fewer,791
,"MARION, OH",18,19220
,"ROCKINGHAM, VA",10 or fewer,13552
,"NEWPORT, RI",13,14281
,"ROGERS, OK",53,10682
,"MUSKOGEE, OK",26,9041
,"HENDERSON, TX",10 or fewer,1279
,"UTAH, UT",10 or fewer,2563
,"BENTON, OR",10 or fewer,10384
,"MONONGALIA, WV",10 or fewer,9998
,"GRAND FORKS, ND",12,10958
,"LACKAWANNA, PA",10 or fewer,1744
,"LAURENS, SC",34,15760
,"BRADFORD, PA",11,13110
,"CHEROKEE, SC",11,5049
,"BURLEIGH, ND",16,9596
,"DORCHESTER, SC",10 or fewer,4963
,"HAWKINS, TN",10 or fewer,12070
,"FREDERICK, VA",10 or fewer,3936
,"JEFFERSON, WV",11,12134
,"WASHINGTON, RI",10 or fewer,10231
