Session Title,Heat only WAWY county year 2018-2025,,
Session ID,2792488,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_WA_WY,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
Jan 1 – Dec 31 2018,"MILWAUKEE, WI",91,120370
,"KING, WA",32,78061
,"DANE, WI",45,54052
,"CLARK, WA",29,46657
,"BROWN, WI",43,41836
,"SNOHOMISH, WA",10 or fewer,16767
,"BERKELEY, WV",24,27835
,"WAUKESHA, WI",30,19788
,"ROCK, WI",26,24179
,"LARAMIE, WY",10 or fewer,18645
,"RACINE, WI",15,12597
,"SHEBOYGAN, WI",20,16721
,"KENOSHA, WI",10 or fewer,14517
,"WALWORTH, WI",20,17300
,"LA CROSSE, WI",27,16831
,"SKAGIT, WA",10 or fewer,13747
,"WOOD, WV",10 or fewer,17254
,"HARRISON, WV",14,17354
,"CHELAN, WA",10 or fewer,9989
,"MONONGALIA, WV",10 or fewer,9998
,"WINNEBAGO, WI",19,9808
,"JEFFERSON, WV",11,12134
,"MARION, WV",10 or fewer,7088
,"MANITOWOC, WI",13,8747
,"WASHINGTON, WI",10 or fewer,7361
,"OZAUKEE, WI",10 or fewer,6923
,"PIERCE, WA",13,6278
,"MERCER, WV",10 or fewer,529
,"KANAWHA, WV",10 or fewer,1252
,"DOUGLAS, WI",10 or fewer,8430
,"MARINETTE, WI",14,7296
,"COWLITZ, WA",10 or fewer,6009
,"DOUGLAS, WA",10 or fewer,5434
,"OHIO, WV",10 or fewer,1013
,"EAU CLAIRE, WI",10 or fewer,8325
,"OUTAGAMIE, WI",10 or fewer,3979
,"CHIPPEWA, WI",16,7937
,"MARSHALL, WV",12,3574
,"UPSHUR, WV",10 or fewer,6208
,"JACKSON, WV",10 or fewer,1235
,"OCONTO, WI",10 or fewer,4532
,"JEFFERSON, WI",10 or fewer,4082
,"NICHOLAS, WV",10 or fewer,398
,"MINERAL, WV",10 or fewer,4631
,"DODGE, WI",10 or fewer,3399
,"TREMPEALEAU, WI",10 or fewer,4111
,"ALBANY, WY",10 or fewer,647
,"FOND DU LAC, WI",10 or fewer,2289
,"COLUMBIA, WI",10 or fewer,2892
,"PRESTON, WV",10 or fewer,2520
,"ISLAND, WA",10 or fewer,2155
,"GRANT, WI",10 or fewer,3443
,"VERNON, WI",11,3179
,"GRANT, WA",10 or fewer,2136
,"HAMPSHIRE, WV",10 or fewer,794
,"MONROE, WI",10 or fewer,2423
,"WETZEL, WV",10 or fewer,987
,"WHATCOM, WA",10 or fewer,1880
,"BRAXTON, WV",10 or fewer,598
