Session Title,"Opioid OD Heat Firearms in ED, State Month Age",,,,,,
Session ID,2776110,,,,,,
Data Model,Patients,,,,,,
Population Base,All Patients,,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,,
Session Date Range,1/1/2022 - 12/31/2022,,,,,,
Measure,Number of Patients,,,,,,
Export User,Stephanie Perniciaro,,,,,,
Date of Export,11/13/2025,,,,,,
,,,,,,,
,,,,,,,
,,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,,
Texas,Less than 15 Years,2022,Jan,10 or fewer,10 or fewer,13,53033
,,,Feb,10 or fewer,10 or fewer,10 or fewer,45218
,,,Mar,10 or fewer,10 or fewer,10 or fewer,58002
,,,Apr,10 or fewer,10 or fewer,10 or fewer,57779
,,,May,10 or fewer,40,10 or fewer,59156
,,,Jun,10 or fewer,75,10 or fewer,51358
,,,Jul,10 or fewer,60,13,47022
,,,Aug,10 or fewer,34,11,53214
,,,Sep,10 or fewer,20,14,68570
,,,Oct,10 or fewer,10 or fewer,10 or fewer,78543
,,,Nov,10 or fewer,10 or fewer,10 or fewer,81320
,,,Dec,10 or fewer,10 or fewer,10 or fewer,63226
,≥ 15 and < 25 Years,2022,Jan,17,10 or fewer,91,32601
,,,Feb,31,10 or fewer,61,25299
,,,Mar,20,10 or fewer,76,31507
,,,Apr,16,15,76,30920
,,,May,22,50,100,31798
,,,Jun,25,170,68,29986
,,,Jul,23,212,81,31445
,,,Aug,19,102,65,31390
,,,Sep,27,35,67,32783
,,,Oct,27,10 or fewer,80,33424
,,,Nov,21,10 or fewer,72,34538
,,,Dec,20,10 or fewer,77,31415
,≥ 25 and < 45 Years,2022,Jan,42,10 or fewer,88,67063
,,,Feb,38,10 or fewer,79,49810
,,,Mar,56,10 or fewer,78,61048
,,,Apr,49,23,102,60275
,,,May,67,141,112,64337
,,,Jun,57,391,98,65334
,,,Jul,66,597,90,68381
,,,Aug,80,226,84,66252
,,,Sep,46,73,76,63373
,,,Oct,88,13,95,64002
,,,Nov,81,10 or fewer,86,65222
,,,Dec,65,10 or fewer,74,64225
,≥ 45 and < 65 Years,2022,Jan,16,10 or fewer,26,53952
,,,Feb,26,10 or fewer,16,42989
,,,Mar,27,10 or fewer,21,50769
,,,Apr,26,14,28,49517
,,,May,20,113,29,53599
,,,Jun,17,277,20,53843
,,,Jul,27,466,22,56349
,,,Aug,28,170,35,55243
,,,Sep,31,71,26,53349
,,,Oct,34,10 or fewer,33,53035
,,,Nov,31,10 or fewer,25,52891
,,,Dec,24,10 or fewer,22,54383
,65 Years or more,2022,Jan,17,10 or fewer,10 or fewer,48981
,,,Feb,10 or fewer,10 or fewer,10 or fewer,40699
,,,Mar,15,10 or fewer,10 or fewer,47035
,,,Apr,20,10 or fewer,10 or fewer,44534
,,,May,19,80,10 or fewer,48577
,,,Jun,15,190,10 or fewer,49439
,,,Jul,14,258,10 or fewer,51720
,,,Aug,15,98,10 or fewer,50146
,,,Sep,17,50,10 or fewer,49014
,,,Oct,25,10 or fewer,10 or fewer,49279
,,,Nov,18,10 or fewer,10 or fewer,50256
,,,Dec,14,10 or fewer,10 or fewer,54365
,No value,2022,Jan,10 or fewer,10 or fewer,10 or fewer,8091
,,,Feb,10 or fewer,10 or fewer,10 or fewer,9714
,,,Mar,10 or fewer,10 or fewer,10 or fewer,8248
,,,Apr,10 or fewer,10 or fewer,10 or fewer,7715
,,,May,10 or fewer,10 or fewer,13,7292
,,,Jun,10 or fewer,10 or fewer,10 or fewer,8486
,,,Jul,10 or fewer,10 or fewer,10 or fewer,7673
,,,Aug,10 or fewer,10 or fewer,10 or fewer,8118
,,,Sep,10 or fewer,10 or fewer,10 or fewer,8235
,,,Oct,10 or fewer,10 or fewer,10 or fewer,7674
,,,Nov,10 or fewer,10 or fewer,12,8680
,,,Dec,10 or fewer,10 or fewer,11,9309
,"Total: Total includes all data under the Texas bucket, including data from rows not currently displayed.",2022,Jan,94,10 or fewer,230,263698
,,,Feb,107,10 or fewer,176,213712
,,,Mar,119,29,204,256584
,,,Apr,112,70,218,250715
,,,May,130,424,272,264723
,,,Jun,114,1104,207,258426
,,,Jul,132,1594,222,262560
,,,Aug,144,630,209,264330
,,,Sep,122,249,200,275302
,,,Oct,176,44,226,285918
,,,Nov,152,15,204,292884
,,,Dec,124,10 or fewer,199,276897
Ohio,Less than 15 Years,2022,Jan,10 or fewer,10 or fewer,10 or fewer,31912
,,,Feb,10 or fewer,10 or fewer,10 or fewer,26262
,,,Mar,10 or fewer,10 or fewer,10 or fewer,35745
,,,Apr,10 or fewer,10 or fewer,10 or fewer,35973
,,,May,10 or fewer,13,10 or fewer,40848
,,,Jun,10 or fewer,26,10 or fewer,33404
,,,Jul,10 or fewer,13,10 or fewer,33935
,,,Aug,10 or fewer,10 or fewer,10 or fewer,37109
,,,Sep,10 or fewer,10 or fewer,10 or fewer,43193
,,,Oct,10 or fewer,10 or fewer,10 or fewer,51667
,,,Nov,10 or fewer,10 or fewer,10 or fewer,56708
,,,Dec,10 or fewer,10 or fewer,10 or fewer,44542
,≥ 15 and < 25 Years,2022,Jan,34,10 or fewer,58,32013
,,,Feb,28,10 or fewer,58,25656
,,,Mar,31,10 or fewer,64,31588
,,,Apr,32,10 or fewer,74,31586
,,,May,49,22,95,33658
,,,Jun,36,79,75,31563
,,,Jul,34,48,96,33045
,,,Aug,35,33,74,34249
,,,Sep,36,10 or fewer,71,34669
,,,Oct,26,10 or fewer,69,35118
,,,Nov,38,10 or fewer,68,37182
,,,Dec,29,10 or fewer,75,33957
,≥ 25 and < 45 Years,2022,Jan,248,10 or fewer,78,70745
,,,Feb,207,10 or fewer,85,55409
,,,Mar,284,10 or fewer,102,66307
,,,Apr,256,10 or fewer,97,66365
,,,May,285,33,97,72239
,,,Jun,263,162,119,71265
,,,Jul,279,110,140,75745
,,,Aug,305,50,118,75927
