Session Title,A04. RSV ED visits State Week Age 2026,,,
Session ID,2795755,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"ED Diagnoses: Respiratory syncytial virus pneumonia( ICD-10-CM: J12.1 ), Respiratory syncytial virus as the cause of diseases classified elsewhere( ICD-10-CM: B97.4 ), Acute bronchitis due to respiratory syncytial virus( ICD-10-CM: J20.5 ), Acute bronchiolitis due to respiratory syncytial virus( ICD-10-CM: J21.0 )",,,
Session Date Range,12/28/2025 - 1/27/2026 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,2/19/2026,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence,Age at Time of Visit,Year,Week,
Texas,Less than 1 Years,2025 – 2026,Dec 28 – Jan 3,380
,,2026,Jan 4 – Jan 10,266
,,,Jan 11 – Jan 17,192
,,,Jan 18 – Jan 24,222
,,,Jan 25 – Jan 27,107
,≥ 1 and < 5 Years,2025 – 2026,Dec 28 – Jan 3,431
,,2026,Jan 4 – Jan 10,271
,,,Jan 11 – Jan 17,303
,,,Jan 18 – Jan 24,352
,,,Jan 25 – Jan 27,127
,≥ 5 and < 18 Years,2025 – 2026,Dec 28 – Jan 3,52
,,2026,Jan 4 – Jan 10,27
,,,Jan 11 – Jan 17,34
,,,Jan 18 – Jan 24,58
,,,Jan 25 – Jan 27,19
,≥ 18 and < 50 Years,2025 – 2026,Dec 28 – Jan 3,77
,,2026,Jan 4 – Jan 10,57
,,,Jan 11 – Jan 17,54
,,,Jan 18 – Jan 24,55
,,,Jan 25 – Jan 27,21
,≥ 50 and < 65 Years,2025 – 2026,Dec 28 – Jan 3,40
,,2026,Jan 4 – Jan 10,35
,,,Jan 11 – Jan 17,33
,,,Jan 18 – Jan 24,30
,,,Jan 25 – Jan 27,10 or fewer
,65 Years or more,2025 – 2026,Dec 28 – Jan 3,101
,,2026,Jan 4 – Jan 10,85
,,,Jan 11 – Jan 17,65
,,,Jan 18 – Jan 24,47
,,,Jan 25 – Jan 27,28
,No value,2025 – 2026,Dec 28 – Jan 3,10 or fewer
,,2026,Jan 4 – Jan 10,10 or fewer
,,,Jan 11 – Jan 17,10 or fewer
,,,Jan 18 – Jan 24,10 or fewer
,,,Jan 25 – Jan 27,10 or fewer
,Total,2025 – 2026,Dec 28 – Jan 3,1081
,,2026,Jan 4 – Jan 10,741
,,,Jan 11 – Jan 17,681
,,,Jan 18 – Jan 24,764
,,,Jan 25 – Jan 27,309
Florida,Less than 1 Years,2025 – 2026,Dec 28 – Jan 3,183
,,2026,Jan 4 – Jan 10,133
,,,Jan 11 – Jan 17,88
,,,Jan 18 – Jan 24,88
,,,Jan 25 – Jan 27,42
,≥ 1 and < 5 Years,2025 – 2026,Dec 28 – Jan 3,192
,,2026,Jan 4 – Jan 10,132
,,,Jan 11 – Jan 17,147
,,,Jan 18 – Jan 24,110
,,,Jan 25 – Jan 27,42
,≥ 5 and < 18 Years,2025 – 2026,Dec 28 – Jan 3,23
,,2026,Jan 4 – Jan 10,19
,,,Jan 11 – Jan 17,23
,,,Jan 18 – Jan 24,30
,,,Jan 25 – Jan 27,17
,≥ 18 and < 50 Years,2025 – 2026,Dec 28 – Jan 3,79
,,2026,Jan 4 – Jan 10,68
,,,Jan 11 – Jan 17,59
,,,Jan 18 – Jan 24,42
,,,Jan 25 – Jan 27,21
